current[mA],power[mW],voltage[V],mpd_current[mA]
1,0.025,0.7689,-8.358e-05
2,-0.000,0.7859,-9.997e-05
3,-0.025,0.7988,-0.0001157
4,0.025,0.8096,-0.00013
5,-0.000,0.8187,-0.0001442
6,0.025,0.8269,-0.0001583
7,0.049,0.8344,-0.0001728
8,-0.000,0.8413,-0.0001882
9,0.025,0.8475,-0.000204
10,-0.000,0.8536,-0.0002209
11,-0.000,0.8594,-0.00024
12,0.074,0.8649,-0.0002601
13,0.049,0.8702,-0.0002828
14,0.025,0.8751,-0.0003246
15,0.295,0.8790,-0.001118
16,0.689,0.8822,-0.002372
17,1.082,0.8854,-0.003644
18,1.451,0.8886,-0.004842
19,1.820,0.8918,-0.006087
20,2.238,0.8950,-0.007375
21,2.631,0.8981,-0.008595
22,3.025,0.9012,-0.00985
23,3.418,0.9044,-0.01108
24,3.787,0.9074,-0.01229
25,4.205,0.9105,-0.01354
26,4.550,0.9136,-0.01473
27,4.968,0.9165,-0.01593
28,5.361,0.9197,-0.01718
29,5.755,0.9227,-0.0184
30,6.074,0.9257,-0.01957
31,6.468,0.9286,-0.02079
32,6.837,0.9317,-0.02198
33,7.206,0.9346,-0.02315
34,7.599,0.9376,-0.02438
35,7.968,0.9405,-0.02558
36,8.337,0.9434,-0.02672
37,8.730,0.9463,-0.02791
38,9.099,0.9492,-0.02905
39,9.468,0.9521,-0.03027
40,9.837,0.9550,-0.03147
41,10.206,0.9578,-0.03264
42,10.624,0.9608,-0.03383
43,10.968,0.9636,-0.035
44,11.337,0.9664,-0.03611
45,11.706,0.9692,-0.0373
46,12.026,0.9720,-0.03848
47,12.370,0.9747,-0.03959
48,12.739,0.9776,-0.04078
49,13.132,0.9803,-0.04191
50,13.526,0.9829,-0.04306
51,13.919,0.9857,-0.04419
52,14.190,0.9884,-0.04536
53,14.583,0.9911,-0.04645
54,14.977,0.9938,-0.0476
55,15.296,0.9965,-0.04874
56,15.690,0.9992,-0.04984
57,16.010,1.0019,-0.05096
58,16.403,1.0046,-0.05206
59,16.723,1.0071,-0.05318
60,17.043,1.0097,-0.05429
61,17.411,1.0123,-0.0554
62,17.756,1.0149,-0.05646
63,18.100,1.0175,-0.0576
64,18.494,1.0201,-0.05872
65,18.838,1.0226,-0.05982
66,19.182,1.0252,-0.06092
67,19.526,1.0278,-0.062
68,19.846,1.0301,-0.06305
69,20.215,1.0327,-0.06415
70,20.559,1.0352,-0.06525
71,20.904,1.0376,-0.06632
72,21.199,1.0402,-0.06744
73,21.666,1.0425,-0.06845
74,21.986,1.0450,-0.06957
75,22.330,1.0475,-0.07064
76,22.650,1.0499,-0.07166
77,22.994,1.0524,-0.07276
78,23.338,1.0548,-0.07383
79,23.633,1.0571,-0.07485
80,23.953,1.0594,-0.07587
81,24.347,1.0618,-0.07688
82,24.642,1.0641,-0.07796
83,24.986,1.0665,-0.07903
84,25.306,1.0689,-0.08002
85,25.675,1.0712,-0.08101
86,25.970,1.0735,-0.08208
87,26.314,1.0758,-0.08312
88,26.658,1.0780,-0.08415
89,26.978,1.0803,-0.08516
90,27.298,1.0826,-0.08613
91,27.667,1.0848,-0.08723
92,28.035,1.0871,-0.08826
93,28.257,1.0894,-0.08929
94,28.626,1.0916,-0.09027
95,28.945,1.0938,-0.09131
96,29.265,1.0960,-0.0923
97,29.585,1.0983,-0.0932
98,29.855,1.1004,-0.09426
99,30.249,1.1027,-0.09521
100,30.568,1.1048,-0.09619
101,30.864,1.1070,-0.09719
102,31.183,1.1092,-0.09821
103,31.503,1.1113,-0.09914
104,31.847,1.1135,-0.1001
105,32.118,1.1156,-0.1011
106,32.438,1.1177,-0.102
107,32.782,1.1198,-0.1031
108,33.052,1.1218,-0.104
109,33.397,1.1239,-0.1048
110,33.765,1.1261,-0.1059
111,34.036,1.1281,-0.1069
112,34.405,1.1301,-0.1078
113,34.675,1.1323,-0.1087
114,34.971,1.1343,-0.1098
115,35.216,1.1363,-0.1106
116,35.561,1.1383,-0.1116
117,35.831,1.1403,-0.1125
118,36.200,1.1424,-0.1135
119,36.495,1.1444,-0.1144
120,36.815,1.1464,-0.1154
121,37.085,1.1484,-0.1161
122,37.430,1.1504,-0.1172
123,37.676,1.1523,-0.1181
124,38.020,1.1543,-0.119
125,38.315,1.1563,-0.12
126,38.610,1.1582,-0.1208
127,38.905,1.1602,-0.1218
128,39.151,1.1621,-0.1226
129,39.545,1.1640,-0.1236
130,39.791,1.1659,-0.1245
131,40.086,1.1679,-0.1254
132,40.381,1.1697,-0.1263
133,40.676,1.1716,-0.1273
134,40.922,1.1735,-0.1281
135,41.291,1.1753,-0.129
136,41.537,1.1773,-0.1298
137,41.807,1.1791,-0.1308
138,42.152,1.1810,-0.1317
139,42.447,1.1829,-0.1325
140,42.717,1.1847,-0.1333
141,43.012,1.1865,-0.1342
142,43.307,1.1883,-0.1351
143,43.578,1.1902,-0.1359
144,43.898,1.1920,-0.1367
145,44.193,1.1938,-0.1376
146,44.439,1.1955,-0.1385
147,44.685,1.1973,-0.1393
148,44.980,1.1991,-0.1402
149,45.275,1.2010,-0.1411
150,45.595,1.2027,-0.1419
151,45.767,1.2045,-0.1427
152,46.086,1.2062,-0.1436
153,46.431,1.2080,-0.1444
154,46.627,1.2098,-0.1452
155,46.947,1.2115,-0.146
156,47.242,1.2132,-0.1469
157,47.513,1.2150,-0.1478
158,47.759,1.2167,-0.1486
159,48.005,1.2184,-0.1494
160,48.324,1.2202,-0.1502
161,48.570,1.2219,-0.1511
162,48.865,1.2236,-0.1518
163,49.160,1.2252,-0.1526
164,49.406,1.2269,-0.1534
165,49.652,1.2286,-0.1543
166,49.898,1.2303,-0.1551
