current[mA],power[mW],voltage[V],mpd_current[mA]
1,-0.000,0.7680,-8.002e-05
2,-0.025,0.7859,-9.533e-05
3,-0.000,0.7987,-0.0001084
4,-0.000,0.8094,-0.0001231
5,-0.025,0.8185,-0.0001365
6,-0.000,0.8266,-0.0001495
7,-0.000,0.8340,-0.0001636
8,0.025,0.8409,-0.0001783
9,0.025,0.8471,-0.0001929
10,-0.025,0.8530,-0.0002101
11,0.049,0.8588,-0.000228
12,-0.000,0.8640,-0.0002472
13,0.025,0.8693,-0.0002691
14,0.049,0.8743,-0.0002928
15,0.074,0.8789,-0.0003187
16,0.098,0.8835,-0.0003491
17,0.123,0.8881,-0.0003818
18,0.123,0.8923,-0.0004267
19,0.246,0.8961,-0.0007236
20,0.639,0.8991,-0.001515
21,1.008,0.9022,-0.002302
22,1.451,0.9053,-0.003101
23,1.844,0.9084,-0.003875
24,2.189,0.9114,-0.004605
25,2.582,0.9145,-0.005365
26,2.951,0.9175,-0.006072
27,3.345,0.9205,-0.006781
28,3.713,0.9236,-0.007477
29,4.009,0.9266,-0.008148
30,4.353,0.9295,-0.008741
31,4.845,0.9321,-0.00971
32,5.287,0.9349,-0.01071
33,5.779,0.9375,-0.01166
34,6.197,0.9401,-0.01261
35,6.689,0.9429,-0.01358
36,7.083,0.9455,-0.01451
37,7.574,0.9482,-0.01543
38,7.968,0.9508,-0.01632
39,8.460,0.9535,-0.01725
40,8.804,0.9561,-0.01817
41,9.198,0.9587,-0.01907
42,9.714,0.9614,-0.02
43,10.107,0.9640,-0.02091
44,10.526,0.9666,-0.02178
45,10.919,0.9692,-0.0227
46,11.312,0.9718,-0.02359
47,11.731,0.9744,-0.02448
48,12.075,0.9770,-0.02535
49,12.493,0.9796,-0.02625
50,12.911,0.9821,-0.0271
51,13.280,0.9847,-0.02796
52,13.673,0.9872,-0.02886
53,14.091,0.9897,-0.02968
54,14.460,0.9923,-0.03059
55,14.854,0.9949,-0.03146
56,15.223,0.9973,-0.03231
57,15.665,0.9998,-0.03316
58,16.034,1.0024,-0.03404
59,16.379,1.0048,-0.03486
60,16.747,1.0073,-0.03573
61,17.166,1.0098,-0.03659
62,17.559,1.0123,-0.03743
63,17.879,1.0147,-0.03828
64,18.297,1.0172,-0.03912
65,18.592,1.0196,-0.03993
66,19.035,1.0219,-0.04076
67,19.354,1.0244,-0.04162
68,19.797,1.0267,-0.04243
69,20.141,1.0291,-0.04327
70,20.510,1.0315,-0.04412
71,20.830,1.0338,-0.04489
72,21.174,1.0361,-0.04573
73,21.568,1.0384,-0.04653
74,21.887,1.0408,-0.04733
75,22.330,1.0431,-0.04819
76,22.625,1.0454,-0.04895
77,23.043,1.0477,-0.04981
78,23.363,1.0500,-0.05062
79,23.707,1.0522,-0.05139
80,24.125,1.0546,-0.05222
81,24.420,1.0568,-0.05298
82,24.765,1.0590,-0.0538
83,25.134,1.0613,-0.05463
84,25.527,1.0635,-0.05542
85,25.822,1.0657,-0.05616
86,26.191,1.0679,-0.05697
87,26.486,1.0701,-0.05771
88,26.855,1.0722,-0.0585
89,27.126,1.0744,-0.05927
90,27.544,1.0766,-0.06008
91,27.888,1.0788,-0.06087
92,28.232,1.0810,-0.06165
93,28.576,1.0831,-0.06242
94,28.921,1.0853,-0.0632
95,29.240,1.0873,-0.06397
96,29.585,1.0895,-0.06474
97,29.929,1.0916,-0.06547
98,30.273,1.0937,-0.06624
99,30.544,1.0958,-0.06706
100,30.888,1.0978,-0.06778
101,31.257,1.0999,-0.06857
102,31.577,1.1020,-0.06928
103,31.872,1.1040,-0.06998
104,32.192,1.1061,-0.07082
105,32.585,1.1081,-0.07159
106,32.856,1.1101,-0.07234
107,33.224,1.1122,-0.07307
108,33.544,1.1142,-0.07384
109,33.839,1.1162,-0.07449
110,34.159,1.1182,-0.07526
111,34.503,1.1202,-0.07601
112,34.823,1.1222,-0.07678
113,35.167,1.1242,-0.07749
114,35.413,1.1261,-0.07817
115,35.807,1.1281,-0.07898
116,36.151,1.1300,-0.07961
117,36.397,1.1320,-0.08041
118,36.692,1.1339,-0.0811
119,37.061,1.1358,-0.08182
120,37.331,1.1377,-0.08254
121,37.651,1.1396,-0.08326
122,37.995,1.1415,-0.08403
123,38.364,1.1434,-0.08471
124,38.610,1.1453,-0.08545
125,38.905,1.1471,-0.08613
126,39.225,1.1490,-0.08675
127,39.496,1.1509,-0.08745
128,39.840,1.1528,-0.08811
129,40.110,1.1545,-0.08882
130,40.430,1.1564,-0.08954
131,40.750,1.1582,-0.09021
132,41.045,1.1601,-0.0909
133,41.340,1.1619,-0.09162
134,41.684,1.1637,-0.0923
135,41.955,1.1655,-0.09297
136,42.201,1.1673,-0.09365
137,42.496,1.1691,-0.09433
138,42.816,1.1708,-0.09505
139,43.086,1.1726,-0.09568
140,43.455,1.1744,-0.09638
141,43.701,1.1761,-0.09704
142,44.021,1.1779,-0.09776
143,44.291,1.1796,-0.09836
144,44.562,1.1813,-0.09899
145,44.857,1.1831,-0.09974
146,45.152,1.1848,-0.1003
147,45.447,1.1866,-0.101
148,45.717,1.1883,-0.1017
149,45.988,1.1900,-0.1024
150,46.357,1.1917,-0.1029
151,46.578,1.1934,-0.1037
152,46.873,1.1952,-0.1043
153,47.119,1.1968,-0.105
154,47.439,1.1985,-0.1056
155,47.709,1.2002,-0.1063
156,48.029,1.2019,-0.1069
157,48.300,1.2035,-0.1075
158,48.619,1.2051,-0.1082
159,48.865,1.2068,-0.1088
160,49.160,1.2085,-0.1095
161,49.406,1.2101,-0.1101
162,49.701,1.2118,-0.1107
163,49.947,1.2133,-0.1113
164,50.243,1.2150,-0.112
165,50.488,1.2166,-0.1126
166,50.759,1.2182,-0.1132
167,51.103,1.2198,-0.1137
168,51.325,1.2214,-0.1144
169,51.570,1.2230,-0.115
170,51.866,1.2246,-0.1156
171,52.112,1.2262,-0.1163
172,52.431,1.2278,-0.1169
173,52.677,1.2294,-0.1174
174,52.972,1.2310,-0.1181
175,53.218,1.2326,-0.1187
176,53.489,1.2340,-0.1192
177,53.710,1.2356,-0.1198
178,53.956,1.2372,-0.1205
179,54.300,1.2387,-0.121
180,54.497,1.2402,-0.1216
181,54.768,1.2417,-0.1222
182,55.038,1.2433,-0.1228
183,55.235,1.2448,-0.1233
184,55.505,1.2464,-0.1241
185,55.825,1.2478,-0.1245
186,56.071,1.2494,-0.1252
187,56.292,1.2509,-0.1258
188,56.587,1.2524,-0.1263
189,56.858,1.2539,-0.1269
190,57.079,1.2553,-0.1275
191,57.276,1.2568,-0.1281
192,57.596,1.2583,-0.1286
193,57.842,1.2598,-0.1291
194,58.088,1.2613,-0.1298
195,58.309,1.2628,-0.1303
196,58.555,1.2642,-0.1308
197,58.776,1.2656,-0.1313
198,59.071,1.2671,-0.132
199,59.317,1.2686,-0.1326
200,59.538,1.2700,-0.1331
201,59.784,1.2715,-0.1337
202,60.006,1.2729,-0.1342
203,60.276,1.2743,-0.1347
204,60.522,1.2758,-0.1353
205,60.719,1.2772,-0.1359
206,60.940,1.2787,-0.1364
207,61.211,1.2801,-0.1369
208,61.506,1.2815,-0.1375
209,61.727,1.2829,-0.1381
210,61.998,1.2843,-0.1385
211,62.170,1.2857,-0.1391
212,62.391,1.2871,-0.1396
213,62.711,1.2885,-0.1402
214,62.883,1.2898,-0.1407
215,63.129,1.2913,-0.1412
216,63.301,1.2926,-0.1416
217,63.596,1.2940,-0.1422
218,63.867,1.2954,-0.1428
219,64.088,1.2968,-0.1433
220,64.260,1.2981,-0.1439
221,64.457,1.2995,-0.1444
222,64.703,1.3009,-0.1449
223,64.949,1.3022,-0.1454
224,65.146,1.3036,-0.1459
225,65.367,1.3049,-0.1466
226,65.662,1.3063,-0.147
227,65.883,1.3076,-0.1474
228,66.056,1.3089,-0.148
229,66.351,1.3103,-0.1485
230,66.523,1.3116,-0.149
231,66.769,1.3129,-0.1495
232,66.990,1.3143,-0.1499
233,67.211,1.3156,-0.1504
234,67.433,1.3169,-0.151
235,67.580,1.3182,-0.1515
236,67.851,1.3195,-0.1519
237,68.072,1.3208,-0.1525
238,68.269,1.3221,-0.153
239,68.490,1.3234,-0.1535
240,68.736,1.3247,-0.154
241,68.859,1.3260,-0.1545
242,69.130,1.3274,-0.1548
243,69.376,1.3286,-0.1553
244,69.597,1.3299,-0.1558
245,69.794,1.3312,-0.1563
246,69.966,1.3324,-0.1568
247,70.212,1.3337,-0.1572
248,70.408,1.3350,-0.1578
249,70.630,1.3362,-0.1581
250,70.826,1.3375,-0.1586
251,71.072,1.3388,-0.159
252,71.269,1.3400,-0.1596
253,71.441,1.3413,-0.16
254,71.663,1.3425,-0.1605
255,71.884,1.3438,-0.1609
256,72.081,1.3450,-0.1615
257,72.302,1.3463,-0.1619
258,72.450,1.3475,-0.1624
259,72.646,1.3487,-0.1628
260,72.818,1.3500,-0.1632
261,73.089,1.3512,-0.1637
262,73.261,1.3525,-0.164
263,73.482,1.3537,-0.1646
264,73.655,1.3549,-0.1651
265,73.901,1.3561,-0.1655
266,74.048,1.3573,-0.1658
267,74.245,1.3585,-0.1664
268,74.442,1.3598,-0.1668
269,74.614,1.3609,-0.1673
270,74.786,1.3621,-0.1676
271,75.032,1.3633,-0.1681
272,75.253,1.3645,-0.1685
273,75.401,1.3657,-0.1689
274,75.597,1.3670,-0.1693
275,75.770,1.3681,-0.1697
276,75.942,1.3693,-0.1701
277,76.188,1.3705,-0.1707
278,76.335,1.3717,-0.1709
279,76.532,1.3728,-0.1716
280,76.729,1.3741,-0.1719
281,76.925,1.3752,-0.1723
282,77.122,1.3764,-0.1727
283,77.245,1.3776,-0.1732
