current[mA],power[mW],voltage[V],mpd_current[mA]
1,-0.000,0.7669,-8.367e-05
2,-0.025,0.7843,-0.0001007
3,0.025,0.7976,-0.0001168
4,-0.025,0.8084,-0.0001319
5,0.025,0.8180,-0.0001469
6,0.025,0.8260,-0.0001616
7,-0.025,0.8336,-0.000177
8,0.025,0.8407,-0.0001931
9,0.025,0.8472,-0.0002096
10,-0.000,0.8534,-0.0002279
11,0.049,0.8592,-0.0002471
12,0.074,0.8647,-0.0002679
13,0.025,0.8701,-0.0002916
14,0.049,0.8752,-0.0003165
15,0.074,0.8800,-0.0003439
16,0.098,0.8846,-0.0003755
17,0.098,0.8894,-0.000415
18,0.172,0.8934,-0.0005505
19,0.664,0.8965,-0.001522
20,1.180,0.8994,-0.002631
21,1.771,0.9022,-0.003703
22,2.238,0.9051,-0.00479
23,2.754,0.9080,-0.00586
24,3.295,0.9109,-0.006865
25,3.713,0.9138,-0.007884
26,4.205,0.9168,-0.008911
27,4.648,0.9197,-0.009909
28,5.115,0.9227,-0.01091
29,5.509,0.9256,-0.01192
30,6.001,0.9285,-0.01288
31,6.394,0.9314,-0.01384
32,6.812,0.9344,-0.01483
33,7.279,0.9373,-0.01577
34,7.697,0.9402,-0.01672
35,8.115,0.9432,-0.01769
36,8.558,0.9460,-0.01862
37,9.001,0.9489,-0.01959
38,9.419,0.9518,-0.02054
39,9.862,0.9547,-0.02148
40,10.230,0.9577,-0.02246
41,10.624,0.9606,-0.02337
42,11.017,0.9634,-0.02432
43,11.460,0.9663,-0.02524
44,11.829,0.9690,-0.02614
45,12.247,0.9719,-0.02709
46,12.640,0.9747,-0.028
47,13.034,0.9775,-0.02893
48,13.427,0.9804,-0.02987
49,13.846,0.9831,-0.03076
50,14.190,0.9859,-0.03166
51,14.632,0.9886,-0.03256
52,15.026,0.9913,-0.03347
53,15.346,0.9941,-0.03438
54,15.739,0.9968,-0.03531
55,16.206,0.9996,-0.0362
56,16.551,1.0023,-0.03707
57,16.969,1.0050,-0.03798
58,17.362,1.0077,-0.03888
59,17.756,1.0104,-0.03977
60,18.149,1.0131,-0.04069
61,18.494,1.0158,-0.04157
62,18.887,1.0184,-0.04243
63,19.280,1.0210,-0.04334
64,19.649,1.0236,-0.04427
65,19.969,1.0262,-0.04514
66,20.387,1.0289,-0.04603
67,20.781,1.0314,-0.04692
68,21.100,1.0340,-0.04776
69,21.518,1.0366,-0.04863
70,21.838,1.0391,-0.04954
71,22.281,1.0417,-0.0504
72,22.600,1.0442,-0.05126
73,23.019,1.0467,-0.05215
74,23.363,1.0493,-0.05304
75,23.756,1.0519,-0.05391
76,24.101,1.0543,-0.05473
77,24.494,1.0568,-0.05564
78,24.814,1.0592,-0.05646
79,25.207,1.0617,-0.05724
80,25.552,1.0641,-0.05812
81,25.896,1.0666,-0.05893
82,26.314,1.0689,-0.05978
83,26.658,1.0714,-0.06067
84,26.978,1.0738,-0.06151
85,27.347,1.0762,-0.06232
86,27.691,1.0786,-0.0632
87,28.085,1.0810,-0.06404
88,28.429,1.0833,-0.06485
89,28.773,1.0857,-0.06569
90,29.117,1.0880,-0.06655
91,29.511,1.0904,-0.06737
92,29.806,1.0928,-0.06823
93,30.175,1.0951,-0.06904
94,30.544,1.0973,-0.06996
95,30.962,1.0997,-0.07074
96,31.306,1.1020,-0.07157
97,31.651,1.1042,-0.07234
98,31.946,1.1065,-0.07315
99,32.315,1.1088,-0.07397
100,32.634,1.1110,-0.07481
101,32.929,1.1133,-0.07556
102,33.323,1.1156,-0.07636
103,33.692,1.1177,-0.07717
104,33.987,1.1200,-0.07801
105,34.405,1.1222,-0.07879
106,34.725,1.1244,-0.07956
107,35.044,1.1266,-0.08038
108,35.364,1.1288,-0.08115
109,35.733,1.1309,-0.08204
110,36.053,1.1331,-0.08279
111,36.397,1.1353,-0.08358
112,36.717,1.1374,-0.08436
113,37.036,1.1395,-0.08515
114,37.356,1.1416,-0.086
115,37.651,1.1438,-0.08681
116,38.020,1.1459,-0.08757
117,38.364,1.1480,-0.08828
118,38.709,1.1501,-0.08909
119,39.077,1.1522,-0.08988
120,39.323,1.1543,-0.09061
121,39.668,1.1563,-0.09137
122,39.963,1.1584,-0.09222
123,40.283,1.1604,-0.09291
124,40.676,1.1625,-0.09368
125,40.947,1.1646,-0.09447
126,41.315,1.1666,-0.0952
127,41.660,1.1686,-0.09596
128,41.930,1.1706,-0.09673
129,42.348,1.1726,-0.09743
130,42.570,1.1746,-0.09824
131,42.914,1.1767,-0.09904
132,43.234,1.1787,-0.09975
133,43.553,1.1806,-0.1005
134,43.873,1.1826,-0.1013
135,44.217,1.1845,-0.102
136,44.488,1.1865,-0.1028
137,44.783,1.1885,-0.1035
138,45.103,1.1904,-0.1043
139,45.447,1.1923,-0.105
140,45.742,1.1942,-0.1057
141,46.037,1.1961,-0.1064
142,46.332,1.1981,-0.1071
143,46.677,1.1999,-0.1079
144,47.021,1.2018,-0.1085
145,47.291,1.2037,-0.1093
146,47.587,1.2056,-0.11
147,47.931,1.2075,-0.1108
148,48.226,1.2094,-0.1114
149,48.521,1.2112,-0.1122
150,48.792,1.2130,-0.113
151,49.087,1.2149,-0.1136
152,49.406,1.2168,-0.1143
153,49.726,1.2186,-0.1151
154,49.997,1.2204,-0.1158
155,50.316,1.2222,-0.1165
156,50.587,1.2240,-0.1172
157,50.907,1.2258,-0.1178
158,51.152,1.2275,-0.1186
159,51.521,1.2295,-0.1193
160,51.767,1.2312,-0.12
161,52.087,1.2330,-0.1206
162,52.357,1.2348,-0.1213
163,52.702,1.2366,-0.1219
164,52.898,1.2383,-0.1226
165,53.243,1.2401,-0.1233
166,53.513,1.2418,-0.124
167,53.833,1.2435,-0.1248
168,54.104,1.2453,-0.1255
169,54.374,1.2470,-0.1261
170,54.620,1.2488,-0.1269
171,54.989,1.2505,-0.1274
172,55.284,1.2522,-0.1281
173,55.481,1.2539,-0.1289
174,55.825,1.2556,-0.1295
175,56.120,1.2573,-0.1301
176,56.292,1.2590,-0.1308
177,56.637,1.2607,-0.1315
178,56.956,1.2624,-0.1321
179,57.202,1.2640,-0.1327
180,57.497,1.2657,-0.1334
181,57.768,1.2673,-0.1341
182,58.038,1.2690,-0.1346
183,58.309,1.2707,-0.1353
184,58.530,1.2723,-0.136
185,58.850,1.2740,-0.1368
186,59.145,1.2756,-0.1372
187,59.391,1.2773,-0.138
188,59.711,1.2789,-0.1387
189,59.907,1.2805,-0.1392
190,60.202,1.2821,-0.1399
191,60.473,1.2837,-0.1407
192,60.768,1.2854,-0.1412
193,61.014,1.2869,-0.1418
194,61.285,1.2886,-0.1425
195,61.555,1.2902,-0.143
196,61.801,1.2917,-0.1436
197,62.072,1.2933,-0.1442
198,62.367,1.2949,-0.1449
199,62.588,1.2964,-0.1455
200,62.883,1.2980,-0.1461
201,63.154,1.2996,-0.1468
202,63.350,1.3011,-0.1474
203,63.621,1.3027,-0.148
204,63.891,1.3042,-0.1487
205,64.088,1.3058,-0.1493
206,64.432,1.3074,-0.1499
207,64.678,1.3089,-0.1505
208,64.949,1.3104,-0.151
209,65.219,1.3120,-0.1517
210,65.441,1.3135,-0.1523
211,65.711,1.3149,-0.1527
212,65.933,1.3165,-0.1534
213,66.105,1.3180,-0.1541
214,66.449,1.3195,-0.1545
215,66.670,1.3210,-0.1551
216,66.916,1.3225,-0.1558
217,67.162,1.3240,-0.1564
218,67.408,1.3255,-0.157
219,67.605,1.3269,-0.1576
220,67.925,1.3284,-0.1582
221,68.220,1.3299,-0.1589
222,68.441,1.3314,-0.1594
223,68.613,1.3328,-0.16
224,68.933,1.3343,-0.1606
225,69.130,1.3357,-0.1611
226,69.400,1.3372,-0.1616
227,69.621,1.3386,-0.1623
228,69.818,1.3401,-0.1627
229,70.138,1.3415,-0.1633
230,70.310,1.3430,-0.1639
231,70.581,1.3444,-0.1644
232,70.876,1.3458,-0.1649
233,71.072,1.3473,-0.1655
234,71.294,1.3486,-0.1661
235,71.515,1.3501,-0.1667
236,71.712,1.3515,-0.1672
237,72.007,1.3529,-0.1679
238,72.179,1.3543,-0.1685
239,72.474,1.3557,-0.169
240,72.671,1.3571,-0.1696
241,72.966,1.3585,-0.1701
242,73.163,1.3599,-0.1705
243,73.360,1.3613,-0.1712
244,73.556,1.3627,-0.1717
245,73.802,1.3641,-0.1721
246,74.048,1.3655,-0.1728
247,74.269,1.3668,-0.1732
248,74.466,1.3682,-0.1737
249,74.737,1.3695,-0.1744
250,74.909,1.3709,-0.1747
251,75.204,1.3723,-0.1754
252,75.352,1.3737,-0.1759
253,75.622,1.3751,-0.1765
254,75.819,1.3764,-0.177
255,76.065,1.3777,-0.1775
256,76.237,1.3791,-0.1781
257,76.483,1.3804,-0.1786
258,76.680,1.3817,-0.1791
259,76.925,1.3831,-0.1797
260,77.073,1.3844,-0.1801
261,77.319,1.3857,-0.1807
262,77.540,1.3871,-0.1811
263,77.737,1.3884,-0.1815
264,77.934,1.3897,-0.1819
265,78.204,1.3910,-0.1826
266,78.450,1.3924,-0.1831
267,78.524,1.3937,-0.1836
268,78.844,1.3950,-0.1842
269,79.016,1.3962,-0.1848
270,79.237,1.3976,-0.1853
271,79.458,1.3989,-0.1857
272,79.680,1.4002,-0.1864
273,79.852,1.4015,-0.1868
274,80.098,1.4028,-0.1871
275,80.221,1.4041,-0.1877
276,80.541,1.4054,-0.1882
277,80.663,1.4066,-0.1885
278,80.885,1.4079,-0.1891
279,81.032,1.4092,-0.1895
280,81.278,1.4105,-0.1901
281,81.450,1.4117,-0.1905
282,81.647,1.4130,-0.1911
