current[mA],power[mW],voltage[V],mpd_current[mA]
1,0.049,0.7594,-6.987e-05
2,-0.000,0.7790,-8.48e-05
3,-0.000,0.7923,-9.826e-05
4,-0.000,0.8037,-0.0001109
5,-0.000,0.8130,-0.0001248
6,-0.000,0.8209,-0.0001378
7,0.025,0.8285,-0.0001514
8,0.025,0.8354,-0.0001658
9,-0.000,0.8416,-0.0001811
10,0.025,0.8475,-0.0001983
11,-0.000,0.8533,-0.0002188
12,0.098,0.8582,-0.0003894
13,0.492,0.8616,-0.001522
14,0.885,0.8647,-0.002817
15,1.279,0.8678,-0.004039
16,1.648,0.8710,-0.005301
17,2.041,0.8741,-0.006567
18,2.435,0.8772,-0.007749
19,2.828,0.8802,-0.008987
20,3.246,0.8832,-0.01024
21,3.615,0.8862,-0.01146
22,3.984,0.8893,-0.0127
23,4.377,0.8923,-0.01392
24,4.746,0.8952,-0.01508
25,5.140,0.8981,-0.01631
26,5.607,0.9011,-0.01756
27,5.902,0.9040,-0.01874
28,6.345,0.9069,-0.01993
29,6.714,0.9098,-0.02112
30,7.083,0.9126,-0.02234
31,7.501,0.9155,-0.02357
32,7.820,0.9184,-0.0248
33,8.263,0.9213,-0.02595
34,8.632,0.9240,-0.02711
35,9.075,0.9268,-0.02834
36,9.419,0.9296,-0.0295
37,9.739,0.9324,-0.03068
38,10.181,0.9351,-0.03184
39,10.550,0.9379,-0.03302
40,10.894,0.9407,-0.03418
41,11.288,0.9433,-0.03533
42,11.657,0.9460,-0.0365
43,12.075,0.9487,-0.03766
44,12.419,0.9514,-0.0388
45,12.763,0.9541,-0.03997
46,13.231,0.9568,-0.04114
47,13.526,0.9593,-0.04231
48,13.919,0.9620,-0.04346
49,14.214,0.9646,-0.0446
50,14.632,0.9671,-0.04572
51,15.026,0.9698,-0.04685
52,15.346,0.9723,-0.04798
53,15.739,0.9748,-0.04914
54,16.059,0.9774,-0.05031
55,16.477,0.9800,-0.05145
56,16.821,0.9825,-0.05257
57,17.190,0.9850,-0.0537
58,17.559,0.9876,-0.05488
59,17.879,0.9900,-0.05596
60,18.223,0.9925,-0.05714
61,18.616,0.9950,-0.05827
62,18.936,0.9974,-0.05933
63,19.354,0.9998,-0.06044
64,19.699,1.0024,-0.06156
65,20.067,1.0048,-0.06267
66,20.363,1.0072,-0.06376
67,20.756,1.0096,-0.06486
68,21.150,1.0119,-0.06593
69,21.518,1.0144,-0.06699
70,21.838,1.0167,-0.06812
71,22.158,1.0190,-0.06915
72,22.527,1.0213,-0.07022
73,22.896,1.0236,-0.07128
74,23.191,1.0260,-0.07236
75,23.535,1.0283,-0.07344
76,23.904,1.0306,-0.07451
77,24.273,1.0329,-0.07565
78,24.592,1.0352,-0.0767
79,24.937,1.0373,-0.07771
80,25.281,1.0396,-0.07878
81,25.576,1.0419,-0.07991
82,25.920,1.0441,-0.08091
83,26.289,1.0463,-0.082
84,26.634,1.0486,-0.08309
85,26.978,1.0508,-0.08412
86,27.322,1.0530,-0.08516
87,27.642,1.0552,-0.08627
88,27.962,1.0574,-0.08728
89,28.257,1.0595,-0.08828
90,28.650,1.0616,-0.08929
91,29.019,1.0638,-0.09029
92,29.290,1.0659,-0.09139
93,29.585,1.0680,-0.09235
94,29.954,1.0701,-0.09336
95,30.273,1.0723,-0.09433
96,30.568,1.0744,-0.09534
97,30.888,1.0765,-0.09639
98,31.232,1.0786,-0.09737
99,31.626,1.0807,-0.09838
100,31.921,1.0827,-0.09936
101,32.241,1.0847,-0.1004
102,32.560,1.0868,-0.1014
103,32.905,1.0888,-0.1025
104,33.200,1.0909,-0.1035
105,33.495,1.0929,-0.1045
106,33.815,1.0948,-0.1054
107,34.184,1.0969,-0.1065
108,34.454,1.0989,-0.1074
109,34.774,1.1008,-0.1084
110,35.143,1.1029,-0.1093
111,35.364,1.1048,-0.1103
112,35.733,1.1067,-0.1113
113,36.028,1.1086,-0.1121
114,36.323,1.1106,-0.1132
115,36.643,1.1126,-0.1141
116,36.987,1.1145,-0.115
117,37.282,1.1164,-0.1159
118,37.577,1.1183,-0.1169
119,37.897,1.1203,-0.1179
120,38.168,1.1221,-0.1188
121,38.536,1.1240,-0.1198
122,38.782,1.1259,-0.1208
123,39.077,1.1277,-0.1217
124,39.373,1.1297,-0.1227
125,39.717,1.1315,-0.1236
126,39.963,1.1333,-0.1245
127,40.283,1.1352,-0.1254
128,40.578,1.1370,-0.1264
129,40.897,1.1388,-0.1274
130,41.168,1.1407,-0.1282
131,41.488,1.1425,-0.1291
132,41.758,1.1443,-0.1301
