current[mA],power[mW],voltage[V],mpd_current[mA]
1,0.025,0.7672,-9.245e-05
2,-0.025,0.7851,-0.0001116
3,0.025,0.7974,-0.0001305
4,-0.000,0.8080,-0.0001479
5,-0.000,0.8170,-0.0001647
6,-0.049,0.8251,-0.0001813
7,-0.025,0.8324,-0.0001985
8,-0.000,0.8391,-0.0002166
9,0.025,0.8453,-0.0002348
10,0.025,0.8511,-0.0002552
11,-0.000,0.8568,-0.0002767
12,0.049,0.8619,-0.0002991
13,0.025,0.8669,-0.0003274
14,0.098,0.8716,-0.0004866
15,0.516,0.8747,-0.001472
16,0.910,0.8777,-0.002647
17,1.353,0.8807,-0.003811
18,1.844,0.8837,-0.004936
19,2.238,0.8866,-0.006087
20,2.681,0.8896,-0.007214
21,3.099,0.8924,-0.008314
22,3.541,0.8954,-0.009469
23,3.959,0.8983,-0.01061
24,4.353,0.9012,-0.01173
25,4.795,0.9041,-0.01285
26,5.115,0.9070,-0.01396
27,5.607,0.9097,-0.01504
28,5.976,0.9126,-0.01618
29,6.394,0.9154,-0.01729
30,6.787,0.9183,-0.01839
31,7.206,0.9211,-0.01949
32,7.648,0.9239,-0.02063
33,7.968,0.9267,-0.02172
34,8.435,0.9295,-0.02278
35,8.779,0.9323,-0.02389
36,9.198,0.9350,-0.02498
37,9.616,0.9378,-0.02611
38,9.984,0.9405,-0.02712
39,10.353,0.9432,-0.02823
40,10.747,0.9459,-0.02931
41,11.165,0.9485,-0.03036
42,11.558,0.9512,-0.03146
43,11.952,0.9539,-0.03254
44,12.321,0.9565,-0.03358
45,12.690,0.9591,-0.03465
46,13.132,0.9618,-0.03573
47,13.452,0.9644,-0.03678
48,13.796,0.9670,-0.03785
49,14.239,0.9696,-0.03887
50,14.608,0.9721,-0.03997
51,14.977,0.9748,-0.04099
52,15.346,0.9773,-0.04204
53,15.715,0.9797,-0.0431
54,16.083,0.9823,-0.04415
55,16.477,0.9848,-0.04522
56,16.821,0.9873,-0.04624
57,17.190,0.9898,-0.04732
58,17.633,0.9923,-0.04833
59,17.928,0.9947,-0.04934
60,18.321,0.9972,-0.05037
61,18.666,0.9996,-0.05141
62,19.059,1.0021,-0.05247
63,19.403,1.0046,-0.05349
64,19.748,1.0070,-0.05448
65,20.141,1.0093,-0.0555
66,20.535,1.0118,-0.05655
67,20.904,1.0142,-0.05754
68,21.272,1.0165,-0.05855
69,21.641,1.0189,-0.05953
70,21.986,1.0212,-0.06051
71,22.281,1.0235,-0.06148
72,22.723,1.0259,-0.06252
73,23.043,1.0281,-0.06351
74,23.338,1.0305,-0.0645
75,23.707,1.0327,-0.06551
76,24.051,1.0350,-0.06647
77,24.445,1.0373,-0.06743
78,24.789,1.0395,-0.06845
79,25.109,1.0417,-0.06945
80,25.478,1.0440,-0.07047
81,25.822,1.0462,-0.07144
82,26.216,1.0485,-0.07241
83,26.535,1.0507,-0.07345
84,26.806,1.0530,-0.07435
85,27.248,1.0551,-0.07538
86,27.568,1.0573,-0.07632
87,27.863,1.0594,-0.07734
88,28.281,1.0616,-0.07822
89,28.576,1.0637,-0.07922
90,28.945,1.0658,-0.08012
91,29.290,1.0679,-0.08105
