current[mA],power[mW],voltage[V],mpd_current[mA]
1,-0.025,0.7668,-8.831e-05
2,-0.025,0.7846,-0.000107
3,-0.000,0.7974,-0.0001254
4,-0.000,0.8080,-0.0001427
5,-0.025,0.8175,-0.0001594
6,-0.000,0.8255,-0.0001761
7,-0.000,0.8330,-0.0001927
8,-0.000,0.8398,-0.0002108
9,-0.000,0.8459,-0.0002284
10,0.025,0.8518,-0.0002493
11,0.025,0.8576,-0.0002701
12,0.049,0.8627,-0.0002933
13,0.025,0.8679,-0.0003201
14,0.098,0.8728,-0.0004066
15,0.393,0.8762,-0.001495
16,0.836,0.8792,-0.002944
17,1.205,0.8822,-0.004401
18,1.598,0.8853,-0.005807
19,2.066,0.8883,-0.007253
20,2.459,0.8913,-0.008667
21,2.853,0.8943,-0.01011
22,3.246,0.8974,-0.01151
23,3.615,0.9003,-0.01288
24,4.082,0.9031,-0.01428
25,4.377,0.9062,-0.0157
26,4.845,0.9092,-0.01709
27,5.164,0.9120,-0.01843
28,5.582,0.9149,-0.01982
29,5.976,0.9178,-0.0212
30,6.320,0.9207,-0.02257
31,6.738,0.9236,-0.02396
32,7.132,0.9265,-0.02534
33,7.501,0.9293,-0.02666
34,7.845,0.9322,-0.02803
35,8.288,0.9350,-0.02939
36,8.607,0.9377,-0.03073
37,9.050,0.9405,-0.03215
38,9.370,0.9433,-0.03344
39,9.739,0.9461,-0.03476
40,10.107,0.9488,-0.0361
41,10.452,0.9515,-0.03739
42,10.870,0.9543,-0.03879
43,11.214,0.9571,-0.04009
44,11.583,0.9597,-0.04136
45,12.026,0.9624,-0.04272
46,12.345,0.9652,-0.04401
47,12.763,0.9678,-0.04536
48,13.059,0.9705,-0.04663
49,13.477,0.9731,-0.04793
50,13.796,0.9757,-0.04922
51,14.190,0.9783,-0.05052
52,14.485,0.9810,-0.0518
53,14.928,0.9835,-0.05309
54,15.321,0.9862,-0.05438
55,15.616,0.9887,-0.0556
56,15.960,0.9912,-0.05688
57,16.305,0.9938,-0.05817
58,16.723,0.9963,-0.05947
59,17.067,0.9988,-0.06072
60,17.411,1.0015,-0.06196
61,17.805,1.0040,-0.06327
62,18.149,1.0065,-0.0645
63,18.469,1.0090,-0.06576
64,18.862,1.0114,-0.06698
65,19.207,1.0138,-0.0682
66,19.526,1.0163,-0.06943
67,19.871,1.0187,-0.07072
68,20.215,1.0211,-0.07191
69,20.559,1.0235,-0.07313
70,20.904,1.0260,-0.07435
71,21.248,1.0283,-0.07558
72,21.641,1.0307,-0.0768
73,21.936,1.0329,-0.07795
74,22.256,1.0353,-0.07914
75,22.576,1.0376,-0.08037
76,22.945,1.0399,-0.08154
77,23.264,1.0423,-0.08269
78,23.633,1.0446,-0.08396
79,23.953,1.0469,-0.0851
80,24.273,1.0492,-0.08629
81,24.617,1.0515,-0.08748
82,25.011,1.0538,-0.08861
83,25.306,1.0560,-0.08982
84,25.675,1.0583,-0.09103
85,25.994,1.0605,-0.09212
86,26.363,1.0627,-0.09327
87,26.683,1.0650,-0.09446
88,27.003,1.0671,-0.0956
89,27.322,1.0693,-0.09676
90,27.667,1.0715,-0.09791
91,27.937,1.0737,-0.09909
92,28.306,1.0759,-0.1002
93,28.601,1.0780,-0.1014
94,28.970,1.0801,-0.1025
95,29.290,1.0823,-0.1036
96,29.634,1.0845,-0.1047
97,29.904,1.0865,-0.1058
98,30.273,1.0886,-0.1069
99,30.593,1.0908,-0.1081
100,30.864,1.0929,-0.1091
101,31.208,1.0949,-0.1102
102,31.503,1.0970,-0.1113
103,31.823,1.0990,-0.1124
104,32.167,1.1011,-0.1135
105,32.487,1.1031,-0.1145
106,32.757,1.1052,-0.1156
107,33.126,1.1073,-0.1168
108,33.372,1.1092,-0.1178
109,33.765,1.1113,-0.1188
110,34.085,1.1133,-0.12
111,34.380,1.1153,-0.121
112,34.675,1.1173,-0.1222
113,34.995,1.1193,-0.1232
114,35.266,1.1212,-0.1242
115,35.536,1.1232,-0.1252
116,35.930,1.1252,-0.1263
117,36.151,1.1270,-0.1273
118,36.520,1.1290,-0.1284
119,36.766,1.1309,-0.1294
120,37.061,1.1328,-0.1304
121,37.430,1.1347,-0.1315
122,37.676,1.1367,-0.1325
123,38.045,1.1385,-0.1335
124,38.340,1.1404,-0.1345
125,38.659,1.1423,-0.1355
126,38.930,1.1442,-0.1365
127,39.176,1.1461,-0.1375
128,39.496,1.1479,-0.1385
129,39.766,1.1497,-0.1395
130,40.135,1.1516,-0.1404
131,40.356,1.1535,-0.1415
132,40.651,1.1552,-0.1425
133,40.971,1.1571,-0.1435
134,41.291,1.1589,-0.1445
135,41.586,1.1608,-0.1455
136,41.856,1.1626,-0.1465
137,42.102,1.1644,-0.1475
138,42.447,1.1662,-0.1484
139,42.717,1.1679,-0.1494
140,42.963,1.1697,-0.1503
141,43.357,1.1715,-0.1514
142,43.504,1.1732,-0.1522
143,43.922,1.1750,-0.1531
