current[mA],power[mW],voltage[V],mpd_current[mA]
1,0.025,0.7682,-8.08e-05
2,-0.049,0.7860,-9.659e-05
3,0.025,0.7989,-0.0001101
4,-0.000,0.8094,-0.0001252
5,0.025,0.8185,-0.0001389
6,0.049,0.8264,-0.0001524
7,0.025,0.8337,-0.0001673
8,0.049,0.8408,-0.0001825
9,-0.000,0.8469,-0.0001985
10,0.049,0.8529,-0.0002159
11,0.049,0.8587,-0.0002355
12,0.025,0.8640,-0.0002566
13,0.025,0.8692,-0.0002804
14,0.049,0.8743,-0.0003062
15,0.074,0.8789,-0.0003351
16,0.098,0.8835,-0.0003741
17,0.246,0.8878,-0.0006332
18,0.762,0.8906,-0.001649
19,1.230,0.8934,-0.002717
20,1.795,0.8962,-0.003803
21,2.238,0.8991,-0.004823
22,2.730,0.9019,-0.005903
23,3.197,0.9049,-0.006941
24,3.664,0.9076,-0.007931
25,4.107,0.9105,-0.008953
26,4.574,0.9134,-0.009985
27,5.017,0.9163,-0.01098
28,5.509,0.9192,-0.01201
29,5.902,0.9220,-0.013
30,6.345,0.9249,-0.01399
31,6.763,0.9278,-0.01499
32,7.230,0.9307,-0.01599
33,7.599,0.9335,-0.01696
34,8.115,0.9363,-0.01794
35,8.558,0.9392,-0.01896
36,8.927,0.9421,-0.01989
37,9.320,0.9449,-0.02087
38,9.739,0.9476,-0.02181
39,10.132,0.9504,-0.02279
40,10.575,0.9532,-0.02376
41,10.944,0.9560,-0.02469
42,11.362,0.9587,-0.02568
43,11.731,0.9615,-0.02664
44,12.149,0.9642,-0.0276
45,12.542,0.9670,-0.02854
46,12.886,0.9697,-0.02953
47,13.280,0.9724,-0.03047
48,13.723,0.9751,-0.03138
49,14.165,0.9778,-0.03232
50,14.534,0.9804,-0.03324
51,14.903,0.9831,-0.03421
52,15.247,0.9858,-0.03517
53,15.739,0.9885,-0.03614
54,16.034,0.9911,-0.03704
55,16.452,0.9938,-0.03798
56,16.821,0.9962,-0.03889
57,17.166,0.9989,-0.03982
58,17.608,1.0015,-0.04075
59,17.977,1.0041,-0.04165
60,18.371,1.0067,-0.04256
61,18.690,1.0092,-0.04349
