current[mA],power[mW],voltage[V],mpd_current[mA]
1,-0.025,0.7655,-8.719e-05
2,-0.025,0.7840,-0.0001067
3,0.025,0.7971,-0.0001259
4,-0.025,0.8079,-0.0001432
5,-0.000,0.8173,-0.0001597
6,-0.000,0.8255,-0.000176
7,0.025,0.8332,-0.0001926
8,0.025,0.8401,-0.0002098
9,0.074,0.8465,-0.0002268
10,0.025,0.8525,-0.0002458
11,0.074,0.8583,-0.0002658
12,0.049,0.8636,-0.0002874
13,0.074,0.8690,-0.0003117
14,0.074,0.8740,-0.0003386
15,0.074,0.8787,-0.0003719
16,0.295,0.8828,-0.0007404
17,0.713,0.8859,-0.001653
18,1.254,0.8889,-0.002546
19,1.697,0.8918,-0.003461
20,2.139,0.8948,-0.00435
21,2.582,0.8977,-0.005227
22,3.099,0.9008,-0.006114
23,3.467,0.9038,-0.00699
24,3.935,0.9067,-0.007851
25,4.402,0.9097,-0.008747
26,4.869,0.9127,-0.009613
27,5.238,0.9156,-0.01046
28,5.681,0.9185,-0.01134
29,6.148,0.9215,-0.01223
30,6.542,0.9245,-0.01306
31,6.960,0.9274,-0.01391
32,7.378,0.9304,-0.01477
33,7.796,0.9332,-0.01562
34,8.214,0.9361,-0.01647
35,8.583,0.9390,-0.01733
36,9.050,0.9418,-0.01814
37,9.370,0.9447,-0.01898
38,9.837,0.9475,-0.01983
39,10.230,0.9504,-0.02068
40,10.698,0.9532,-0.0215
41,11.067,0.9560,-0.02232
42,11.485,0.9588,-0.02317
43,11.903,0.9616,-0.02399
44,12.247,0.9643,-0.02482
45,12.640,0.9671,-0.02565
46,13.009,0.9698,-0.02646
47,13.427,0.9726,-0.02728
48,13.821,0.9754,-0.02813
49,14.239,0.9781,-0.02895
50,14.583,0.9808,-0.02974
51,15.001,0.9835,-0.03057
52,15.370,0.9862,-0.03136
53,15.764,0.9888,-0.03216
54,16.108,0.9915,-0.03301
55,16.526,0.9942,-0.0338
56,16.920,0.9967,-0.03459
57,17.264,0.9994,-0.03539
58,17.707,1.0021,-0.0362
59,18.051,1.0047,-0.03698
60,18.444,1.0073,-0.03781
61,18.813,1.0099,-0.0386
62,19.207,1.0124,-0.03939
63,19.576,1.0149,-0.04018
64,19.944,1.0175,-0.04099
65,20.313,1.0200,-0.04177
66,20.682,1.0225,-0.04258
67,21.076,1.0251,-0.04336
68,21.445,1.0275,-0.04411
69,21.789,1.0300,-0.04487
70,22.207,1.0324,-0.0457
71,22.527,1.0349,-0.04643
72,22.945,1.0374,-0.04723
73,23.215,1.0398,-0.04798
74,23.633,1.0422,-0.04875
75,23.978,1.0446,-0.0495
76,24.322,1.0470,-0.05028
77,24.691,1.0494,-0.05107
78,25.109,1.0518,-0.05176
79,25.453,1.0541,-0.05258
80,25.773,1.0565,-0.05328
81,26.166,1.0589,-0.05409
82,26.486,1.0612,-0.05478
83,26.830,1.0635,-0.05556
84,27.224,1.0658,-0.05637
85,27.519,1.0680,-0.05709
86,27.912,1.0704,-0.0578
87,28.306,1.0727,-0.05859
88,28.626,1.0750,-0.05933
89,28.995,1.0773,-0.06002
90,29.290,1.0796,-0.0608
91,29.683,1.0817,-0.06157
92,30.003,1.0840,-0.06231
93,30.396,1.0863,-0.06304
94,30.691,1.0884,-0.06376
95,31.011,1.0906,-0.06454
96,31.405,1.0929,-0.06524
97,31.749,1.0950,-0.06591
98,32.044,1.0972,-0.06664
99,32.413,1.0994,-0.06734
100,32.782,1.1015,-0.068
101,33.077,1.1037,-0.06881
102,33.470,1.1058,-0.06949
103,33.790,1.1079,-0.07024
104,34.061,1.1100,-0.07094
105,34.430,1.1122,-0.07161
106,34.651,1.1143,-0.07232
107,35.093,1.1164,-0.07304
108,35.389,1.1184,-0.07369
109,35.733,1.1205,-0.07449
110,36.102,1.1226,-0.07518
111,36.372,1.1247,-0.07591
112,36.741,1.1267,-0.07659
113,37.036,1.1288,-0.07728
114,37.405,1.1308,-0.07796
115,37.700,1.1328,-0.07865
116,38.020,1.1348,-0.07933
117,38.364,1.1369,-0.08001
118,38.659,1.1388,-0.08072
119,39.028,1.1409,-0.08137
120,39.323,1.1428,-0.08201
121,39.619,1.1448,-0.08269
122,39.963,1.1468,-0.0834
123,40.258,1.1487,-0.08402
124,40.553,1.1507,-0.08472
125,40.873,1.1526,-0.08545
126,41.242,1.1545,-0.08612
127,41.537,1.1565,-0.08675
128,41.856,1.1584,-0.08749
129,42.102,1.1603,-0.08811
130,42.397,1.1622,-0.08879
131,42.766,1.1641,-0.08949
132,43.037,1.1660,-0.09007
133,43.381,1.1679,-0.09075
134,43.725,1.1698,-0.09148
135,43.947,1.1716,-0.09213
136,44.267,1.1735,-0.09276
137,44.611,1.1753,-0.09329
138,44.881,1.1771,-0.09402
139,45.152,1.1790,-0.09464
140,45.496,1.1808,-0.09531
141,45.816,1.1826,-0.09591
142,46.136,1.1845,-0.0966
143,46.406,1.1863,-0.09714
144,46.726,1.1881,-0.0978
145,46.947,1.1899,-0.0985
146,47.242,1.1917,-0.09908
147,47.587,1.1934,-0.09973
148,47.857,1.1952,-0.1004
149,48.128,1.1970,-0.101
150,48.447,1.1988,-0.1016
151,48.767,1.2005,-0.1023
152,48.988,1.2023,-0.1029
153,49.308,1.2040,-0.1034
154,49.603,1.2058,-0.1041
155,49.923,1.2075,-0.1047
156,50.169,1.2092,-0.1053
157,50.488,1.2109,-0.1059
158,50.734,1.2126,-0.1065
159,51.005,1.2143,-0.1072
160,51.325,1.2160,-0.1076
161,51.595,1.2177,-0.1083
162,51.816,1.2194,-0.1089
163,52.185,1.2211,-0.1095
164,52.407,1.2227,-0.1101
165,52.677,1.2244,-0.1107
166,52.972,1.2261,-0.1113
167,53.218,1.2277,-0.1119
168,53.513,1.2294,-0.1125
169,53.882,1.2310,-0.1131
170,54.104,1.2327,-0.1137
171,54.374,1.2343,-0.1143
172,54.620,1.2360,-0.1148
173,54.915,1.2376,-0.1154
174,55.186,1.2392,-0.116
175,55.432,1.2408,-0.1166
176,55.727,1.2424,-0.1171
177,55.973,1.2440,-0.1176
178,56.243,1.2456,-0.1182
179,56.538,1.2472,-0.1188
180,56.784,1.2488,-0.1194
181,56.981,1.2503,-0.12
182,57.301,1.2519,-0.1205
183,57.620,1.2535,-0.1211
184,57.817,1.2550,-0.1217
185,58.038,1.2566,-0.1223
186,58.309,1.2582,-0.1227
187,58.530,1.2597,-0.1233
188,58.850,1.2613,-0.1239
189,59.096,1.2628,-0.1244
190,59.391,1.2643,-0.125
191,59.588,1.2659,-0.1255
192,59.834,1.2674,-0.126
193,60.104,1.2689,-0.1266
194,60.350,1.2704,-0.1272
195,60.670,1.2719,-0.1277
196,60.866,1.2734,-0.1283
197,61.112,1.2750,-0.1288
198,61.383,1.2765,-0.1293
199,61.653,1.2780,-0.1298
200,61.875,1.2795,-0.1304
201,62.145,1.2810,-0.1309
202,62.342,1.2824,-0.1315
203,62.613,1.2839,-0.1321
204,62.858,1.2854,-0.1325
205,63.129,1.2869,-0.1332
206,63.375,1.2883,-0.1336
207,63.596,1.2898,-0.1341
208,63.818,1.2912,-0.1347
209,64.064,1.2927,-0.1352
210,64.260,1.2941,-0.1357
211,64.506,1.2955,-0.1363
212,64.777,1.2970,-0.1367
213,65.047,1.2985,-0.1372
214,65.318,1.2998,-0.1377
215,65.441,1.3013,-0.1383
216,65.711,1.3027,-0.1387
217,65.957,1.3042,-0.1393
218,66.154,1.3055,-0.1397
219,66.474,1.3069,-0.1403
220,66.695,1.3083,-0.1408
221,66.941,1.3097,-0.1413
222,67.088,1.3111,-0.1417
223,67.384,1.3125,-0.1422
224,67.531,1.3139,-0.1427
225,67.802,1.3153,-0.1432
226,67.998,1.3167,-0.1437
227,68.269,1.3181,-0.1441
228,68.515,1.3195,-0.1447
229,68.662,1.3208,-0.1452
230,68.933,1.3222,-0.1455
231,69.154,1.3235,-0.146
232,69.351,1.3249,-0.1466
233,69.646,1.3263,-0.1471
234,69.843,1.3276,-0.1475
235,70.089,1.3290,-0.148
236,70.236,1.3303,-0.1485
237,70.458,1.3316,-0.149
238,70.728,1.3330,-0.1495
239,70.949,1.3343,-0.15
240,71.122,1.3357,-0.1505
241,71.368,1.3370,-0.1508
242,71.564,1.3383,-0.1514
243,71.810,1.3396,-0.1518
244,71.982,1.3410,-0.1522
245,72.204,1.3423,-0.1525
246,72.425,1.3436,-0.1531
247,72.622,1.3449,-0.1535
248,72.769,1.3462,-0.154
249,73.015,1.3475,-0.1546
250,73.212,1.3488,-0.155
251,73.384,1.3500,-0.1555
252,73.655,1.3514,-0.1558
253,73.876,1.3526,-0.1563
254,74.073,1.3539,-0.1567
255,74.245,1.3552,-0.1571
256,74.491,1.3565,-0.1577
257,74.688,1.3578,-0.158
258,74.909,1.3591,-0.1585
259,75.130,1.3603,-0.1589
260,75.253,1.3615,-0.1593
261,75.474,1.3628,-0.1597
262,75.720,1.3641,-0.1601
263,75.843,1.3654,-0.1606
264,76.138,1.3666,-0.161
265,76.311,1.3679,-0.1615
266,76.532,1.3691,-0.1618
267,76.680,1.3704,-0.1623
268,76.925,1.3716,-0.1628
269,77.024,1.3728,-0.1632
270,77.270,1.3741,-0.1635
271,77.442,1.3753,-0.1639
272,77.688,1.3765,-0.1644
273,77.835,1.3778,-0.1647
274,78.007,1.3791,-0.1652
275,78.204,1.3802,-0.1655
276,78.426,1.3815,-0.166
277,78.598,1.3827,-0.1663
278,78.794,1.3838,-0.1668
279,78.991,1.3851,-0.1672
280,79.163,1.3863,-0.1677
281,79.360,1.3875,-0.1682
282,79.532,1.3887,-0.1684
283,79.754,1.3899,-0.1688
284,79.926,1.3911,-0.1692
285,80.098,1.3923,-0.1697
286,80.295,1.3935,-0.1699
287,80.467,1.3947,-0.1704
288,80.663,1.3959,-0.1708
289,80.836,1.3970,-0.1711
290,81.008,1.3983,-0.1714
291,81.205,1.3995,-0.1719
292,81.328,1.4006,-0.1722
293,81.623,1.4018,-0.1727
294,81.696,1.4030,-0.1729
295,81.918,1.4041,-0.1734
296,82.065,1.4053,-0.1738
297,82.164,1.4065,-0.1741
298,82.434,1.4076,-0.1745
299,82.557,1.4088,-0.1748
300,82.729,1.4099,-0.1752
301,82.951,1.4111,-0.1756
302,83.123,1.4123,-0.1759
303,83.270,1.4134,-0.1763
304,83.516,1.4145,-0.1767
305,83.615,1.4157,-0.177
306,83.836,1.4168,-0.1773
307,83.959,1.4179,-0.1777
308,84.106,1.4191,-0.1781
309,84.303,1.4203,-0.1785
310,84.475,1.4214,-0.1788
311,84.647,1.4225,-0.1793
312,84.820,1.4236,-0.1797
313,84.918,1.4247,-0.1799
314,85.139,1.4259,-0.1802
315,85.336,1.4270,-0.1806
316,85.459,1.4281,-0.181
317,85.557,1.4292,-0.1813
