current[mA],power[mW],voltage[V],mpd_current[mA]
1,-0.000,0.7605,-7.111e-05
2,0.025,0.7812,-8.651e-05
3,-0.000,0.7952,-9.978e-05
4,0.025,0.8068,-0.0001138
5,-0.000,0.8163,-0.0001273
6,-0.000,0.8248,-0.0001402
7,-0.025,0.8326,-0.0001545
8,-0.000,0.8399,-0.0001692
9,0.025,0.8463,-0.0001852
10,0.025,0.8525,-0.0002024
11,0.025,0.8584,-0.0002212
12,0.049,0.8637,-0.0002421
13,0.074,0.8690,-0.0002667
14,0.049,0.8741,-0.0003059
15,0.270,0.8780,-0.000988
16,0.713,0.8812,-0.002295
17,1.057,0.8844,-0.003632
18,1.549,0.8876,-0.004891
19,1.967,0.8908,-0.006206
20,2.336,0.8939,-0.00747
21,2.803,0.8969,-0.00873
22,3.172,0.9000,-0.009999
23,3.541,0.9031,-0.01131
24,3.935,0.9060,-0.01257
25,4.353,0.9091,-0.01383
26,4.771,0.9122,-0.01509
27,5.140,0.9151,-0.01635
28,5.533,0.9181,-0.01758
29,5.927,0.9211,-0.01885
30,6.320,0.9240,-0.02004
31,6.714,0.9269,-0.02128
32,7.083,0.9298,-0.02253
33,7.476,0.9326,-0.02374
34,7.919,0.9355,-0.02496
35,8.263,0.9384,-0.02616
36,8.632,0.9411,-0.02736
37,9.001,0.9439,-0.02858
38,9.394,0.9467,-0.0298
39,9.788,0.9495,-0.03101
40,10.181,0.9522,-0.03219
41,10.526,0.9550,-0.0334
42,10.894,0.9577,-0.03461
43,11.239,0.9604,-0.03578
44,11.632,0.9630,-0.03694
45,12.001,0.9657,-0.03813
46,12.444,0.9684,-0.03929
47,12.714,0.9709,-0.04043
48,13.182,0.9735,-0.04162
49,13.575,0.9761,-0.04282
50,13.895,0.9787,-0.04399
51,14.239,0.9813,-0.04511
52,14.608,0.9838,-0.04626
53,14.977,0.9862,-0.04735
54,15.321,0.9888,-0.0485
55,15.690,0.9912,-0.04969
56,16.083,0.9937,-0.05073
57,16.428,0.9962,-0.05193
58,16.797,0.9987,-0.05305
59,17.141,1.0012,-0.0541
60,17.485,1.0035,-0.05524
61,17.805,1.0059,-0.05634
62,18.198,1.0083,-0.05739
63,18.494,1.0107,-0.05848
64,18.887,1.0130,-0.05961
65,19.231,1.0154,-0.06072
66,19.576,1.0177,-0.06177
67,19.944,1.0201,-0.06283
68,20.264,1.0223,-0.06392
69,20.633,1.0246,-0.06502
70,20.977,1.0269,-0.06607
71,21.248,1.0291,-0.06713
72,21.641,1.0313,-0.06824
73,22.010,1.0335,-0.06932
74,22.305,1.0357,-0.07039
75,22.625,1.0379,-0.07144
76,22.994,1.0401,-0.07251
77,23.314,1.0423,-0.07355
78,23.683,1.0445,-0.07467
79,24.002,1.0466,-0.07566
80,24.322,1.0487,-0.07667
81,24.666,1.0509,-0.07773
82,25.011,1.0530,-0.07874
83,25.330,1.0551,-0.07979
84,25.650,1.0572,-0.08081
85,25.945,1.0592,-0.08181
86,26.314,1.0613,-0.08283
87,26.584,1.0634,-0.08383
88,26.929,1.0653,-0.08479
89,27.248,1.0674,-0.08578
90,27.519,1.0694,-0.08679
91,27.912,1.0713,-0.0877
92,28.183,1.0733,-0.08869
93,28.552,1.0754,-0.08969
94,28.847,1.0773,-0.0907
95,29.167,1.0793,-0.09161
96,29.511,1.0812,-0.09262
97,29.806,1.0831,-0.09355
98,30.052,1.0851,-0.09455
99,30.347,1.0870,-0.09556
100,30.691,1.0888,-0.09652
101,31.011,1.0908,-0.09745
102,31.355,1.0927,-0.09843
103,31.626,1.0945,-0.09944
104,31.921,1.0964,-0.1004
105,32.241,1.0983,-0.1013
106,32.511,1.1001,-0.1023
107,32.880,1.1019,-0.1032
108,33.151,1.1037,-0.1041
109,33.446,1.1056,-0.1051
110,33.716,1.1074,-0.1061
111,34.036,1.1092,-0.107
112,34.331,1.1110,-0.1079
113,34.626,1.1128,-0.1088
114,34.995,1.1145,-0.1096
115,35.241,1.1162,-0.1106
116,35.487,1.1181,-0.1115
117,35.807,1.1197,-0.1123
