current[mA],power[mW],voltage[V],mpd_current[mA]
1,-0.025,0.7658,-7.878e-05
2,-0.000,0.7861,-9.568e-05
3,-0.000,0.8007,-0.0001108
4,-0.049,0.8131,-0.000126
5,-0.000,0.8234,-0.0001405
6,-0.000,0.8324,-0.0001546
7,0.025,0.8408,-0.0001688
8,0.025,0.8484,-0.0001842
9,0.025,0.8556,-0.0001995
10,-0.000,0.8624,-0.0002159
11,0.025,0.8686,-0.000234
12,0.049,0.8747,-0.0002524
13,0.025,0.8805,-0.000273
14,0.074,0.8860,-0.0002953
15,0.049,0.8913,-0.0003198
16,0.074,0.8965,-0.0003474
17,0.049,0.9014,-0.0003884
18,0.295,0.9055,-0.0008913
19,0.811,0.9090,-0.001971
20,1.254,0.9124,-0.003027
21,1.771,0.9159,-0.00409
22,2.213,0.9194,-0.005149
23,2.681,0.9230,-0.006179
24,3.123,0.9264,-0.007145
25,3.517,0.9299,-0.008182
26,3.959,0.9334,-0.009209
27,4.353,0.9369,-0.01022
28,4.795,0.9404,-0.01118
29,5.189,0.9437,-0.01217
30,5.582,0.9471,-0.01313
31,5.976,0.9505,-0.01409
32,6.369,0.9539,-0.01506
33,6.763,0.9573,-0.01601
34,7.181,0.9607,-0.01696
35,7.525,0.9640,-0.0179
36,7.894,0.9673,-0.01884
37,8.288,0.9706,-0.01978
38,8.656,0.9738,-0.02068
39,9.050,0.9771,-0.02165
40,9.443,0.9804,-0.02258
41,9.739,0.9836,-0.02348
42,10.181,0.9867,-0.0244
43,10.550,0.9899,-0.02531
44,10.821,0.9930,-0.02619
45,11.190,0.9962,-0.02711
46,11.608,0.9994,-0.02806
47,11.952,1.0025,-0.02893
48,12.321,1.0056,-0.02983
49,12.640,1.0087,-0.03077
50,13.059,1.0117,-0.03164
51,13.329,1.0147,-0.0325
52,13.747,1.0177,-0.03343
53,14.042,1.0206,-0.03425
54,14.485,1.0236,-0.03519
55,14.829,1.0266,-0.03609
56,15.124,1.0295,-0.03694
57,15.419,1.0324,-0.03786
58,15.788,1.0353,-0.03868
59,16.108,1.0380,-0.03953
60,16.551,1.0409,-0.04039
61,16.846,1.0438,-0.04129
62,17.166,1.0465,-0.04212
63,17.534,1.0493,-0.04297
64,17.854,1.0521,-0.04381
