current[mA],power[mW],voltage[V],mpd_current[mA]
1,0.049,0.7576,-7.51e-05
2,0.025,0.7792,-9.218e-05
3,-0.000,0.7935,-0.0001069
4,0.025,0.8051,-0.0001232
5,-0.000,0.8149,-0.0001379
6,-0.000,0.8234,-0.0001525
7,0.049,0.8310,-0.0001676
8,0.074,0.8381,-0.0001832
9,-0.000,0.8444,-0.0001998
10,0.049,0.8506,-0.0002182
11,-0.025,0.8564,-0.0002381
12,0.049,0.8618,-0.0002596
13,0.098,0.8669,-0.000284
14,0.074,0.8720,-0.0003117
15,0.074,0.8766,-0.0003428
16,0.098,0.8811,-0.0004058
17,0.369,0.8849,-0.001226
18,0.787,0.8877,-0.00247
19,1.279,0.8907,-0.003737
20,1.672,0.8937,-0.004975
21,2.090,0.8965,-0.006186
22,2.484,0.8994,-0.007425
23,3.000,0.9023,-0.008674
24,3.369,0.9052,-0.009879
25,3.812,0.9080,-0.01114
26,4.205,0.9109,-0.01239
27,4.623,0.9137,-0.01358
28,5.041,0.9165,-0.01478
29,5.459,0.9194,-0.01607
30,5.828,0.9222,-0.01718
31,6.246,0.9249,-0.01842
32,6.640,0.9277,-0.01961
33,7.058,0.9304,-0.02078
34,7.476,0.9331,-0.02196
35,7.845,0.9359,-0.02317
36,8.189,0.9385,-0.0243
37,8.632,0.9412,-0.02548
38,9.050,0.9437,-0.02664
39,9.370,0.9465,-0.02779
40,9.837,0.9492,-0.02895
41,10.230,0.9517,-0.03009
42,10.575,0.9543,-0.03126
43,10.993,0.9569,-0.0324
44,11.312,0.9594,-0.0335
45,11.731,0.9620,-0.03464
46,12.149,0.9646,-0.03575
47,12.518,0.9670,-0.03684
48,12.862,0.9695,-0.03798
49,13.231,0.9721,-0.03911
50,13.624,0.9745,-0.04017
51,14.018,0.9769,-0.04127
52,14.362,0.9794,-0.04239
53,14.755,0.9818,-0.04344
54,15.149,0.9842,-0.04457
55,15.469,0.9867,-0.04566
56,15.838,0.9890,-0.04671
57,16.182,0.9914,-0.0478
58,16.575,0.9938,-0.04889
59,16.993,0.9961,-0.04996
60,17.313,0.9984,-0.051
61,17.682,1.0009,-0.0521
62,18.026,1.0032,-0.05313
63,18.420,1.0054,-0.05419
64,18.789,1.0077,-0.05525
65,19.059,1.0099,-0.05627
66,19.428,1.0122,-0.05736
67,19.772,1.0145,-0.05841
68,20.141,1.0167,-0.05944
69,20.535,1.0188,-0.06049
70,20.879,1.0211,-0.06149
71,21.223,1.0233,-0.06254
72,21.568,1.0254,-0.06351
73,21.912,1.0276,-0.06456
74,22.281,1.0297,-0.06557
75,22.650,1.0319,-0.06658
76,22.969,1.0340,-0.06755
77,23.289,1.0361,-0.06859
78,23.633,1.0382,-0.06958
79,23.978,1.0403,-0.07047
80,24.322,1.0424,-0.07153
81,24.666,1.0445,-0.07246
82,24.986,1.0465,-0.07341
83,25.330,1.0485,-0.07437
84,25.650,1.0506,-0.07533
85,25.994,1.0526,-0.07622
86,26.289,1.0546,-0.07726
87,26.658,1.0566,-0.07823
88,26.978,1.0585,-0.07911
89,27.322,1.0605,-0.08004
90,27.593,1.0625,-0.08094
91,28.035,1.0644,-0.08183
92,28.331,1.0664,-0.08288
93,28.626,1.0683,-0.08382
94,28.995,1.0702,-0.08469
95,29.240,1.0721,-0.08562
96,29.585,1.0740,-0.08659
97,29.904,1.0759,-0.08752
98,30.200,1.0777,-0.08842
99,30.568,1.0796,-0.08938
100,30.814,1.0815,-0.09021
101,31.159,1.0834,-0.09111
102,31.429,1.0852,-0.09207
103,31.774,1.0870,-0.09289
104,32.142,1.0888,-0.09383
105,32.413,1.0906,-0.0947
106,32.683,1.0924,-0.09555
107,33.003,1.0943,-0.09636
108,33.323,1.0960,-0.09725
109,33.618,1.0977,-0.09813
110,33.987,1.0995,-0.09896
111,34.184,1.1013,-0.09973
112,34.528,1.1030,-0.1005
113,34.823,1.1047,-0.1014
114,35.143,1.1064,-0.1023
115,35.536,1.1082,-0.1032
116,35.758,1.1099,-0.104
117,36.028,1.1116,-0.1048
118,36.348,1.1133,-0.1056
119,36.618,1.1150,-0.1065
120,36.938,1.1167,-0.1073
121,37.233,1.1183,-0.1081
122,37.528,1.1200,-0.1089
123,37.774,1.1216,-0.1097
124,38.118,1.1233,-0.1106
125,38.364,1.1250,-0.1114
126,38.659,1.1266,-0.1122
127,38.979,1.1282,-0.1129
128,39.250,1.1299,-0.1138
129,39.545,1.1315,-0.1145
130,39.766,1.1331,-0.1153
131,40.061,1.1347,-0.1161
132,40.381,1.1362,-0.1169
133,40.676,1.1378,-0.1177
134,40.947,1.1394,-0.1184
135,41.217,1.1410,-0.1192
136,41.488,1.1426,-0.1199
137,41.783,1.1441,-0.1207
138,42.053,1.1457,-0.1214
139,42.348,1.1472,-0.1222
140,42.619,1.1487,-0.1229
141,42.939,1.1502,-0.1236
142,43.184,1.1518,-0.1244
143,43.430,1.1533,-0.1252
144,43.676,1.1548,-0.1259
145,43.873,1.1564,-0.1266
146,44.291,1.1578,-0.1273
147,44.463,1.1594,-0.1281
148,44.758,1.1608,-0.1287
149,45.004,1.1623,-0.1294
150,45.299,1.1638,-0.1301
151,45.595,1.1652,-0.1309
152,45.791,1.1667,-0.1317
153,46.086,1.1681,-0.1323
154,46.406,1.1696,-0.133
155,46.603,1.1710,-0.1337
156,46.849,1.1724,-0.1344
157,47.119,1.1739,-0.1352
158,47.341,1.1753,-0.1358
159,47.611,1.1767,-0.1365
160,47.857,1.1781,-0.1372
161,48.128,1.1795,-0.1379
162,48.447,1.1809,-0.1385
163,48.669,1.1824,-0.1392
164,48.915,1.1837,-0.1398
165,49.160,1.1851,-0.1406
166,49.456,1.1865,-0.1413
167,49.701,1.1879,-0.1419
168,49.923,1.1893,-0.1424
169,50.169,1.1906,-0.1432
170,50.415,1.1920,-0.1438
171,50.611,1.1933,-0.1444
172,50.882,1.1947,-0.145
173,51.177,1.1960,-0.1457
174,51.374,1.1974,-0.1463
175,51.620,1.1987,-0.147
176,51.890,1.2000,-0.1476
177,52.112,1.2013,-0.1482
178,52.308,1.2027,-0.1488
179,52.530,1.2040,-0.1495
180,52.800,1.2053,-0.1501
181,53.071,1.2066,-0.1507
182,53.267,1.2079,-0.1513
183,53.513,1.2092,-0.1519
184,53.808,1.2105,-0.1526
185,54.030,1.2118,-0.1532
186,54.300,1.2131,-0.1538
187,54.448,1.2144,-0.1544
188,54.743,1.2157,-0.155
189,54.940,1.2169,-0.1556
190,55.161,1.2182,-0.1562
191,55.382,1.2195,-0.1566
192,55.628,1.2207,-0.1573
193,55.850,1.2220,-0.1579
194,56.022,1.2232,-0.1584
195,56.292,1.2245,-0.1589
196,56.514,1.2257,-0.1596
197,56.710,1.2270,-0.16
198,56.981,1.2282,-0.1606
199,57.178,1.2294,-0.1611
200,57.424,1.2306,-0.1616
201,57.620,1.2319,-0.1623
202,57.842,1.2330,-0.1628
203,58.088,1.2343,-0.1634
204,58.309,1.2355,-0.164
205,58.506,1.2367,-0.1645
206,58.776,1.2379,-0.1651
207,58.924,1.2391,-0.1656
208,59.145,1.2403,-0.1662
209,59.366,1.2415,-0.1668
210,59.563,1.2427,-0.1672
211,59.834,1.2438,-0.1677
212,60.030,1.2450,-0.1683
213,60.227,1.2462,-0.1688
214,60.448,1.2474,-0.1693
215,60.670,1.2485,-0.1698
216,60.891,1.2497,-0.1702
217,61.088,1.2509,-0.1707
218,61.285,1.2520,-0.1712
219,61.457,1.2531,-0.1717
220,61.752,1.2543,-0.1722
221,61.899,1.2555,-0.1726
222,62.096,1.2566,-0.1731
223,62.342,1.2578,-0.1736
224,62.539,1.2589,-0.1741
225,62.760,1.2600,-0.1747
226,62.883,1.2612,-0.1751
227,63.129,1.2624,-0.1756
228,63.400,1.2635,-0.1762
229,63.522,1.2646,-0.1768
230,63.719,1.2657,-0.1771
231,63.941,1.2668,-0.1776
232,64.162,1.2679,-0.1781
233,64.334,1.2690,-0.1786
234,64.555,1.2701,-0.179
235,64.752,1.2712,-0.1795
236,64.900,1.2723,-0.1799
237,65.096,1.2734,-0.1802
238,65.342,1.2745,-0.1807
239,65.564,1.2756,-0.1812
240,65.711,1.2767,-0.1816
241,65.933,1.2778,-0.1819
242,66.154,1.2789,-0.1824
243,66.277,1.2799,-0.1827
244,66.523,1.2810,-0.1832
245,66.670,1.2821,-0.1837
246,66.842,1.2831,-0.1841
247,67.039,1.2842,-0.1845
248,67.236,1.2853,-0.1851
249,67.433,1.2863,-0.1853
