current[mA],power[mW],voltage[V],mpd_current[mA]
1,-0.000,0.7578,-7.317e-05
2,-0.025,0.7788,-8.956e-05
3,-0.025,0.7927,-0.0001034
4,-0.000,0.8043,-0.0001187
5,-0.000,0.8145,-0.0001327
6,-0.000,0.8228,-0.0001465
7,0.025,0.8308,-0.0001613
8,0.025,0.8378,-0.0001765
9,0.025,0.8444,-0.0001927
10,0.025,0.8507,-0.0002106
11,0.049,0.8569,-0.0002306
12,0.049,0.8623,-0.000252
13,0.074,0.8676,-0.0003127
14,0.344,0.8715,-0.001256
15,0.836,0.8749,-0.002526
16,1.230,0.8782,-0.003831
17,1.598,0.8817,-0.005142
18,2.066,0.8849,-0.006381
19,2.533,0.8883,-0.00768
20,2.902,0.8917,-0.008953
21,3.320,0.8948,-0.01021
22,3.689,0.8982,-0.0115
23,4.107,0.9014,-0.0128
24,4.500,0.9046,-0.01399
25,4.968,0.9079,-0.01526
26,5.361,0.9111,-0.01652
27,5.681,0.9142,-0.01773
28,6.099,0.9173,-0.01895
29,6.566,0.9204,-0.02022
30,6.984,0.9236,-0.02144
31,7.329,0.9266,-0.02268
32,7.722,0.9297,-0.02389
33,8.115,0.9327,-0.02505
34,8.484,0.9357,-0.02627
35,8.902,0.9388,-0.02749
36,9.296,0.9417,-0.02866
37,9.689,0.9447,-0.02989
38,10.058,0.9476,-0.03106
39,10.452,0.9506,-0.03227
40,10.796,0.9535,-0.03346
41,11.190,0.9564,-0.03465
42,11.583,0.9592,-0.03581
43,11.952,0.9621,-0.037
44,12.296,0.9649,-0.03817
45,12.763,0.9678,-0.03932
46,13.083,0.9705,-0.04049
47,13.477,0.9733,-0.04165
48,13.870,0.9761,-0.0428
49,14.239,0.9789,-0.04395
50,14.657,0.9815,-0.04508
51,15.026,0.9843,-0.04625
52,15.346,0.9871,-0.04737
53,15.641,0.9897,-0.04848
54,16.083,0.9924,-0.04964
55,16.477,0.9950,-0.05078
56,16.846,0.9976,-0.05184
57,17.166,1.0003,-0.05296
58,17.584,1.0029,-0.05413
59,17.854,1.0055,-0.05518
60,18.248,1.0080,-0.0563
61,18.616,1.0106,-0.05742
62,18.936,1.0130,-0.05845
63,19.330,1.0156,-0.05963
64,19.699,1.0182,-0.06072
65,20.043,1.0206,-0.06181
66,20.387,1.0231,-0.06287
67,20.756,1.0256,-0.06398
68,21.076,1.0280,-0.06504
69,21.445,1.0305,-0.06612
70,21.764,1.0329,-0.0672
71,22.158,1.0352,-0.0683
72,22.502,1.0377,-0.06935
73,22.822,1.0400,-0.07043
74,23.191,1.0423,-0.07145
75,23.510,1.0447,-0.07255
76,23.879,1.0470,-0.07353
77,24.199,1.0493,-0.0746
78,24.543,1.0516,-0.07564
79,24.888,1.0538,-0.07666
80,25.232,1.0561,-0.07765
81,25.576,1.0584,-0.07868
82,25.896,1.0606,-0.07971
83,26.216,1.0628,-0.08067
84,26.584,1.0651,-0.08175
85,26.880,1.0672,-0.08271
86,27.175,1.0695,-0.08377
87,27.544,1.0716,-0.08475
88,27.863,1.0737,-0.0857
89,28.183,1.0759,-0.08672
90,28.527,1.0781,-0.0877
91,28.847,1.0802,-0.08871
92,29.167,1.0823,-0.08959
93,29.486,1.0844,-0.09059
94,29.806,1.0865,-0.09159
95,30.150,1.0886,-0.09253
96,30.396,1.0907,-0.09356
97,30.765,1.0928,-0.09451
98,31.109,1.0947,-0.09552
99,31.405,1.0968,-0.09646
100,31.724,1.0988,-0.09741
101,31.970,1.1009,-0.09844
102,32.364,1.1029,-0.09938
103,32.659,1.1049,-0.1003
104,32.954,1.1069,-0.1013
105,33.298,1.1089,-0.1022
106,33.593,1.1107,-0.1031
107,33.913,1.1127,-0.1041
108,34.208,1.1146,-0.105
109,34.479,1.1165,-0.1058
110,34.774,1.1185,-0.1068
111,35.118,1.1204,-0.1077
112,35.339,1.1224,-0.1086
113,35.684,1.1242,-0.1094
114,36.028,1.1260,-0.1103
115,36.274,1.1280,-0.1112
116,36.618,1.1298,-0.1122
117,36.840,1.1317,-0.113
118,37.159,1.1335,-0.1139
119,37.479,1.1353,-0.1148
120,37.725,1.1371,-0.1157
121,38.069,1.1389,-0.1166
122,38.340,1.1407,-0.1174
123,38.659,1.1425,-0.1184
124,38.905,1.1443,-0.1192
125,39.200,1.1461,-0.1201
126,39.471,1.1478,-0.1209
