current[mA],power[mW],voltage[V],mpd_current[mA]
1,-0.025,0.7560,-7.222e-05
2,0.025,0.7772,-8.777e-05
3,-0.049,0.7914,-0.0001008
4,0.025,0.8034,-0.0001153
5,0.049,0.8133,-0.0001287
6,-0.000,0.8220,-0.0001421
7,-0.000,0.8300,-0.0001563
8,-0.000,0.8373,-0.0001717
9,0.074,0.8440,-0.0001869
10,-0.000,0.8503,-0.0002046
11,0.025,0.8563,-0.0002241
12,0.049,0.8616,-0.0002793
13,0.369,0.8657,-0.001332
14,0.762,0.8692,-0.002658
15,1.205,0.8726,-0.003989
16,1.549,0.8761,-0.005302
17,1.992,0.8795,-0.006629
18,2.361,0.8828,-0.007927
19,2.828,0.8863,-0.009273
20,3.222,0.8897,-0.01057
21,3.566,0.8928,-0.01191
22,4.009,0.8962,-0.01321
23,4.377,0.8996,-0.01451
24,4.771,0.9028,-0.01576
25,5.140,0.9061,-0.01707
26,5.607,0.9093,-0.01835
27,5.976,0.9124,-0.01961
28,6.419,0.9157,-0.0209
29,6.787,0.9189,-0.02218
30,7.132,0.9220,-0.02344
31,7.550,0.9251,-0.02471
32,7.894,0.9283,-0.02597
33,8.263,0.9312,-0.02724
34,8.681,0.9343,-0.02851
35,9.050,0.9374,-0.02971
36,9.468,0.9403,-0.03094
37,9.788,0.9434,-0.03221
38,10.206,0.9463,-0.03345
39,10.575,0.9493,-0.03466
40,10.919,0.9523,-0.03592
41,11.312,0.9552,-0.03711
42,11.681,0.9581,-0.03836
43,12.026,0.9610,-0.03958
44,12.444,0.9638,-0.04075
45,12.813,0.9666,-0.04192
46,13.182,0.9695,-0.04314
47,13.575,0.9723,-0.04436
48,13.919,0.9751,-0.04552
49,14.264,0.9779,-0.04671
50,14.608,0.9805,-0.0479
51,15.001,0.9833,-0.04909
52,15.370,0.9861,-0.05027
53,15.715,0.9887,-0.05146
54,16.059,0.9915,-0.05261
55,16.477,0.9941,-0.0538
56,16.821,0.9968,-0.05488
57,17.116,0.9994,-0.05612
58,17.534,1.0021,-0.05726
59,17.879,1.0046,-0.05841
60,18.223,1.0073,-0.05963
61,18.616,1.0099,-0.06076
62,18.961,1.0124,-0.06184
63,19.280,1.0150,-0.06301
64,19.649,1.0176,-0.06417
65,19.969,1.0200,-0.06529
66,20.363,1.0225,-0.06647
67,20.707,1.0250,-0.06756
68,21.027,1.0274,-0.06862
69,21.346,1.0299,-0.06976
70,21.715,1.0323,-0.07089
71,22.035,1.0347,-0.07202
72,22.404,1.0371,-0.07307
73,22.699,1.0395,-0.07414
74,23.043,1.0419,-0.07522
75,23.387,1.0442,-0.07636
76,23.732,1.0466,-0.07738
77,24.101,1.0489,-0.07846
78,24.445,1.0512,-0.07955
79,24.715,1.0535,-0.08055
80,25.084,1.0558,-0.08169
81,25.404,1.0580,-0.08273
82,25.699,1.0603,-0.08377
83,26.093,1.0625,-0.08486
84,26.388,1.0648,-0.08588
85,26.683,1.0670,-0.08693
86,27.101,1.0692,-0.08797
87,27.371,1.0714,-0.08902
88,27.667,1.0736,-0.09007
89,27.986,1.0758,-0.09114
90,28.331,1.0779,-0.09216
91,28.626,1.0800,-0.0932
92,28.945,1.0822,-0.09419
93,29.265,1.0843,-0.09526
94,29.659,1.0864,-0.09627
95,29.954,1.0885,-0.09724
96,30.249,1.0906,-0.0983
97,30.519,1.0926,-0.0993
98,30.864,1.0947,-0.1003
99,31.159,1.0967,-0.1013
100,31.478,1.0988,-0.1023
101,31.749,1.1008,-0.1032
102,32.118,1.1028,-0.1043
103,32.339,1.1048,-0.1053
104,32.683,1.1068,-0.1062
105,33.003,1.1088,-0.1072
106,33.298,1.1108,-0.1081
107,33.618,1.1127,-0.1091
108,33.913,1.1146,-0.11
109,34.208,1.1166,-0.1109
110,34.503,1.1185,-0.1119
111,34.823,1.1204,-0.1129
112,35.143,1.1223,-0.1137
113,35.389,1.1242,-0.1147
114,35.659,1.1260,-0.1156
115,35.930,1.1280,-0.1166
116,36.274,1.1298,-0.1175
117,36.569,1.1317,-0.1185
118,36.840,1.1335,-0.1194
119,37.135,1.1354,-0.1204
120,37.454,1.1372,-0.1213
121,37.700,1.1391,-0.1222
122,37.995,1.1408,-0.1231
123,38.340,1.1427,-0.124
124,38.610,1.1444,-0.1249
125,38.881,1.1462,-0.1258
126,39.151,1.1480,-0.1268
127,39.471,1.1498,-0.1277
128,39.692,1.1515,-0.1286
129,40.037,1.1533,-0.1294
130,40.283,1.1550,-0.1303
131,40.627,1.1568,-0.1312
132,40.774,1.1584,-0.132
133,41.094,1.1602,-0.1329
134,41.389,1.1619,-0.1338
135,41.611,1.1636,-0.1346
136,41.955,1.1653,-0.1355
137,42.201,1.1670,-0.1363
138,42.471,1.1686,-0.1371
139,42.766,1.1703,-0.138
140,43.012,1.1720,-0.1388
141,43.234,1.1736,-0.1396
142,43.553,1.1753,-0.1405
143,43.824,1.1769,-0.1414
144,44.070,1.1786,-0.1423
145,44.340,1.1802,-0.1431
146,44.635,1.1818,-0.1439
147,44.857,1.1834,-0.1449
148,45.152,1.1850,-0.1456
149,45.398,1.1865,-0.1465
150,45.668,1.1882,-0.1472
151,45.890,1.1898,-0.1482
152,46.185,1.1913,-0.1489
153,46.431,1.1929,-0.1497
154,46.652,1.1945,-0.1505
155,46.898,1.1960,-0.1513
156,47.193,1.1975,-0.1521
157,47.439,1.1991,-0.1528
158,47.709,1.2006,-0.1536
159,47.955,1.2021,-0.1544
160,48.226,1.2037,-0.1551
161,48.472,1.2052,-0.1559
162,48.693,1.2067,-0.1567
163,48.890,1.2082,-0.1575
164,49.234,1.2097,-0.1581
165,49.456,1.2112,-0.1591
166,49.677,1.2126,-0.1598
167,49.923,1.2141,-0.1606
168,50.218,1.2156,-0.1614
169,50.439,1.2171,-0.1622
170,50.661,1.2185,-0.1628
171,50.931,1.2200,-0.1638
172,51.103,1.2214,-0.1645
173,51.398,1.2229,-0.1652
174,51.620,1.2243,-0.1659
175,51.866,1.2257,-0.1668
176,52.136,1.2271,-0.1675
177,52.357,1.2286,-0.1681
178,52.554,1.2300,-0.1688
179,52.800,1.2314,-0.1696
180,53.046,1.2328,-0.1704
181,53.292,1.2342,-0.1709
182,53.513,1.2356,-0.1718
183,53.759,1.2370,-0.1724
184,54.005,1.2384,-0.173
185,54.276,1.2397,-0.1737
186,54.423,1.2411,-0.1745
187,54.669,1.2424,-0.1751
188,54.940,1.2438,-0.176
189,55.112,1.2452,-0.1766
190,55.382,1.2465,-0.1773
191,55.579,1.2479,-0.1781
192,55.800,1.2492,-0.179
193,56.022,1.2506,-0.1795
194,56.194,1.2519,-0.1802
195,56.415,1.2532,-0.181
196,56.661,1.2546,-0.1816
197,56.883,1.2559,-0.1823
198,57.104,1.2572,-0.1828
199,57.325,1.2585,-0.1835
200,57.571,1.2598,-0.1842
201,57.719,1.2611,-0.1848
202,57.989,1.2624,-0.1855
203,58.186,1.2637,-0.186
204,58.432,1.2650,-0.1867
205,58.629,1.2662,-0.1873
206,58.850,1.2675,-0.1879
