current[mA],power[mW],voltage[V],mpd_current[mA]
1,-0.000,0.7602,-7.743e-05
2,0.025,0.7796,-9.247e-05
3,-0.000,0.7935,-0.0001058
4,-0.000,0.8049,-0.0001198
5,-0.000,0.8146,-0.0001331
6,-0.025,0.8229,-0.0001466
7,-0.000,0.8308,-0.0001608
8,0.025,0.8381,-0.0001755
9,-0.000,0.8446,-0.0001911
10,0.025,0.8508,-0.0002088
11,0.025,0.8568,-0.0002275
12,0.074,0.8622,-0.0002494
13,0.098,0.8676,-0.0003194
14,0.418,0.8714,-0.001312
15,0.836,0.8747,-0.002593
16,1.279,0.8780,-0.003927
17,1.623,0.8814,-0.005232
18,2.115,0.8847,-0.006493
19,2.484,0.8881,-0.007769
20,2.926,0.8913,-0.00905
21,3.345,0.8946,-0.01035
22,3.689,0.8979,-0.01161
23,4.131,0.9011,-0.01288
24,4.525,0.9042,-0.01412
25,4.918,0.9075,-0.01539
26,5.312,0.9107,-0.01663
27,5.730,0.9137,-0.01787
28,6.197,0.9169,-0.01909
29,6.517,0.9200,-0.02035
30,6.960,0.9231,-0.02159
31,7.353,0.9262,-0.02282
32,7.747,0.9292,-0.02406
33,8.115,0.9322,-0.02525
34,8.509,0.9353,-0.02643
35,8.878,0.9382,-0.02763
36,9.247,0.9412,-0.02884
37,9.640,0.9442,-0.03007
38,9.984,0.9471,-0.03125
39,10.452,0.9500,-0.03245
40,10.821,0.9530,-0.03367
41,11.116,0.9558,-0.0348
42,11.583,0.9587,-0.03606
43,11.878,0.9616,-0.0372
44,12.296,0.9644,-0.03838
45,12.665,0.9672,-0.03958
46,13.059,0.9701,-0.04078
47,13.452,0.9728,-0.04191
48,13.821,0.9755,-0.0431
49,14.116,0.9784,-0.04426
50,14.534,0.9810,-0.04546
51,14.928,0.9838,-0.04664
52,15.272,0.9865,-0.04781
53,15.641,0.9891,-0.04893
54,16.034,0.9919,-0.05006
55,16.305,0.9945,-0.05116
56,16.723,0.9971,-0.05229
57,17.116,0.9997,-0.05343
58,17.461,1.0024,-0.05456
59,17.854,1.0049,-0.05566
60,18.174,1.0075,-0.0568
61,18.543,1.0101,-0.05788
62,18.887,1.0126,-0.05896
63,19.256,1.0151,-0.06007
64,19.625,1.0176,-0.06122
65,19.944,1.0200,-0.06223
66,20.313,1.0225,-0.06333
67,20.633,1.0250,-0.06447
68,21.027,1.0275,-0.0655
69,21.395,1.0299,-0.06661
70,21.740,1.0323,-0.06771
71,22.035,1.0347,-0.06876
72,22.355,1.0371,-0.06986
73,22.748,1.0394,-0.07086
74,23.068,1.0418,-0.07197
