current[mA],power[mW],voltage[V],mpd_current[mA]
1,-0.025,0.7573,-7.136e-05
2,0.025,0.7775,-8.744e-05
3,-0.000,0.7914,-0.0001015
4,0.025,0.8036,-0.000117
5,-0.000,0.8137,-0.0001314
6,0.025,0.8220,-0.0001452
7,0.025,0.8302,-0.0001601
8,0.025,0.8375,-0.0001757
9,0.025,0.8441,-0.0001918
10,0.049,0.8504,-0.0002097
11,0.025,0.8564,-0.0002295
12,0.025,0.8620,-0.0002506
13,-0.000,0.8674,-0.000274
14,0.049,0.8725,-0.0003042
15,0.098,0.8771,-0.0004852
16,0.664,0.8805,-0.001607
17,1.082,0.8837,-0.002834
18,1.574,0.8868,-0.004017
19,2.115,0.8900,-0.00523
20,2.533,0.8933,-0.00642
21,2.976,0.8964,-0.007539
22,3.467,0.8996,-0.00869
23,3.935,0.9028,-0.009874
24,4.377,0.9060,-0.01102
25,4.820,0.9092,-0.01215
26,5.263,0.9123,-0.01333
27,5.681,0.9154,-0.01442
28,6.099,0.9186,-0.01554
29,6.542,0.9217,-0.01664
30,6.984,0.9248,-0.01775
31,7.353,0.9278,-0.01885
32,7.796,0.9309,-0.01994
33,8.165,0.9339,-0.02103
34,8.656,0.9369,-0.02216
35,9.001,0.9401,-0.02324
36,9.394,0.9430,-0.0243
37,9.862,0.9460,-0.02538
38,10.255,0.9489,-0.02643
39,10.649,0.9518,-0.02751
40,11.017,0.9548,-0.02857
41,11.411,0.9576,-0.02961
42,11.854,0.9606,-0.0307
43,12.247,0.9635,-0.03173
44,12.567,0.9663,-0.03281
45,13.009,0.9692,-0.03383
46,13.403,0.9720,-0.03489
47,13.821,0.9747,-0.03591
48,14.141,0.9775,-0.03697
49,14.559,0.9803,-0.03799
50,14.928,0.9830,-0.03902
51,15.296,0.9858,-0.04006
52,15.665,0.9885,-0.0411
53,16.059,0.9911,-0.0421
54,16.428,0.9939,-0.0431
55,16.846,0.9966,-0.04414
56,17.239,0.9991,-0.0451
57,17.608,1.0019,-0.04615
58,18.002,1.0045,-0.04715
59,18.321,1.0070,-0.0481
60,18.690,1.0096,-0.04913
61,19.059,1.0122,-0.05012
62,19.428,1.0147,-0.05107
63,19.846,1.0172,-0.05208
64,20.190,1.0198,-0.05312
65,20.535,1.0223,-0.05404
66,20.928,1.0248,-0.05501
67,21.272,1.0273,-0.05602
68,21.617,1.0297,-0.05697
69,21.961,1.0322,-0.05788
70,22.355,1.0346,-0.05886
71,22.674,1.0370,-0.0598
72,23.019,1.0394,-0.0608
73,23.412,1.0418,-0.06176
74,23.756,1.0441,-0.06266
75,24.101,1.0465,-0.06363
76,24.470,1.0488,-0.06458
77,24.789,1.0511,-0.06552
78,25.207,1.0535,-0.06653
79,25.527,1.0558,-0.06736
80,25.847,1.0580,-0.06833
81,26.166,1.0603,-0.06923
82,26.535,1.0626,-0.0701
83,26.904,1.0648,-0.07103
84,27.199,1.0670,-0.07195
85,27.568,1.0692,-0.07287
86,27.839,1.0715,-0.07376
87,28.232,1.0736,-0.07463
88,28.576,1.0758,-0.07554
89,28.896,1.0780,-0.07646
90,29.240,1.0802,-0.07739
91,29.560,1.0823,-0.07826
92,29.904,1.0844,-0.07912
93,30.249,1.0866,-0.07997
94,30.519,1.0886,-0.08083
95,30.888,1.0907,-0.08178
96,31.183,1.0929,-0.08263
97,31.528,1.0949,-0.08353
98,31.872,1.0970,-0.08436
99,32.216,1.0990,-0.08526
100,32.511,1.1010,-0.08612
101,32.806,1.1031,-0.08696
102,33.151,1.1051,-0.08783
103,33.470,1.1070,-0.08868
104,33.765,1.1090,-0.08948
105,34.085,1.1110,-0.09035
106,34.356,1.1130,-0.09117
107,34.725,1.1149,-0.09202
108,34.995,1.1168,-0.0928
109,35.315,1.1188,-0.09369
110,35.610,1.1207,-0.09456
111,35.930,1.1226,-0.09529
112,36.274,1.1245,-0.09614
113,36.569,1.1264,-0.09691
114,36.889,1.1283,-0.09782
115,37.159,1.1301,-0.09854
116,37.528,1.1320,-0.09938
117,37.774,1.1339,-0.1002
118,38.094,1.1357,-0.101
119,38.413,1.1376,-0.1018
120,38.684,1.1394,-0.1026
121,39.028,1.1412,-0.1034
122,39.323,1.1430,-0.1043
123,39.569,1.1448,-0.105
124,39.840,1.1466,-0.1057
125,40.110,1.1484,-0.1066
126,40.455,1.1502,-0.1074
127,40.774,1.1519,-0.1082
128,41.069,1.1537,-0.1089
129,41.315,1.1554,-0.1097
130,41.611,1.1572,-0.1105
131,41.906,1.1589,-0.1111
132,42.201,1.1606,-0.1119
133,42.520,1.1623,-0.1126
134,42.791,1.1640,-0.1135
135,43.086,1.1657,-0.1142
136,43.332,1.1675,-0.1149
137,43.627,1.1692,-0.1158
138,43.873,1.1708,-0.1166
139,44.193,1.1725,-0.1171
140,44.488,1.1741,-0.1179
141,44.734,1.1758,-0.1187
142,45.004,1.1774,-0.1194
143,45.299,1.1790,-0.1201
144,45.570,1.1807,-0.1208
145,45.816,1.1823,-0.1216
146,46.086,1.1839,-0.1224
147,46.431,1.1856,-0.1231
148,46.677,1.1871,-0.1237
149,46.947,1.1887,-0.1245
150,47.193,1.1903,-0.1253
151,47.464,1.1919,-0.126
152,47.734,1.1934,-0.1267
153,48.054,1.1950,-0.1274
154,48.275,1.1966,-0.128
155,48.472,1.1981,-0.1287
156,48.792,1.1997,-0.1294
157,49.037,1.2012,-0.1302
158,49.283,1.2028,-0.1308
159,49.579,1.2043,-0.1314
160,49.824,1.2058,-0.1322
161,50.095,1.2073,-0.1329
162,50.365,1.2088,-0.1335
163,50.611,1.2103,-0.1341
164,50.882,1.2118,-0.1349
165,51.177,1.2133,-0.1355
166,51.398,1.2148,-0.1362
167,51.620,1.2162,-0.1369
168,51.866,1.2178,-0.1376
169,52.136,1.2192,-0.1384
170,52.382,1.2206,-0.139
171,52.653,1.2221,-0.1397
172,52.948,1.2236,-0.1402
173,53.169,1.2250,-0.141
174,53.366,1.2265,-0.1416
175,53.636,1.2279,-0.1422
176,53.907,1.2293,-0.1428
177,54.104,1.2307,-0.1435
178,54.399,1.2322,-0.1441
179,54.620,1.2335,-0.1447
180,54.891,1.2349,-0.1454
181,55.087,1.2363,-0.146
182,55.333,1.2377,-0.1466
183,55.554,1.2391,-0.1472
184,55.776,1.2405,-0.1479
185,56.071,1.2419,-0.1486
186,56.292,1.2433,-0.1491
187,56.489,1.2446,-0.1498
188,56.735,1.2460,-0.1505
189,56.956,1.2474,-0.1511
190,57.227,1.2487,-0.1517
191,57.399,1.2501,-0.1524
192,57.669,1.2514,-0.1529
193,57.866,1.2527,-0.1536
194,58.161,1.2541,-0.1541
195,58.383,1.2554,-0.1548
196,58.629,1.2567,-0.1553
197,58.825,1.2580,-0.1559
198,59.047,1.2594,-0.1564
199,59.268,1.2607,-0.157
200,59.489,1.2620,-0.1576
201,59.809,1.2633,-0.1582
202,59.932,1.2645,-0.1588
203,60.178,1.2659,-0.1594
204,60.399,1.2672,-0.1601
205,60.645,1.2685,-0.1606
206,60.842,1.2697,-0.1612
207,61.039,1.2710,-0.1618
208,61.285,1.2723,-0.1624
209,61.481,1.2736,-0.1629
210,61.727,1.2749,-0.1636
211,61.973,1.2761,-0.1643
212,62.145,1.2774,-0.1648
213,62.391,1.2786,-0.1652
214,62.588,1.2799,-0.1658
215,62.809,1.2811,-0.1664
216,63.006,1.2823,-0.1669
217,63.203,1.2836,-0.1675
218,63.424,1.2848,-0.1681
219,63.621,1.2860,-0.1686
220,63.867,1.2873,-0.1692
221,64.064,1.2885,-0.1697
222,64.285,1.2897,-0.1701
223,64.432,1.2909,-0.1708
224,64.703,1.2921,-0.1713
225,64.924,1.2933,-0.1719
226,65.170,1.2945,-0.1724
227,65.318,1.2957,-0.1729
228,65.564,1.2969,-0.1734
229,65.736,1.2981,-0.174
230,65.859,1.2993,-0.1745
231,66.129,1.3005,-0.1751
232,66.375,1.3017,-0.1757
233,66.547,1.3029,-0.1762
234,66.670,1.3040,-0.1768
235,66.916,1.3052,-0.1772
236,67.064,1.3064,-0.1777
237,67.359,1.3075,-0.1783
238,67.556,1.3087,-0.1788
239,67.703,1.3099,-0.1791
240,67.925,1.3110,-0.1797
241,68.072,1.3121,-0.1803
242,68.293,1.3133,-0.1807
243,68.490,1.3144,-0.1813
244,68.662,1.3156,-0.1817
245,68.884,1.3167,-0.1822
246,69.056,1.3179,-0.1828
247,69.228,1.3190,-0.1833
248,69.449,1.3201,-0.1839
249,69.671,1.3213,-0.1843
250,69.843,1.3224,-0.1848
251,70.064,1.3235,-0.1853
252,70.212,1.3246,-0.1858
253,70.408,1.3257,-0.1863
254,70.556,1.3268,-0.1868
255,70.753,1.3279,-0.1872
256,70.974,1.3290,-0.1878
257,71.146,1.3301,-0.1882
258,71.294,1.3312,-0.1887
259,71.515,1.3323,-0.1892
260,71.663,1.3334,-0.1896
261,71.835,1.3345,-0.19
262,72.056,1.3356,-0.1905
263,72.228,1.3366,-0.191
264,72.425,1.3377,-0.1914
265,72.597,1.3389,-0.192
266,72.720,1.3399,-0.1924
267,72.966,1.3410,-0.1928
268,73.064,1.3420,-0.1934
269,73.261,1.3431,-0.1939
270,73.458,1.3442,-0.1943
271,73.630,1.3452,-0.1947
272,73.802,1.3463,-0.1955
273,73.974,1.3474,-0.1958
274,74.146,1.3484,-0.196
275,74.319,1.3495,-0.1966
276,74.491,1.3505,-0.1969
277,74.663,1.3516,-0.1975
278,74.884,1.3526,-0.1979
279,75.056,1.3536,-0.1982
280,75.179,1.3547,-0.1987
281,75.302,1.3557,-0.199
282,75.474,1.3567,-0.1995
283,75.720,1.3578,-0.1999
284,75.819,1.3588,-0.2004
285,76.016,1.3598,-0.2008
286,76.138,1.3608,-0.2012
287,76.311,1.3618,-0.2018
288,76.458,1.3629,-0.2022
289,76.655,1.3639,-0.2026
290,76.802,1.3649,-0.2032
291,76.999,1.3659,-0.2036
292,77.122,1.3669,-0.204
293,77.294,1.3679,-0.2044
294,77.491,1.3689,-0.2048
295,77.737,1.3699,-0.2051
296,77.762,1.3709,-0.2056
297,77.860,1.3719,-0.2059
298,78.106,1.3729,-0.2064
299,78.253,1.3739,-0.2067
300,78.401,1.3749,-0.207
301,78.598,1.3759,-0.2075
302,78.721,1.3769,-0.208
303,78.893,1.3779,-0.2084
304,78.991,1.3788,-0.2088
305,79.237,1.3798,-0.2093
306,79.360,1.3808,-0.2097
307,79.458,1.3818,-0.21
308,79.631,1.3827,-0.2106
309,79.778,1.3837,-0.2109
310,79.877,1.3846,-0.2113
311,80.073,1.3856,-0.2116
312,80.221,1.3866,-0.212
313,80.418,1.3875,-0.2124
314,80.516,1.3885,-0.2127
315,80.663,1.3895,-0.2131
316,80.836,1.3904,-0.2135
317,80.983,1.3913,-0.2137
318,81.106,1.3923,-0.2141
319,81.278,1.3932,-0.2144
