current[mA],power[mW],voltage[V],mpd_current[mA]
1,-0.025,0.7641,-8.447e-05
2,-0.000,0.7817,-0.0001009
3,-0.000,0.7938,-0.0001165
4,-0.000,0.8039,-0.0001312
5,0.025,0.8126,-0.0001462
6,-0.000,0.8203,-0.0001607
7,0.025,0.8271,-0.000176
8,0.025,0.8335,-0.0001926
9,0.025,0.8393,-0.0002098
10,0.049,0.8447,-0.0002344
11,0.172,0.8491,-0.0007325
12,0.467,0.8518,-0.002071
13,0.811,0.8545,-0.003435
14,1.230,0.8572,-0.004811
15,1.549,0.8598,-0.00617
16,1.894,0.8624,-0.007574
17,2.238,0.8651,-0.00898
18,2.558,0.8677,-0.01029
19,2.951,0.8703,-0.01165
20,3.320,0.8729,-0.01303
21,3.640,0.8754,-0.01436
22,3.984,0.8780,-0.01577
23,4.402,0.8806,-0.01713
24,4.722,0.8831,-0.01847
25,5.066,0.8857,-0.01982
26,5.459,0.8882,-0.02114
27,5.730,0.8907,-0.02249
28,6.173,0.8932,-0.02384
29,6.468,0.8957,-0.02516
30,6.861,0.8981,-0.02651
31,7.206,0.9006,-0.02782
32,7.525,0.9031,-0.02915
33,7.870,0.9055,-0.03044
34,8.189,0.9079,-0.03176
35,8.558,0.9104,-0.03307
36,8.927,0.9127,-0.03437
37,9.271,0.9151,-0.03564
38,9.566,0.9175,-0.03699
39,9.935,0.9200,-0.03828
40,10.280,0.9223,-0.03958
41,10.649,0.9246,-0.04087
42,10.968,0.9270,-0.04216
43,11.362,0.9294,-0.0435
44,11.657,0.9317,-0.04475
45,11.976,0.9341,-0.04604
46,12.345,0.9364,-0.04735
47,12.690,0.9387,-0.04861
48,13.059,0.9410,-0.04989
49,13.378,0.9433,-0.05124
50,13.698,0.9456,-0.05254
51,14.116,0.9480,-0.05385
52,14.411,0.9503,-0.05511
53,14.731,0.9525,-0.05635
54,15.051,0.9548,-0.05762
55,15.419,0.9570,-0.05897
56,15.739,0.9593,-0.06019
57,16.083,0.9615,-0.06147
58,16.428,0.9637,-0.06269
59,16.772,0.9659,-0.06397
60,17.092,0.9682,-0.06523
61,17.436,0.9704,-0.06653
62,17.731,0.9726,-0.06771
63,18.075,0.9748,-0.06899
64,18.420,0.9770,-0.07019
65,18.739,0.9791,-0.07141
66,19.084,0.9814,-0.07273
67,19.428,0.9836,-0.07395
68,19.748,0.9857,-0.07515
69,20.117,0.9879,-0.07638
70,20.387,0.9901,-0.07761
71,20.707,0.9922,-0.0788
72,21.076,0.9943,-0.08006
73,21.371,0.9965,-0.08122
74,21.715,0.9986,-0.08246
75,22.059,1.0008,-0.08368
76,22.355,1.0030,-0.08494
77,22.674,1.0051,-0.0862
78,23.019,1.0072,-0.08734
79,23.338,1.0092,-0.08854
80,23.658,1.0114,-0.08983
81,23.978,1.0135,-0.0911
82,24.322,1.0155,-0.09225
83,24.568,1.0176,-0.09346
84,24.912,1.0197,-0.0946
85,25.232,1.0217,-0.09581
86,25.601,1.0237,-0.09705
87,25.871,1.0259,-0.09827
88,26.191,1.0279,-0.09942
89,26.486,1.0299,-0.1006
90,26.855,1.0320,-0.1018
91,27.101,1.0339,-0.1029
92,27.470,1.0360,-0.1041
93,27.790,1.0380,-0.1052
94,28.035,1.0400,-0.1064
95,28.380,1.0420,-0.1075
96,28.675,1.0440,-0.1087
97,28.995,1.0459,-0.1098
98,29.290,1.0480,-0.111
99,29.609,1.0499,-0.1121
100,29.929,1.0519,-0.1132
101,30.224,1.0539,-0.1144
102,30.544,1.0558,-0.1155
103,30.888,1.0578,-0.1167
104,31.159,1.0597,-0.118
105,31.454,1.0617,-0.1191
106,31.749,1.0636,-0.1202
107,32.093,1.0656,-0.1213
108,32.388,1.0675,-0.1225
109,32.708,1.0694,-0.1237
110,32.979,1.0713,-0.1248
111,33.298,1.0732,-0.1258
112,33.593,1.0752,-0.127
113,33.864,1.0771,-0.1281
114,34.208,1.0790,-0.1292
115,34.503,1.0809,-0.1304
116,34.798,1.0828,-0.1314
117,35.044,1.0846,-0.1326
118,35.315,1.0865,-0.1336
119,35.684,1.0884,-0.1347
120,35.905,1.0902,-0.1359
121,36.249,1.0921,-0.1369
122,36.569,1.0940,-0.1379
123,36.889,1.0958,-0.139
124,37.085,1.0976,-0.1401
125,37.430,1.0995,-0.1412
126,37.700,1.1013,-0.1422
127,37.971,1.1032,-0.1433
128,38.266,1.1050,-0.1444
129,38.561,1.1068,-0.1455
130,38.856,1.1086,-0.1465
131,39.127,1.1104,-0.1476
132,39.397,1.1122,-0.1487
133,39.717,1.1140,-0.1498
134,40.012,1.1158,-0.1509
135,40.258,1.1176,-0.1518
136,40.553,1.1194,-0.1529
137,40.873,1.1211,-0.154
138,41.119,1.1229,-0.155
139,41.365,1.1247,-0.1561
140,41.684,1.1265,-0.1572
141,41.955,1.1282,-0.1582
142,42.275,1.1300,-0.159
143,42.520,1.1317,-0.1601
144,42.791,1.1335,-0.1611
145,43.086,1.1353,-0.162
146,43.307,1.1369,-0.1631
147,43.603,1.1386,-0.1641
148,43.898,1.1404,-0.1651
149,44.144,1.1421,-0.1661
150,44.488,1.1438,-0.1671
151,44.734,1.1456,-0.1682
152,45.004,1.1473,-0.1691
153,45.275,1.1490,-0.1701
154,45.595,1.1506,-0.1712
155,45.791,1.1523,-0.1722
156,46.037,1.1540,-0.1731
157,46.332,1.1557,-0.1742
158,46.603,1.1574,-0.1752
159,46.849,1.1591,-0.1761
160,47.119,1.1607,-0.177
161,47.365,1.1624,-0.1779
162,47.685,1.1640,-0.1789
163,47.906,1.1657,-0.1798
164,48.201,1.1674,-0.1807
165,48.472,1.1690,-0.1817
166,48.693,1.1707,-0.1828
167,48.915,1.1723,-0.1837
168,49.283,1.1740,-0.1845
169,49.505,1.1756,-0.1854
170,49.751,1.1772,-0.1864
171,49.997,1.1788,-0.1875
172,50.218,1.1805,-0.1884
173,50.538,1.1821,-0.1893
174,50.734,1.1837,-0.1903
175,51.005,1.1853,-0.1911
176,51.251,1.1869,-0.1921
177,51.521,1.1885,-0.193
178,51.816,1.1902,-0.1939
179,52.038,1.1917,-0.1948
180,52.308,1.1933,-0.1958
181,52.505,1.1949,-0.1966
182,52.751,1.1965,-0.1975
183,53.021,1.1981,-0.1983
184,53.243,1.1996,-0.1992
185,53.513,1.2012,-0.2001
186,53.759,1.2028,-0.2009
187,54.030,1.2043,-0.2017
188,54.276,1.2059,-0.2027
189,54.472,1.2075,-0.2037
190,54.669,1.2090,-0.2045
191,55.013,1.2105,-0.2055
192,55.186,1.2121,-0.2064
193,55.505,1.2136,-0.2072
194,55.653,1.2151,-0.208
195,55.973,1.2167,-0.2089
196,56.169,1.2182,-0.2098
197,56.415,1.2197,-0.2108
198,56.661,1.2213,-0.2115
199,56.858,1.2227,-0.2122
200,57.055,1.2242,-0.2131
201,57.350,1.2258,-0.214
202,57.596,1.2273,-0.2146
203,57.842,1.2288,-0.2155
204,58.063,1.2303,-0.2164
205,58.284,1.2318,-0.2172
206,58.506,1.2333,-0.218
207,58.752,1.2348,-0.2189
208,58.948,1.2362,-0.2197
209,59.170,1.2377,-0.2205
210,59.440,1.2392,-0.2213
211,59.637,1.2406,-0.2222
212,59.907,1.2421,-0.2231
213,60.080,1.2436,-0.2238
214,60.301,1.2450,-0.2247
215,60.522,1.2465,-0.2254
216,60.744,1.2480,-0.2262
217,60.989,1.2494,-0.2271
218,61.211,1.2509,-0.2277
219,61.408,1.2523,-0.2286
220,61.629,1.2537,-0.2293
221,61.875,1.2552,-0.23
222,62.047,1.2566,-0.2307
223,62.317,1.2580,-0.2316
224,62.539,1.2594,-0.2324
225,62.711,1.2609,-0.2332
226,63.006,1.2623,-0.2338
227,63.178,1.2637,-0.2348
228,63.424,1.2651,-0.2353
229,63.621,1.2665,-0.2363
230,63.842,1.2679,-0.237
231,64.064,1.2693,-0.2378
232,64.236,1.2707,-0.2385
233,64.457,1.2721,-0.2393
234,64.654,1.2735,-0.2399
235,64.900,1.2749,-0.2405
236,65.121,1.2763,-0.2415
237,65.293,1.2776,-0.2419
238,65.539,1.2790,-0.2427
239,65.736,1.2805,-0.2434
240,65.908,1.2818,-0.2441
241,66.154,1.2832,-0.2447
242,66.351,1.2846,-0.2456
243,66.523,1.2859,-0.2463
244,66.744,1.2872,-0.247
245,66.916,1.2886,-0.2478
246,67.162,1.2900,-0.2484
247,67.334,1.2913,-0.2493
248,67.605,1.2927,-0.2499
249,67.777,1.2940,-0.2506
250,67.949,1.2954,-0.2514
251,68.146,1.2967,-0.252
252,68.392,1.2980,-0.2527
253,68.564,1.2994,-0.2533
254,68.761,1.3007,-0.254
255,69.007,1.3021,-0.2546
256,69.203,1.3034,-0.2552
257,69.376,1.3047,-0.256
258,69.548,1.3060,-0.2565
259,69.744,1.3074,-0.2573
260,69.941,1.3087,-0.2579
261,70.162,1.3100,-0.2586
262,70.310,1.3113,-0.2594
263,70.531,1.3125,-0.2598
264,70.679,1.3139,-0.2606
265,70.925,1.3152,-0.2612
266,70.999,1.3164,-0.2619
267,71.269,1.3177,-0.2624
268,71.417,1.3191,-0.2632
269,71.663,1.3203,-0.2637
270,71.835,1.3216,-0.2644
271,72.032,1.3229,-0.265
272,72.228,1.3242,-0.2656
273,72.351,1.3255,-0.2662
274,72.573,1.3268,-0.2668
275,72.696,1.3280,-0.2673
276,72.966,1.3293,-0.268
277,73.138,1.3305,-0.2687
278,73.310,1.3318,-0.2692
279,73.532,1.3331,-0.27
280,73.679,1.3343,-0.2706
281,73.851,1.3356,-0.2712
282,74.073,1.3368,-0.2719
283,74.196,1.3381,-0.2725
284,74.417,1.3393,-0.273
285,74.540,1.3406,-0.2736
286,74.712,1.3418,-0.2741
287,74.884,1.3431,-0.2747
288,75.081,1.3443,-0.2752
289,75.278,1.3455,-0.2759
290,75.450,1.3468,-0.2765
291,75.597,1.3480,-0.2768
292,75.819,1.3492,-0.2775
293,75.991,1.3504,-0.2782
294,76.114,1.3517,-0.2788
295,76.286,1.3529,-0.2793
296,76.483,1.3541,-0.28
297,76.630,1.3554,-0.2804
298,76.802,1.3565,-0.281
299,76.975,1.3578,-0.2816
300,77.171,1.3590,-0.2821
301,77.294,1.3601,-0.2827
302,77.491,1.3614,-0.2832
303,77.688,1.3626,-0.2837
304,77.811,1.3638,-0.2843
305,78.007,1.3650,-0.2847
306,78.155,1.3661,-0.2854
307,78.278,1.3674,-0.286
308,78.499,1.3685,-0.2864
309,78.647,1.3698,-0.2869
310,78.844,1.3709,-0.2874
311,78.967,1.3721,-0.2879
312,79.163,1.3733,-0.2885
313,79.311,1.3744,-0.289
314,79.483,1.3756,-0.2896
315,79.631,1.3768,-0.2901
316,79.778,1.3780,-0.2904
317,79.901,1.3792,-0.291
318,80.098,1.3803,-0.2917
319,80.295,1.3815,-0.292
320,80.368,1.3826,-0.2927
321,80.541,1.3838,-0.2932
322,80.737,1.3849,-0.2937
323,80.885,1.3861,-0.2942
324,80.983,1.3872,-0.2947
325,81.229,1.3884,-0.2952
326,81.352,1.3896,-0.2956
327,81.500,1.3907,-0.2962
328,81.672,1.3918,-0.2967
329,81.819,1.3930,-0.297
330,81.942,1.3941,-0.2975
331,82.090,1.3952,-0.298
332,82.237,1.3964,-0.2983
333,82.336,1.3975,-0.2989
334,82.557,1.3986,-0.2995
335,82.705,1.3998,-0.3001
336,82.852,1.4009,-0.3005
337,83.000,1.4020,-0.3009
338,83.147,1.4031,-0.3014
339,83.320,1.4042,-0.3018
340,83.467,1.4054,-0.3023
341,83.590,1.4065,-0.3028
342,83.738,1.4076,-0.3031
343,83.861,1.4087,-0.3035
344,84.057,1.4099,-0.304
345,84.180,1.4109,-0.3044
346,84.279,1.4120,-0.3048
347,84.377,1.4131,-0.3055
348,84.623,1.4142,-0.3058
349,84.697,1.4153,-0.3063
350,84.918,1.4164,-0.3068
351,84.992,1.4175,-0.3072
352,85.115,1.4186,-0.3078
353,85.361,1.4197,-0.3081
354,85.434,1.4208,-0.3086
355,85.557,1.4219,-0.309
356,85.705,1.4230,-0.3093
357,85.853,1.4240,-0.3098
358,86.000,1.4251,-0.3101
359,86.148,1.4262,-0.3103
360,86.246,1.4272,-0.3109
361,86.443,1.4283,-0.3113
362,86.541,1.4294,-0.3116
363,86.689,1.4305,-0.3122
364,86.787,1.4316,-0.3125
365,86.861,1.4326,-0.3131
366,87.058,1.4337,-0.3135
367,87.205,1.4348,-0.314
368,87.230,1.4358,-0.3143
369,87.451,1.4369,-0.3148
370,87.599,1.4380,-0.3152
371,87.746,1.4390,-0.3156
372,87.771,1.4400,-0.3158
373,87.918,1.4411,-0.3162
374,88.066,1.4421,-0.3164
375,88.189,1.4432,-0.3167
376,88.361,1.4442,-0.3171
377,88.410,1.4452,-0.3175
378,88.558,1.4463,-0.318
379,88.681,1.4474,-0.3185
380,88.828,1.4484,-0.319
381,88.951,1.4494,-0.3193
382,89.050,1.4505,-0.3199
383,89.246,1.4515,-0.3203
384,89.345,1.4526,-0.3205
385,89.492,1.4536,-0.3209
386,89.517,1.4546,-0.3211
387,89.714,1.4556,-0.3214
388,89.787,1.4567,-0.3218
389,89.910,1.4577,-0.322
390,90.033,1.4587,-0.3225
391,90.082,1.4597,-0.3227
392,90.279,1.4607,-0.3229
393,90.353,1.4617,-0.3235
394,90.476,1.4627,-0.3239
395,90.648,1.4637,-0.3244
396,90.697,1.4648,-0.3248
397,90.845,1.4657,-0.3252
398,90.992,1.4668,-0.3255
399,91.091,1.4678,-0.3259
400,91.189,1.4688,-0.3261
401,91.312,1.4698,-0.3263
402,91.435,1.4708,-0.3267
403,91.583,1.4718,-0.3268
404,91.681,1.4728,-0.3271
405,91.804,1.4738,-0.3274
406,91.829,1.4748,-0.3277
407,91.927,1.4757,-0.3282
408,92.124,1.4768,-0.3287
409,92.222,1.4777,-0.3291
410,92.320,1.4788,-0.3295
411,92.419,1.4797,-0.3301
412,92.517,1.4807,-0.3301
413,92.640,1.4817,-0.3304
414,92.738,1.4827,-0.3309
415,92.837,1.4836,-0.3311
416,92.935,1.4846,-0.3312
417,93.083,1.4856,-0.3315
418,93.157,1.4866,-0.3318
419,93.255,1.4875,-0.332
420,93.353,1.4885,-0.3322
421,93.427,1.4895,-0.3326
422,93.599,1.4905,-0.3331
423,93.648,1.4914,-0.3335
424,93.747,1.4924,-0.3338
425,93.894,1.4934,-0.3342
426,93.968,1.4943,-0.3346
427,94.066,1.4952,-0.3347
428,94.214,1.4962,-0.3351
429,94.288,1.4971,-0.3352
430,94.386,1.4981,-0.3356
431,94.485,1.4990,-0.3356
432,94.607,1.5000,-0.3358
433,94.730,1.5010,-0.3361
434,94.755,1.5019,-0.3363
435,94.903,1.5029,-0.3368
436,94.927,1.5038,-0.3371
437,95.050,1.5048,-0.3375
438,95.173,1.5057,-0.3378
439,95.296,1.5066,-0.3383
440,95.394,1.5076,-0.3385
441,95.468,1.5085,-0.3387
442,95.591,1.5095,-0.3391
443,95.616,1.5104,-0.3392
444,95.714,1.5113,-0.3395
445,95.837,1.5122,-0.3395
446,95.911,1.5132,-0.3396
447,96.034,1.5141,-0.34
448,96.058,1.5150,-0.3402
449,96.206,1.5159,-0.3404
450,96.231,1.5169,-0.3407
451,96.378,1.5178,-0.3413
452,96.452,1.5187,-0.3415
453,96.599,1.5196,-0.3419
454,96.673,1.5205,-0.3421
455,96.747,1.5215,-0.3424
456,96.821,1.5224,-0.3426
457,96.870,1.5233,-0.3427
458,96.968,1.5242,-0.3428
459,97.042,1.5251,-0.343
460,97.190,1.5260,-0.3431
461,97.263,1.5269,-0.3435
462,97.362,1.5278,-0.3436
463,97.386,1.5288,-0.3439
464,97.509,1.5296,-0.3443
465,97.559,1.5305,-0.3446
466,97.583,1.5314,-0.3449
467,97.755,1.5323,-0.3452
468,97.854,1.5332,-0.3454
469,97.927,1.5341,-0.3457
470,98.001,1.5350,-0.3459
471,98.050,1.5359,-0.3461
472,98.149,1.5368,-0.3463
473,98.223,1.5377,-0.3464
474,98.272,1.5386,-0.3465
475,98.395,1.5395,-0.3468
476,98.444,1.5403,-0.3468
477,98.493,1.5412,-0.3472
478,98.665,1.5421,-0.3474
479,98.714,1.5430,-0.3477
480,98.813,1.5439,-0.3479
481,98.887,1.5448,-0.3482
482,98.960,1.5456,-0.3483
483,99.010,1.5465,-0.3487
484,99.083,1.5474,-0.3488
485,99.182,1.5482,-0.3491
486,99.231,1.5491,-0.3491
487,99.329,1.5500,-0.3495
488,99.428,1.5509,-0.3493
489,99.452,1.5517,-0.3497
490,99.501,1.5526,-0.3499
491,99.674,1.5534,-0.3501
492,99.723,1.5543,-0.3504
493,99.772,1.5552,-0.3504
