current[mA],power[mW],voltage[V],mpd_current[mA]
1,-0.025,0.7574,-6.718e-05
2,-0.000,0.7763,-8.087e-05
3,-0.000,0.7891,-9.349e-05
4,-0.000,0.7994,-0.0001049
5,0.025,0.8083,-0.0001181
6,0.025,0.8158,-0.0001301
7,0.025,0.8227,-0.0001431
8,0.025,0.8290,-0.000157
9,0.049,0.8347,-0.0001713
10,-0.000,0.8400,-0.0001873
11,-0.000,0.8450,-0.0002051
12,0.049,0.8496,-0.0002241
13,0.049,0.8543,-0.0002462
14,0.074,0.8587,-0.0002706
15,0.098,0.8627,-0.0003068
16,0.270,0.8659,-0.00077
17,0.689,0.8681,-0.001718
18,1.131,0.8703,-0.002648
19,1.623,0.8725,-0.003614
20,2.090,0.8748,-0.004558
21,2.459,0.8770,-0.005492
22,2.926,0.8793,-0.00643
23,3.394,0.8815,-0.007393
24,3.763,0.8837,-0.008296
25,4.156,0.8860,-0.009238
26,4.648,0.8882,-0.01019
27,5.017,0.8904,-0.01108
28,5.484,0.8926,-0.01204
29,5.878,0.8949,-0.01295
30,6.246,0.8970,-0.01386
31,6.665,0.8993,-0.01478
32,7.058,0.9015,-0.01568
33,7.427,0.9037,-0.01658
34,7.845,0.9058,-0.01749
35,8.288,0.9080,-0.01844
36,8.706,0.9102,-0.01932
37,9.050,0.9124,-0.02022
38,9.419,0.9145,-0.02111
39,9.837,0.9167,-0.02204
40,10.206,0.9189,-0.02292
41,10.624,0.9210,-0.0238
42,10.968,0.9231,-0.02473
43,11.411,0.9253,-0.02564
44,11.755,0.9274,-0.02654
45,12.099,0.9296,-0.02742
46,12.567,0.9317,-0.02831
47,12.936,0.9338,-0.02917
48,13.255,0.9359,-0.03005
49,13.723,0.9379,-0.03095
50,14.042,0.9400,-0.03184
51,14.436,0.9421,-0.03274
52,14.805,0.9442,-0.0336
53,15.198,0.9462,-0.03447
54,15.542,0.9483,-0.03535
55,15.960,0.9503,-0.03624
56,16.280,0.9524,-0.0371
57,16.674,0.9545,-0.03801
58,17.092,0.9566,-0.0389
