lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-22-42-A9,50,0.05,1527,-90.31237
P11032-3,71638_20-22-42-A9,50,0.05,1527.02,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.04,-78.46185
P11032-3,71638_20-22-42-A9,50,0.05,1527.06,-77.55475
P11032-3,71638_20-22-42-A9,50,0.05,1527.08,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.1,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.12,-73.31801
P11032-3,71638_20-22-42-A9,50,0.05,1527.14,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.16,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.18,-86.6035
P11032-3,71638_20-22-42-A9,50,0.05,1527.2,-83.45631
P11032-3,71638_20-22-42-A9,50,0.05,1527.22,-80.36165
P11032-3,71638_20-22-42-A9,50,0.05,1527.24,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.26,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.28,-76.199700000000007
P11032-3,71638_20-22-42-A9,50,0.05,1527.3,-86.74484
P11032-3,71638_20-22-42-A9,50,0.05,1527.32,-86.24885
P11032-3,71638_20-22-42-A9,50,0.05,1527.34,-75.08498
P11032-3,71638_20-22-42-A9,50,0.05,1527.36,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.38,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.4,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.42,-76.99839
P11032-3,71638_20-22-42-A9,50,0.05,1527.44,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.46,-75.83027
P11032-3,71638_20-22-42-A9,50,0.05,1527.48,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.5,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.52,-83.13185
P11032-3,71638_20-22-42-A9,50,0.05,1527.54,-94.2934
P11032-3,71638_20-22-42-A9,50,0.05,1527.56,-88.23909
P11032-3,71638_20-22-42-A9,50,0.05,1527.58,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.6,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.62,-80.58687
P11032-3,71638_20-22-42-A9,50,0.05,1527.64,-78.10791
P11032-3,71638_20-22-42-A9,50,0.05,1527.66,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.68,-80.59882
P11032-3,71638_20-22-42-A9,50,0.05,1527.7,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.72,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.74,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.76,-83.21664
P11032-3,71638_20-22-42-A9,50,0.05,1527.78,-85.01414
P11032-3,71638_20-22-42-A9,50,0.05,1527.8,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.82,-79.88007
P11032-3,71638_20-22-42-A9,50,0.05,1527.84,-81.59831
P11032-3,71638_20-22-42-A9,50,0.05,1527.86,-81.83096
P11032-3,71638_20-22-42-A9,50,0.05,1527.88,-83.65019
P11032-3,71638_20-22-42-A9,50,0.05,1527.9,-77.34475
P11032-3,71638_20-22-42-A9,50,0.05,1527.92,-83.11135
P11032-3,71638_20-22-42-A9,50,0.05,1527.94,-85.07799
P11032-3,71638_20-22-42-A9,50,0.05,1527.96,-120
P11032-3,71638_20-22-42-A9,50,0.05,1527.98,-81.14808
P11032-3,71638_20-22-42-A9,50,0.05,1528,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.02,-78.80085
P11032-3,71638_20-22-42-A9,50,0.05,1528.04,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.06,-78.09108
P11032-3,71638_20-22-42-A9,50,0.05,1528.08,-79.65773
P11032-3,71638_20-22-42-A9,50,0.05,1528.1,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.12,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.14,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.16,-80.20953
P11032-3,71638_20-22-42-A9,50,0.05,1528.18,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.2,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.22,-83.73762
P11032-3,71638_20-22-42-A9,50,0.05,1528.24,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.26,-84.97163
P11032-3,71638_20-22-42-A9,50,0.05,1528.28,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.3,-82.41921
P11032-3,71638_20-22-42-A9,50,0.05,1528.32,-76.79646
P11032-3,71638_20-22-42-A9,50,0.05,1528.34,-93.32734
P11032-3,71638_20-22-42-A9,50,0.05,1528.36,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.38,-84.81486
P11032-3,71638_20-22-42-A9,50,0.05,1528.4,-85.54707
P11032-3,71638_20-22-42-A9,50,0.05,1528.42,-83.98266
P11032-3,71638_20-22-42-A9,50,0.05,1528.44,-80.2789
P11032-3,71638_20-22-42-A9,50,0.05,1528.46,-82.56333
P11032-3,71638_20-22-42-A9,50,0.05,1528.48,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.5,-80.19315
P11032-3,71638_20-22-42-A9,50,0.05,1528.52,-79.89276
P11032-3,71638_20-22-42-A9,50,0.05,1528.54,-82.17958
P11032-3,71638_20-22-42-A9,50,0.05,1528.56,-99.34794
P11032-3,71638_20-22-42-A9,50,0.05,1528.58,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.6,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.62,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.64,-76.6334
P11032-3,71638_20-22-42-A9,50,0.05,1528.66,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.68,-79.40437
P11032-3,71638_20-22-42-A9,50,0.05,1528.7,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.72,-84.12401
P11032-3,71638_20-22-42-A9,50,0.05,1528.74,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.76,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.78,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.8,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.82,-78.85723
P11032-3,71638_20-22-42-A9,50,0.05,1528.84,-77.27694
P11032-3,71638_20-22-42-A9,50,0.05,1528.86,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.88,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.9,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.92,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.94,-78.30326
P11032-3,71638_20-22-42-A9,50,0.05,1528.96,-120
P11032-3,71638_20-22-42-A9,50,0.05,1528.98,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.02,-78.60121
P11032-3,71638_20-22-42-A9,50,0.05,1529.04,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.06,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.08,-88.85723
P11032-3,71638_20-22-42-A9,50,0.05,1529.1,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.12,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.14,-82.59953
P11032-3,71638_20-22-42-A9,50,0.05,1529.16,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.18,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.2,-79.92252
P11032-3,71638_20-22-42-A9,50,0.05,1529.22,-82.01211
P11032-3,71638_20-22-42-A9,50,0.05,1529.24,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.26,-80.51245
P11032-3,71638_20-22-42-A9,50,0.05,1529.28,-83.92759
P11032-3,71638_20-22-42-A9,50,0.05,1529.3,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.32,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.34,-80.75204
P11032-3,71638_20-22-42-A9,50,0.05,1529.36,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.38,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.4,-78.53872
P11032-3,71638_20-22-42-A9,50,0.05,1529.42,-92.62251
P11032-3,71638_20-22-42-A9,50,0.05,1529.44,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.46,-78.12761
P11032-3,71638_20-22-42-A9,50,0.05,1529.48,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.5,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.52,-78.95172
P11032-3,71638_20-22-42-A9,50,0.05,1529.54,-80.8066
P11032-3,71638_20-22-42-A9,50,0.05,1529.56,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.58,-85.88212
P11032-3,71638_20-22-42-A9,50,0.05,1529.6,-82.21704
P11032-3,71638_20-22-42-A9,50,0.05,1529.62,-77.40406
P11032-3,71638_20-22-42-A9,50,0.05,1529.64,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.66,-75.01138
P11032-3,71638_20-22-42-A9,50,0.05,1529.68,-81.72372
P11032-3,71638_20-22-42-A9,50,0.05,1529.7,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.72,-79.40437
P11032-3,71638_20-22-42-A9,50,0.05,1529.74,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.76,-83.59221
P11032-3,71638_20-22-42-A9,50,0.05,1529.78,-77.87014
P11032-3,71638_20-22-42-A9,50,0.05,1529.8,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.82,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.84,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.86,-80.58687
P11032-3,71638_20-22-42-A9,50,0.05,1529.88,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.9,-76.81519
P11032-3,71638_20-22-42-A9,50,0.05,1529.92,-120
P11032-3,71638_20-22-42-A9,50,0.05,1529.94,-76.09065
P11032-3,71638_20-22-42-A9,50,0.05,1529.96,-87.08631
P11032-3,71638_20-22-42-A9,50,0.05,1529.98,-77.32828
P11032-3,71638_20-22-42-A9,50,0.05,1530,-83.26518
P11032-3,71638_20-22-42-A9,50,0.05,1530.02,-120
P11032-3,71638_20-22-42-A9,50,0.05,1530.04,-120
P11032-3,71638_20-22-42-A9,50,0.05,1530.06,-120
P11032-3,71638_20-22-42-A9,50,0.05,1530.08,-120
P11032-3,71638_20-22-42-A9,50,0.05,1530.1,-120
P11032-3,71638_20-22-42-A9,50,0.05,1530.12,-88.20161
P11032-3,71638_20-22-42-A9,50,0.05,1530.14,-83.34138
P11032-3,71638_20-22-42-A9,50,0.05,1530.16,-83.75305
P11032-3,71638_20-22-42-A9,50,0.05,1530.18,-120
P11032-3,71638_20-22-42-A9,50,0.05,1530.2,-80.70632
P11032-3,71638_20-22-42-A9,50,0.05,1530.22,-80.34093
P11032-3,71638_20-22-42-A9,50,0.05,1530.24,-80.67019
P11032-3,71638_20-22-42-A9,50,0.05,1530.26,-80.70632
P11032-3,71638_20-22-42-A9,50,0.05,1530.28,-120
P11032-3,71638_20-22-42-A9,50,0.05,1530.3,-120
P11032-3,71638_20-22-42-A9,50,0.05,1530.32,-80.29188
P11032-3,71638_20-22-42-A9,50,0.05,1530.34,-89.94391
P11032-3,71638_20-22-42-A9,50,0.05,1530.36,-79.26648
P11032-3,71638_20-22-42-A9,50,0.05,1530.38,-120
P11032-3,71638_20-22-42-A9,50,0.05,1530.4,-120
P11032-3,71638_20-22-42-A9,50,0.05,1530.42,-120
P11032-3,71638_20-22-42-A9,50,0.05,1530.44,-120
P11032-3,71638_20-22-42-A9,50,0.05,1530.46,-79.5117
P11032-3,71638_20-22-42-A9,50,0.05,1530.48,-77.38499
P11032-3,71638_20-22-42-A9,50,0.05,1530.5,-78.46795
P11032-3,71638_20-22-42-A9,50,0.05,1530.52,-82.89121
P11032-3,71638_20-22-42-A9,50,0.05,1530.54,-120
P11032-3,71638_20-22-42-A9,50,0.05,1530.56,-120
P11032-3,71638_20-22-42-A9,50,0.05,1530.58,-79.73467
P11032-3,71638_20-22-42-A9,50,0.05,1530.6,-81.17305
P11032-3,71638_20-22-42-A9,50,0.05,1530.62,-77.79108
P11032-3,71638_20-22-42-A9,50,0.05,1530.64,-79.77984
P11032-3,71638_20-22-42-A9,50,0.05,1530.66,-120
P11032-3,71638_20-22-42-A9,50,0.05,1530.68,-83.6261
P11032-3,71638_20-22-42-A9,50,0.05,1530.7,-83.18216
P11032-3,71638_20-22-42-A9,50,0.05,1530.72,-120
P11032-3,71638_20-22-42-A9,50,0.05,1530.74,-80.40434
P11032-3,71638_20-22-42-A9,50,0.05,1530.76,-96.32085
P11032-3,71638_20-22-42-A9,50,0.05,1530.78,-80.15608
P11032-3,71638_20-22-42-A9,50,0.05,1530.8,-77.46662
P11032-3,71638_20-22-42-A9,50,0.05,1530.82,-79.65773
P11032-3,71638_20-22-42-A9,50,0.05,1530.84,-99.78811
P11032-3,71638_20-22-42-A9,50,0.05,1530.86,-120
P11032-3,71638_20-22-42-A9,50,0.05,1530.88,-120
P11032-3,71638_20-22-42-A9,50,0.05,1530.9,-120
P11032-3,71638_20-22-42-A9,50,0.05,1530.92,-98.53872
P11032-3,71638_20-22-42-A9,50,0.05,1530.94,-78.96538
P11032-3,71638_20-22-42-A9,50,0.05,1530.96,-79.32185
P11032-3,71638_20-22-42-A9,50,0.05,1530.98,-79.37794
P11032-3,71638_20-22-42-A9,50,0.05,1531,-78.16161
P11032-3,71638_20-22-42-A9,50,0.05,1531.02,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.04,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.06,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.08,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.1,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.12,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.14,-88.53562
P11032-3,71638_20-22-42-A9,50,0.05,1531.16,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.18,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.2,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.22,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.24,-80.10061
P11032-3,71638_20-22-42-A9,50,0.05,1531.26,-83.82161
P11032-3,71638_20-22-42-A9,50,0.05,1531.28,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.3,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.32,-80.81236
P11032-3,71638_20-22-42-A9,50,0.05,1531.34,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.36,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.38,-82.99469
P11032-3,71638_20-22-42-A9,50,0.05,1531.4,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.42,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.44,-99.32185
P11032-3,71638_20-22-42-A9,50,0.05,1531.46,-85.18701
P11032-3,71638_20-22-42-A9,50,0.05,1531.48,-81.32533
P11032-3,71638_20-22-42-A9,50,0.05,1531.5,-78.2594
P11032-3,71638_20-22-42-A9,50,0.05,1531.52,-84.57797
P11032-3,71638_20-22-42-A9,50,0.05,1531.54,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.56,-78.80085
P11032-3,71638_20-22-42-A9,50,0.05,1531.58,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.6,-89.54286
P11032-3,71638_20-22-42-A9,50,0.05,1531.62,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.64,-82.57511
P11032-3,71638_20-22-42-A9,50,0.05,1531.66,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.68,-80.82652
P11032-3,71638_20-22-42-A9,50,0.05,1531.7,-77.69296
P11032-3,71638_20-22-42-A9,50,0.05,1531.72,-84.29107
P11032-3,71638_20-22-42-A9,50,0.05,1531.74,-84.33209
P11032-3,71638_20-22-42-A9,50,0.05,1531.76,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.78,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.8,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.82,-78.73544
P11032-3,71638_20-22-42-A9,50,0.05,1531.84,-120
P11032-3,71638_20-22-42-A9,50,0.05,1531.86,-83.37809
P11032-3,71638_20-22-42-A9,50,0.05,1531.88,-95.88717
