lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-24-82-72,50,0.2,1527,-80.86769
P11032-3,71638_20-24-82-72,50,0.2,1527.02,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.04,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.06,-83.32267
P11032-3,71638_20-24-82-72,50,0.2,1527.08,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.1,-81.56954
P11032-3,71638_20-24-82-72,50,0.2,1527.12,-81.24765
P11032-3,71638_20-24-82-72,50,0.2,1527.14,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.16,-100.8922
P11032-3,71638_20-24-82-72,50,0.2,1527.18,-85.0962
P11032-3,71638_20-24-82-72,50,0.2,1527.2,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.22,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.24,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.26,-78.03547
P11032-3,71638_20-24-82-72,50,0.2,1527.28,-81.70182
P11032-3,71638_20-24-82-72,50,0.2,1527.3,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.32,-91.42005
P11032-3,71638_20-24-82-72,50,0.2,1527.34,-91.01824
P11032-3,71638_20-24-82-72,50,0.2,1527.36,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.38,-78.11916
P11032-3,71638_20-24-82-72,50,0.2,1527.4,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.42,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.44,-83.34513
P11032-3,71638_20-24-82-72,50,0.2,1527.46,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.48,-84.51488
P11032-3,71638_20-24-82-72,50,0.2,1527.5,-88.34162
P11032-3,71638_20-24-82-72,50,0.2,1527.52,-78.17015
P11032-3,71638_20-24-82-72,50,0.2,1527.54,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.56,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.58,-77.21704
P11032-3,71638_20-24-82-72,50,0.2,1527.6,-80.95501
P11032-3,71638_20-24-82-72,50,0.2,1527.62,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.64,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.66,-76.77574
P11032-3,71638_20-24-82-72,50,0.2,1527.68,-76.37329
P11032-3,71638_20-24-82-72,50,0.2,1527.7,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.72,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.74,-78.80085
P11032-3,71638_20-24-82-72,50,0.2,1527.76,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.78,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.8,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.82,-81.38466
P11032-3,71638_20-24-82-72,50,0.2,1527.84,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.86,-76.82982
P11032-3,71638_20-24-82-72,50,0.2,1527.88,-120
P11032-3,71638_20-24-82-72,50,0.2,1527.9,-85.33132
