lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-31-20-B6,50,0.2,1527,-120
P11032-3,71638_20-31-20-B6,50,0.2,1527.02,-83.81743
P11032-3,71638_20-31-20-B6,50,0.2,1527.04,-76.80478
P11032-3,71638_20-31-20-B6,50,0.2,1527.06,-120
P11032-3,71638_20-31-20-B6,50,0.2,1527.08,-82.97914
P11032-3,71638_20-31-20-B6,50,0.2,1527.1,-81.84622
P11032-3,71638_20-31-20-B6,50,0.2,1527.12,-80.24752
P11032-3,71638_20-31-20-B6,50,0.2,1527.14,-77.76245
P11032-3,71638_20-31-20-B6,50,0.2,1527.16,-76.63941
P11032-3,71638_20-31-20-B6,50,0.2,1527.18,-120
P11032-3,71638_20-31-20-B6,50,0.2,1527.2,-79.62574
P11032-3,71638_20-31-20-B6,50,0.2,1527.22,-80.15788
P11032-3,71638_20-31-20-B6,50,0.2,1527.24,-80.18907
P11032-3,71638_20-31-20-B6,50,0.2,1527.26,-79.694
P11032-3,71638_20-31-20-B6,50,0.2,1527.28,-80.74585
P11032-3,71638_20-31-20-B6,50,0.2,1527.3,-80.56407
P11032-3,71638_20-31-20-B6,50,0.2,1527.32,-78.33274
P11032-3,71638_20-31-20-B6,50,0.2,1527.34,-78.65186
P11032-3,71638_20-31-20-B6,50,0.2,1527.36,-120
P11032-3,71638_20-31-20-B6,50,0.2,1527.38,-82.25045
P11032-3,71638_20-31-20-B6,50,0.2,1527.4,-79.0101
P11032-3,71638_20-31-20-B6,50,0.2,1527.42,-80.69255
P11032-3,71638_20-31-20-B6,50,0.2,1527.44,-82.30254
P11032-3,71638_20-31-20-B6,50,0.2,1527.46,-76.88246
P11032-3,71638_20-31-20-B6,50,0.2,1527.48,-74.97846
P11032-3,71638_20-31-20-B6,50,0.2,1527.5,-80.9114
P11032-3,71638_20-31-20-B6,50,0.2,1527.52,-120
P11032-3,71638_20-31-20-B6,50,0.2,1527.54,-79.17574
P11032-3,71638_20-31-20-B6,50,0.2,1527.56,-120
P11032-3,71638_20-31-20-B6,50,0.2,1527.58,-120
P11032-3,71638_20-31-20-B6,50,0.2,1527.6,-120
P11032-3,71638_20-31-20-B6,50,0.2,1527.62,-80.75204
P11032-3,71638_20-31-20-B6,50,0.2,1527.64,-79.19734
P11032-3,71638_20-31-20-B6,50,0.2,1527.66,-120
P11032-3,71638_20-31-20-B6,50,0.2,1527.68,-78.60121
P11032-3,71638_20-31-20-B6,50,0.2,1527.7,-120
P11032-3,71638_20-31-20-B6,50,0.2,1527.72,-76.79438
P11032-3,71638_20-31-20-B6,50,0.2,1527.74,-83.69674
P11032-3,71638_20-31-20-B6,50,0.2,1527.76,-120
P11032-3,71638_20-31-20-B6,50,0.2,1527.78,-81.26156
P11032-3,71638_20-31-20-B6,50,0.2,1527.8,-120
P11032-3,71638_20-31-20-B6,50,0.2,1527.82,-78.01343
P11032-3,71638_20-31-20-B6,50,0.2,1527.84,-120
P11032-3,71638_20-31-20-B6,50,0.2,1527.86,-120
P11032-3,71638_20-31-20-B6,50,0.2,1527.88,-120
P11032-3,71638_20-31-20-B6,50,0.2,1527.9,-82.14172
P11032-3,71638_20-31-20-B6,50,0.2,1527.92,-120
P11032-3,71638_20-31-20-B6,50,0.2,1527.94,-81.90844
P11032-3,71638_20-31-20-B6,50,0.2,1527.96,-81.6647
P11032-3,71638_20-31-20-B6,50,0.2,1527.98,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.02,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.04,-87.88879
P11032-3,71638_20-31-20-B6,50,0.2,1528.06,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.08,-78.31797
P11032-3,71638_20-31-20-B6,50,0.2,1528.1,-82.2127
P11032-3,71638_20-31-20-B6,50,0.2,1528.12,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.14,-86.56001
P11032-3,71638_20-31-20-B6,50,0.2,1528.16,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.18,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.2,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.22,-80.48808
P11032-3,71638_20-31-20-B6,50,0.2,1528.24,-79.26282
P11032-3,71638_20-31-20-B6,50,0.2,1528.26,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.28,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.3,-80.75617
P11032-3,71638_20-31-20-B6,50,0.2,1528.32,-85.01827
P11032-3,71638_20-31-20-B6,50,0.2,1528.34,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.36,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.38,-83.4371
P11032-3,71638_20-31-20-B6,50,0.2,1528.4,-78.91097
P11032-3,71638_20-31-20-B6,50,0.2,1528.42,-78.15309
P11032-3,71638_20-31-20-B6,50,0.2,1528.44,-78.37137
P11032-3,71638_20-31-20-B6,50,0.2,1528.46,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.48,-83.5164
P11032-3,71638_20-31-20-B6,50,0.2,1528.5,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.52,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.54,-86.25252
P11032-3,71638_20-31-20-B6,50,0.2,1528.56,-75.28855
P11032-3,71638_20-31-20-B6,50,0.2,1528.58,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.6,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.62,-89.66576
P11032-3,71638_20-31-20-B6,50,0.2,1528.64,-77.63211
P11032-3,71638_20-31-20-B6,50,0.2,1528.66,-78.08829
P11032-3,71638_20-31-20-B6,50,0.2,1528.68,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.7,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.72,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.74,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.76,-80.37631
P11032-3,71638_20-31-20-B6,50,0.2,1528.78,-102.3575
P11032-3,71638_20-31-20-B6,50,0.2,1528.8,-94.29691
P11032-3,71638_20-31-20-B6,50,0.2,1528.82,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.84,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.86,-75.78561
P11032-3,71638_20-31-20-B6,50,0.2,1528.88,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.9,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.92,-83.06361
P11032-3,71638_20-31-20-B6,50,0.2,1528.94,-120
P11032-3,71638_20-31-20-B6,50,0.2,1528.96,-84.64959
P11032-3,71638_20-31-20-B6,50,0.2,1528.98,-89.66576
P11032-3,71638_20-31-20-B6,50,0.2,1529,-84.7847
P11032-3,71638_20-31-20-B6,50,0.2,1529.02,-87.30721
P11032-3,71638_20-31-20-B6,50,0.2,1529.04,-76.48784
P11032-3,71638_20-31-20-B6,50,0.2,1529.06,-84.87582
P11032-3,71638_20-31-20-B6,50,0.2,1529.08,-83.92009
P11032-3,71638_20-31-20-B6,50,0.2,1529.1,-120
P11032-3,71638_20-31-20-B6,50,0.2,1529.12,-120
