lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-32-29-F2,50,0.05,1527,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.02,-87.82253
P11032-3,71638_20-32-29-F2,50,0.05,1527.04,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.06,-82.67848
P11032-3,71638_20-32-29-F2,50,0.05,1527.08,-77.38499
P11032-3,71638_20-32-29-F2,50,0.05,1527.1,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.12,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.14,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.16,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.18,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.2,-75.41816
P11032-3,71638_20-32-29-F2,50,0.05,1527.22,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.24,-81.18159
P11032-3,71638_20-32-29-F2,50,0.05,1527.26,-84.22508
P11032-3,71638_20-32-29-F2,50,0.05,1527.28,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.3,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.32,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.34,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.36,-85.59721
P11032-3,71638_20-32-29-F2,50,0.05,1527.38,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.4,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.42,-78.61066
P11032-3,71638_20-32-29-F2,50,0.05,1527.44,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.46,-80.02395
P11032-3,71638_20-32-29-F2,50,0.05,1527.48,-82.00384
P11032-3,71638_20-32-29-F2,50,0.05,1527.5,-84.85718
P11032-3,71638_20-32-29-F2,50,0.05,1527.52,-85.01414
P11032-3,71638_20-32-29-F2,50,0.05,1527.54,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.56,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.58,-86.44548
P11032-3,71638_20-32-29-F2,50,0.05,1527.6,-77.54981
P11032-3,71638_20-32-29-F2,50,0.05,1527.62,-78.05763
P11032-3,71638_20-32-29-F2,50,0.05,1527.64,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.66,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.68,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.7,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.72,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.74,-83.29105
P11032-3,71638_20-32-29-F2,50,0.05,1527.76,-78.99974
P11032-3,71638_20-32-29-F2,50,0.05,1527.78,-79.80884
P11032-3,71638_20-32-29-F2,50,0.05,1527.8,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.82,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.84,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.86,-82.62251
P11032-3,71638_20-32-29-F2,50,0.05,1527.88,-81.62727
P11032-3,71638_20-32-29-F2,50,0.05,1527.9,-79.14353
P11032-3,71638_20-32-29-F2,50,0.05,1527.92,-120
P11032-3,71638_20-32-29-F2,50,0.05,1527.94,-86.12254
P11032-3,71638_20-32-29-F2,50,0.05,1527.96,-82.7254
P11032-3,71638_20-32-29-F2,50,0.05,1527.98,-120
P11032-3,71638_20-32-29-F2,50,0.05,1528,-81.34067
P11032-3,71638_20-32-29-F2,50,0.05,1528.02,-120
P11032-3,71638_20-32-29-F2,50,0.05,1528.04,-79.38548
P11032-3,71638_20-32-29-F2,50,0.05,1528.06,-86.49364
P11032-3,71638_20-32-29-F2,50,0.05,1528.08,-120
P11032-3,71638_20-32-29-F2,50,0.05,1528.1,-79.18653
P11032-3,71638_20-32-29-F2,50,0.05,1528.12,-86.16903
P11032-3,71638_20-32-29-F2,50,0.05,1528.14,-88.17871
P11032-3,71638_20-32-29-F2,50,0.05,1528.16,-120
P11032-3,71638_20-32-29-F2,50,0.05,1528.18,-79.50782
P11032-3,71638_20-32-29-F2,50,0.05,1528.2,-120
P11032-3,71638_20-32-29-F2,50,0.05,1528.22,-81.312970000000007
P11032-3,71638_20-32-29-F2,50,0.05,1528.24,-79.87585
P11032-3,71638_20-32-29-F2,50,0.05,1528.26,-82.35749
P11032-3,71638_20-32-29-F2,50,0.05,1528.28,-120
P11032-3,71638_20-32-29-F2,50,0.05,1528.3,-120
P11032-3,71638_20-32-29-F2,50,0.05,1528.32,-78.03547
P11032-3,71638_20-32-29-F2,50,0.05,1528.34,-81.53725
P11032-3,71638_20-32-29-F2,50,0.05,1528.36,-90.7743
P11032-3,71638_20-32-29-F2,50,0.05,1528.38,-120
P11032-3,71638_20-32-29-F2,50,0.05,1528.4,-79.469220000000007
P11032-3,71638_20-32-29-F2,50,0.05,1528.42,-120
P11032-3,71638_20-32-29-F2,50,0.05,1528.44,-120
P11032-3,71638_20-32-29-F2,50,0.05,1528.46,-76.11366
P11032-3,71638_20-32-29-F2,50,0.05,1528.48,-82.43668
P11032-3,71638_20-32-29-F2,50,0.05,1528.5,-82.01626
P11032-3,71638_20-32-29-F2,50,0.05,1528.52,-78.32978
P11032-3,71638_20-32-29-F2,50,0.05,1528.54,-81.44481
P11032-3,71638_20-32-29-F2,50,0.05,1528.56,-120
P11032-3,71638_20-32-29-F2,50,0.05,1528.58,-76.74074
P11032-3,71638_20-32-29-F2,50,0.05,1528.6,-120
P11032-3,71638_20-32-29-F2,50,0.05,1528.62,-82.74824
P11032-3,71638_20-32-29-F2,50,0.05,1528.64,-80.75617
P11032-3,71638_20-32-29-F2,50,0.05,1528.66,-120
P11032-3,71638_20-32-29-F2,50,0.05,1528.68,-80.66715
