lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-32-30-D3,50,0.4,1527,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.02,-76.33017
P11032-3,71638_20-32-30-D3,50,0.4,1527.04,-84.50139
P11032-3,71638_20-32-30-D3,50,0.4,1527.06,-85.74629
P11032-3,71638_20-32-30-D3,50,0.4,1527.08,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.1,-77.88079
P11032-3,71638_20-32-30-D3,50,0.4,1527.12,-79.08685
P11032-3,71638_20-32-30-D3,50,0.4,1527.14,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.16,-81.94771
P11032-3,71638_20-32-30-D3,50,0.4,1527.18,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.2,-78.33274
P11032-3,71638_20-32-30-D3,50,0.4,1527.22,-75.53308
P11032-3,71638_20-32-30-D3,50,0.4,1527.24,-79.41954
P11032-3,71638_20-32-30-D3,50,0.4,1527.26,-75.28268
P11032-3,71638_20-32-30-D3,50,0.4,1527.28,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.3,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.32,-77.58952
P11032-3,71638_20-32-30-D3,50,0.4,1527.34,-82.31954
P11032-3,71638_20-32-30-D3,50,0.4,1527.36,-77.65736
P11032-3,71638_20-32-30-D3,50,0.4,1527.38,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.4,-80.31797
P11032-3,71638_20-32-30-D3,50,0.4,1527.42,-95.5424
P11032-3,71638_20-32-30-D3,50,0.4,1527.44,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.46,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.48,-78.09388
P11032-3,71638_20-32-30-D3,50,0.4,1527.5,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.52,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.54,-76.96156
P11032-3,71638_20-32-30-D3,50,0.4,1527.56,-83.45631
P11032-3,71638_20-32-30-D3,50,0.4,1527.58,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.6,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.62,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.64,-80.47304
P11032-3,71638_20-32-30-D3,50,0.4,1527.66,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.68,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.7,-79.43858
P11032-3,71638_20-32-30-D3,50,0.4,1527.72,-80.49538
P11032-3,71638_20-32-30-D3,50,0.4,1527.74,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.76,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.78,-82.30254
P11032-3,71638_20-32-30-D3,50,0.4,1527.8,-96.12254
P11032-3,71638_20-32-30-D3,50,0.4,1527.82,-81.51195
P11032-3,71638_20-32-30-D3,50,0.4,1527.84,-76.74895
P11032-3,71638_20-32-30-D3,50,0.4,1527.86,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.88,-77.77804
P11032-3,71638_20-32-30-D3,50,0.4,1527.9,-120
P11032-3,71638_20-32-30-D3,50,0.4,1527.92,-87.44245
P11032-3,71638_20-32-30-D3,50,0.4,1527.94,-78.16445
P11032-3,71638_20-32-30-D3,50,0.4,1527.96,-84.33327
P11032-3,71638_20-32-30-D3,50,0.4,1527.98,-83.75718
P11032-3,71638_20-32-30-D3,50,0.4,1528,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.02,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.04,-80.7743
P11032-3,71638_20-32-30-D3,50,0.4,1528.06,-76.87611
P11032-3,71638_20-32-30-D3,50,0.4,1528.08,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.1,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.12,-78.25359
P11032-3,71638_20-32-30-D3,50,0.4,1528.14,-76.52865
P11032-3,71638_20-32-30-D3,50,0.4,1528.16,-78.91097
P11032-3,71638_20-32-30-D3,50,0.4,1528.18,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.2,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.22,-77.96423
P11032-3,71638_20-32-30-D3,50,0.4,1528.24,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.26,-81.7888
P11032-3,71638_20-32-30-D3,50,0.4,1528.28,-78.85723
P11032-3,71638_20-32-30-D3,50,0.4,1528.3,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.32,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.34,-80.37631
P11032-3,71638_20-32-30-D3,50,0.4,1528.36,-78.05486
P11032-3,71638_20-32-30-D3,50,0.4,1528.38,-82.03218
P11032-3,71638_20-32-30-D3,50,0.4,1528.4,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.42,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.44,-81.51565
P11032-3,71638_20-32-30-D3,50,0.4,1528.46,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.48,-79.31814
P11032-3,71638_20-32-30-D3,50,0.4,1528.5,-79.16139
P11032-3,71638_20-32-30-D3,50,0.4,1528.52,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.54,-80.85974
P11032-3,71638_20-32-30-D3,50,0.4,1528.56,-81.312970000000007
P11032-3,71638_20-32-30-D3,50,0.4,1528.58,-87.70574
P11032-3,71638_20-32-30-D3,50,0.4,1528.6,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.62,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.64,-78.78112
P11032-3,71638_20-32-30-D3,50,0.4,1528.66,-78.73219
P11032-3,71638_20-32-30-D3,50,0.4,1528.68,-78.82066
P11032-3,71638_20-32-30-D3,50,0.4,1528.7,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.72,-78.43148
P11032-3,71638_20-32-30-D3,50,0.4,1528.74,-86.99405
P11032-3,71638_20-32-30-D3,50,0.4,1528.76,-81.91316
P11032-3,71638_20-32-30-D3,50,0.4,1528.78,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.8,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.82,-80.55665
P11032-3,71638_20-32-30-D3,50,0.4,1528.84,-81.00344
P11032-3,71638_20-32-30-D3,50,0.4,1528.86,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.88,-78.93129
P11032-3,71638_20-32-30-D3,50,0.4,1528.9,-85.65591
P11032-3,71638_20-32-30-D3,50,0.4,1528.92,-120
P11032-3,71638_20-32-30-D3,50,0.4,1528.94,-85.84526
P11032-3,71638_20-32-30-D3,50,0.4,1528.96,-75.92439
P11032-3,71638_20-32-30-D3,50,0.4,1528.98,-78.69988
P11032-3,71638_20-32-30-D3,50,0.4,1529,-82.90391
P11032-3,71638_20-32-30-D3,50,0.4,1529.02,-84.66482
P11032-3,71638_20-32-30-D3,50,0.4,1529.04,-84.70955
P11032-3,71638_20-32-30-D3,50,0.4,1529.06,-120
P11032-3,71638_20-32-30-D3,50,0.4,1529.08,-80.53941
P11032-3,71638_20-32-30-D3,50,0.4,1529.1,-120
P11032-3,71638_20-32-30-D3,50,0.4,1529.12,-120
P11032-3,71638_20-32-30-D3,50,0.4,1529.14,-84.37826
P11032-3,71638_20-32-30-D3,50,0.4,1529.16,-82.61378
P11032-3,71638_20-32-30-D3,50,0.4,1529.18,-76.49364
