lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-32-45-G5,50,0.4,1527,-81.3638
P11032-3,71638_20-32-45-G5,50,0.4,1527.02,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.04,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.06,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.08,-82.99902
P11032-3,71638_20-32-45-G5,50,0.4,1527.1,-82.909
P11032-3,71638_20-32-45-G5,50,0.4,1527.12,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.14,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.16,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.18,-79.25915
P11032-3,71638_20-32-45-G5,50,0.4,1527.2,-80.93611
P11032-3,71638_20-32-45-G5,50,0.4,1527.22,-80.15788
P11032-3,71638_20-32-45-G5,50,0.4,1527.24,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.26,-77.37549
P11032-3,71638_20-32-45-G5,50,0.4,1527.28,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.3,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.32,-85.94142
P11032-3,71638_20-32-45-G5,50,0.4,1527.34,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.36,-78.06597
P11032-3,71638_20-32-45-G5,50,0.4,1527.38,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.4,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.42,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.44,-76.33951
P11032-3,71638_20-32-45-G5,50,0.4,1527.46,-78.38333
P11032-3,71638_20-32-45-G5,50,0.4,1527.48,-75.25056
P11032-3,71638_20-32-45-G5,50,0.4,1527.5,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.52,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.54,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.56,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.58,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.6,-80.20543
P11032-3,71638_20-32-45-G5,50,0.4,1527.62,-75.87036
P11032-3,71638_20-32-45-G5,50,0.4,1527.64,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.66,-78.10229
P11032-3,71638_20-32-45-G5,50,0.4,1527.68,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.7,-81.70182
P11032-3,71638_20-32-45-G5,50,0.4,1527.72,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.74,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.76,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.78,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.8,-80.24247
P11032-3,71638_20-32-45-G5,50,0.4,1527.82,-86.6736
P11032-3,71638_20-32-45-G5,50,0.4,1527.84,-84.55808
P11032-3,71638_20-32-45-G5,50,0.4,1527.86,-79.10448
P11032-3,71638_20-32-45-G5,50,0.4,1527.88,-74.23774
P11032-3,71638_20-32-45-G5,50,0.4,1527.9,-79.1151
P11032-3,71638_20-32-45-G5,50,0.4,1527.92,-84.38779
P11032-3,71638_20-32-45-G5,50,0.4,1527.94,-91.78486
P11032-3,71638_20-32-45-G5,50,0.4,1527.96,-120
P11032-3,71638_20-32-45-G5,50,0.4,1527.98,-120
P11032-3,71638_20-32-45-G5,50,0.4,1528,-86.23058
P11032-3,71638_20-32-45-G5,50,0.4,1528.02,-120
P11032-3,71638_20-32-45-G5,50,0.4,1528.04,-120
P11032-3,71638_20-32-45-G5,50,0.4,1528.06,-120
P11032-3,71638_20-32-45-G5,50,0.4,1528.08,-120
P11032-3,71638_20-32-45-G5,50,0.4,1528.1,-120
P11032-3,71638_20-32-45-G5,50,0.4,1528.12,-120
P11032-3,71638_20-32-45-G5,50,0.4,1528.14,-120
P11032-3,71638_20-32-45-G5,50,0.4,1528.16,-80.16735
P11032-3,71638_20-32-45-G5,50,0.4,1528.18,-120
P11032-3,71638_20-32-45-G5,50,0.4,1528.2,-78.96196
P11032-3,71638_20-32-45-G5,50,0.4,1528.22,-120
P11032-3,71638_20-32-45-G5,50,0.4,1528.24,-120
P11032-3,71638_20-32-45-G5,50,0.4,1528.26,-120
P11032-3,71638_20-32-45-G5,50,0.4,1528.28,-120
P11032-3,71638_20-32-45-G5,50,0.4,1528.3,-82.54457
P11032-3,71638_20-32-45-G5,50,0.4,1528.32,-120
