lotID,SN,tempC,If,wavelength,power
P11032-1,71638_20-33-57-C2,50,0.05,1527,-85.47141
P11032-1,71638_20-33-57-C2,50,0.05,1527.02,-120
P11032-1,71638_20-33-57-C2,50,0.05,1527.04,-120
P11032-1,71638_20-33-57-C2,50,0.05,1527.06,-82.62251
P11032-1,71638_20-33-57-C2,50,0.05,1527.08,-82.43288
P11032-1,71638_20-33-57-C2,50,0.05,1527.1,-80.93611
P11032-1,71638_20-33-57-C2,50,0.05,1527.12,-80.39482
P11032-1,71638_20-33-57-C2,50,0.05,1527.14,-120
P11032-1,71638_20-33-57-C2,50,0.05,1527.16,-84.30626
P11032-1,71638_20-33-57-C2,50,0.05,1527.18,-81.05075
P11032-1,71638_20-33-57-C2,50,0.05,1527.2,-78.8941
P11032-1,71638_20-33-57-C2,50,0.05,1527.22,-75.56424
P11032-1,71638_20-33-57-C2,50,0.05,1527.24,-82.27678
P11032-1,71638_20-33-57-C2,50,0.05,1527.26,-81.98802
P11032-1,71638_20-33-57-C2,50,0.05,1527.28,-120
P11032-1,71638_20-33-57-C2,50,0.05,1527.3,-80.17367
P11032-1,71638_20-33-57-C2,50,0.05,1527.32,-120
P11032-1,71638_20-33-57-C2,50,0.05,1527.34,-120
P11032-1,71638_20-33-57-C2,50,0.05,1527.36,-78.5855
P11032-1,71638_20-33-57-C2,50,0.05,1527.38,-120
P11032-1,71638_20-33-57-C2,50,0.05,1527.4,-120
P11032-1,71638_20-33-57-C2,50,0.05,1527.42,-87.52763
P11032-1,71638_20-33-57-C2,50,0.05,1527.44,-86.69789
P11032-1,71638_20-33-57-C2,50,0.05,1527.46,-120
P11032-1,71638_20-33-57-C2,50,0.05,1527.48,-82.41542
P11032-1,71638_20-33-57-C2,50,0.05,1527.5,-120
P11032-1,71638_20-33-57-C2,50,0.05,1527.52,-94.2934
P11032-1,71638_20-33-57-C2,50,0.05,1527.54,-120
P11032-1,71638_20-33-57-C2,50,0.05,1527.56,-78.58864
P11032-1,71638_20-33-57-C2,50,0.05,1527.58,-77.19877
P11032-1,71638_20-33-57-C2,50,0.05,1527.6,-85.98083
P11032-1,71638_20-33-57-C2,50,0.05,1527.62,-120
P11032-1,71638_20-33-57-C2,50,0.05,1527.64,-120
P11032-1,71638_20-33-57-C2,50,0.05,1527.66,-81.22111
P11032-1,71638_20-33-57-C2,50,0.05,1527.68,-120
P11032-1,71638_20-33-57-C2,50,0.05,1527.7,-79.25184
P11032-1,71638_20-33-57-C2,50,0.05,1527.72,-86.26904
P11032-1,71638_20-33-57-C2,50,0.05,1527.74,-84.133
P11032-1,71638_20-33-57-C2,50,0.05,1527.76,-89.13284
P11032-1,71638_20-33-57-C2,50,0.05,1527.78,-81.38466
P11032-1,71638_20-33-57-C2,50,0.05,1527.8,-120
P11032-1,71638_20-33-57-C2,50,0.05,1527.82,-120
P11032-1,71638_20-33-57-C2,50,0.05,1527.84,-120
P11032-1,71638_20-33-57-C2,50,0.05,1527.86,-79.77984
P11032-1,71638_20-33-57-C2,50,0.05,1527.88,-84.27942
P11032-1,71638_20-33-57-C2,50,0.05,1527.9,-120
P11032-1,71638_20-33-57-C2,50,0.05,1527.92,-79.10802
P11032-1,71638_20-33-57-C2,50,0.05,1527.94,-120
P11032-1,71638_20-33-57-C2,50,0.05,1527.96,-76.56198
P11032-1,71638_20-33-57-C2,50,0.05,1527.98,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528,-81.55896
P11032-1,71638_20-33-57-C2,50,0.05,1528.02,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.04,-78.22464
P11032-1,71638_20-33-57-C2,50,0.05,1528.06,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.08,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.1,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.12,-83.15693
P11032-1,71638_20-33-57-C2,50,0.05,1528.14,-74.96754
P11032-1,71638_20-33-57-C2,50,0.05,1528.16,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.18,-86.04499
P11032-1,71638_20-33-57-C2,50,0.05,1528.2,-78.02995
P11032-1,71638_20-33-57-C2,50,0.05,1528.22,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.24,-82.25483
P11032-1,71638_20-33-57-C2,50,0.05,1528.26,-82.73925
P11032-1,71638_20-33-57-C2,50,0.05,1528.28,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.3,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.32,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.34,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.36,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.38,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.4,-79.65773
P11032-1,71638_20-33-57-C2,50,0.05,1528.42,-80.90284
P11032-1,71638_20-33-57-C2,50,0.05,1528.44,-82.57196
P11032-1,71638_20-33-57-C2,50,0.05,1528.46,-85.98427
P11032-1,71638_20-33-57-C2,50,0.05,1528.48,-80.18272
P11032-1,71638_20-33-57-C2,50,0.05,1528.5,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.52,-79.00319
P11032-1,71638_20-33-57-C2,50,0.05,1528.54,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.56,-86.72437
P11032-1,71638_20-33-57-C2,50,0.05,1528.58,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.6,-74.75215
P11032-1,71638_20-33-57-C2,50,0.05,1528.62,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.64,-82.52588
P11032-1,71638_20-33-57-C2,50,0.05,1528.66,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.68,-80.82232
P11032-1,71638_20-33-57-C2,50,0.05,1528.7,-78.62963
P11032-1,71638_20-33-57-C2,50,0.05,1528.72,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.74,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.76,-96.12788
P11032-1,71638_20-33-57-C2,50,0.05,1528.78,-79.813
P11032-1,71638_20-33-57-C2,50,0.05,1528.8,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.82,-88.52324
P11032-1,71638_20-33-57-C2,50,0.05,1528.84,-86.18885
P11032-1,71638_20-33-57-C2,50,0.05,1528.86,-77.0952
P11032-1,71638_20-33-57-C2,50,0.05,1528.88,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.9,-81.38884
P11032-1,71638_20-33-57-C2,50,0.05,1528.92,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.94,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.96,-120
P11032-1,71638_20-33-57-C2,50,0.05,1528.98,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529,-90.3711
P11032-1,71638_20-33-57-C2,50,0.05,1529.02,-90.05331
P11032-1,71638_20-33-57-C2,50,0.05,1529.04,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.06,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.08,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.1,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.12,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.14,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.16,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.18,-85.22734
P11032-1,71638_20-33-57-C2,50,0.05,1529.2,-77.77284
P11032-1,71638_20-33-57-C2,50,0.05,1529.22,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.24,-82.37171
P11032-1,71638_20-33-57-C2,50,0.05,1529.26,-83.10159
P11032-1,71638_20-33-57-C2,50,0.05,1529.28,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.3,-79.38548
P11032-1,71638_20-33-57-C2,50,0.05,1529.32,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.34,-77.18285
P11032-1,71638_20-33-57-C2,50,0.05,1529.36,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.38,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.4,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.42,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.44,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.46,-77.63967
P11032-1,71638_20-33-57-C2,50,0.05,1529.48,-78.81074
P11032-1,71638_20-33-57-C2,50,0.05,1529.5,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.52,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.54,-79.75925
P11032-1,71638_20-33-57-C2,50,0.05,1529.56,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.58,-80.20543
P11032-1,71638_20-33-57-C2,50,0.05,1529.6,-84.50139
P11032-1,71638_20-33-57-C2,50,0.05,1529.62,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.64,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.66,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.68,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.7,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.72,-78.40132
P11032-1,71638_20-33-57-C2,50,0.05,1529.74,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.76,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.78,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.8,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.82,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.84,-120
P11032-1,71638_20-33-57-C2,50,0.05,1529.86,-85.36555
P11032-1,71638_20-33-57-C2,50,0.05,1529.88,-82.9388
P11032-1,71638_20-33-57-C2,50,0.05,1529.9,-77.58703
P11032-1,71638_20-33-57-C2,50,0.05,1529.92,-82.87014
P11032-1,71638_20-33-57-C2,50,0.05,1529.94,-84.11616
