lotID,SN,tempC,If,wavelength,power
P11032-1,71638_20-33-71-E7,50,0.2,1527,-120
P11032-1,71638_20-33-71-E7,50,0.2,1527.02,-120
P11032-1,71638_20-33-71-E7,50,0.2,1527.04,-120
P11032-1,71638_20-33-71-E7,50,0.2,1527.06,-86.35637
P11032-1,71638_20-33-71-E7,50,0.2,1527.08,-120
P11032-1,71638_20-33-71-E7,50,0.2,1527.1,-85.36555
P11032-1,71638_20-33-71-E7,50,0.2,1527.12,-87.09075
P11032-1,71638_20-33-71-E7,50,0.2,1527.14,-80.79407
P11032-1,71638_20-33-71-E7,50,0.2,1527.16,-78.26522
P11032-1,71638_20-33-71-E7,50,0.2,1527.18,-81.55461
P11032-1,71638_20-33-71-E7,50,0.2,1527.2,-84.64579
P11032-1,71638_20-33-71-E7,50,0.2,1527.22,-120
P11032-1,71638_20-33-71-E7,50,0.2,1527.24,-78.29152
P11032-1,71638_20-33-71-E7,50,0.2,1527.26,-120
P11032-1,71638_20-33-71-E7,50,0.2,1527.28,-120
P11032-1,71638_20-33-71-E7,50,0.2,1527.3,-85.84192
P11032-1,71638_20-33-71-E7,50,0.2,1527.32,-77.9915
P11032-1,71638_20-33-71-E7,50,0.2,1527.34,-78.41939
P11032-1,71638_20-33-71-E7,50,0.2,1527.36,-78.54493
P11032-1,71638_20-33-71-E7,50,0.2,1527.38,-120
P11032-1,71638_20-33-71-E7,50,0.2,1527.4,-120
P11032-1,71638_20-33-71-E7,50,0.2,1527.42,-84.33327
P11032-1,71638_20-33-71-E7,50,0.2,1527.44,-82.15811
P11032-1,71638_20-33-71-E7,50,0.2,1527.46,-92.35376
P11032-1,71638_20-33-71-E7,50,0.2,1527.48,-80.10061
P11032-1,71638_20-33-71-E7,50,0.2,1527.5,-120
P11032-1,71638_20-33-71-E7,50,0.2,1527.52,-87.47147
P11032-1,71638_20-33-71-E7,50,0.2,1527.54,-83.54578
P11032-1,71638_20-33-71-E7,50,0.2,1527.56,-78.76802
P11032-1,71638_20-33-71-E7,50,0.2,1527.58,-120
P11032-1,71638_20-33-71-E7,50,0.2,1527.6,-80.02395
P11032-1,71638_20-33-71-E7,50,0.2,1527.62,-120
P11032-1,71638_20-33-71-E7,50,0.2,1527.64,-120
P11032-1,71638_20-33-71-E7,50,0.2,1527.66,-78.24198
P11032-1,71638_20-33-71-E7,50,0.2,1527.68,-120
P11032-1,71638_20-33-71-E7,50,0.2,1527.7,-120
P11032-1,71638_20-33-71-E7,50,0.2,1527.72,-120
P11032-1,71638_20-33-71-E7,50,0.2,1527.74,-80.60431
P11032-1,71638_20-33-71-E7,50,0.2,1527.76,-81.79996
P11032-1,71638_20-33-71-E7,50,0.2,1527.78,-78.71601
P11032-1,71638_20-33-71-E7,50,0.2,1527.8,-120
P11032-1,71638_20-33-71-E7,50,0.2,1527.82,-80.5237
P11032-1,71638_20-33-71-E7,50,0.2,1527.84,-120
P11032-1,71638_20-33-71-E7,50,0.2,1527.86,-81.82369
