lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-41-23-M4,50,0.4,1527,-77.00711
P11032-3,71638_20-41-23-M4,50,0.4,1527.02,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.04,-83.90299
P11032-3,71638_20-41-23-M4,50,0.4,1527.06,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.08,-76.874
P11032-3,71638_20-41-23-M4,50,0.4,1527.1,-77.87014
P11032-3,71638_20-41-23-M4,50,0.4,1527.12,-77.34004
P11032-3,71638_20-41-23-M4,50,0.4,1527.14,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.16,-79.07982
P11032-3,71638_20-41-23-M4,50,0.4,1527.18,-88.10791
P11032-3,71638_20-41-23-M4,50,0.4,1527.2,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.22,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.24,-82.19251
P11032-3,71638_20-41-23-M4,50,0.4,1527.26,-75.27244
P11032-3,71638_20-41-23-M4,50,0.4,1527.28,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.3,-81.9321
P11032-3,71638_20-41-23-M4,50,0.4,1527.32,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.34,-85.88212
P11032-3,71638_20-41-23-M4,50,0.4,1527.36,-82.36273
P11032-3,71638_20-41-23-M4,50,0.4,1527.38,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.4,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.42,-76.00499
P11032-3,71638_20-41-23-M4,50,0.4,1527.44,-78.6774
P11032-3,71638_20-41-23-M4,50,0.4,1527.46,-90.36684
P11032-3,71638_20-41-23-M4,50,0.4,1527.48,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.5,-79.6417
P11032-3,71638_20-41-23-M4,50,0.4,1527.52,-76.82564
P11032-3,71638_20-41-23-M4,50,0.4,1527.54,-77.28623
P11032-3,71638_20-41-23-M4,50,0.4,1527.56,-85.52532
P11032-3,71638_20-41-23-M4,50,0.4,1527.58,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.6,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.62,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.64,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.66,-78.471
P11032-3,71638_20-41-23-M4,50,0.4,1527.68,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.7,-83.55758
P11032-3,71638_20-41-23-M4,50,0.4,1527.72,-86.76748
P11032-3,71638_20-41-23-M4,50,0.4,1527.74,-87.35891
P11032-3,71638_20-41-23-M4,50,0.4,1527.76,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.78,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.8,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.82,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.84,-81.44784
P11032-3,71638_20-41-23-M4,50,0.4,1527.86,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.88,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.9,-81.73213
P11032-3,71638_20-41-23-M4,50,0.4,1527.92,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.94,-120
P11032-3,71638_20-41-23-M4,50,0.4,1527.96,-85.01414
P11032-3,71638_20-41-23-M4,50,0.4,1527.98,-120
P11032-3,71638_20-41-23-M4,50,0.4,1528,-120
P11032-3,71638_20-41-23-M4,50,0.4,1528.02,-83.66633
P11032-3,71638_20-41-23-M4,50,0.4,1528.04,-120
