lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-42-34-J5,50,0.4,1527,-76.84449
P11032-3,71638_20-42-34-J5,50,0.4,1527.02,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.04,-103.3227
P11032-3,71638_20-42-34-J5,50,0.4,1527.06,-82.17527
P11032-3,71638_20-42-34-J5,50,0.4,1527.08,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.1,-88.97223
P11032-3,71638_20-42-34-J5,50,0.4,1527.12,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.14,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.16,-84.17255
P11032-3,71638_20-42-34-J5,50,0.4,1527.18,-80.11084
P11032-3,71638_20-42-34-J5,50,0.4,1527.2,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.22,-81.42005
P11032-3,71638_20-42-34-J5,50,0.4,1527.24,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.26,-75.56111
P11032-3,71638_20-42-34-J5,50,0.4,1527.28,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.3,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.32,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.34,-79.18653
P11032-3,71638_20-42-34-J5,50,0.4,1527.36,-84.43095
P11032-3,71638_20-42-34-J5,50,0.4,1527.38,-80.01828
P11032-3,71638_20-42-34-J5,50,0.4,1527.4,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.42,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.44,-82.18388
P11032-3,71638_20-42-34-J5,50,0.4,1527.46,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.48,-77.89147
P11032-3,71638_20-42-34-J5,50,0.4,1527.5,-77.77284
P11032-3,71638_20-42-34-J5,50,0.4,1527.52,-85.21145
P11032-3,71638_20-42-34-J5,50,0.4,1527.54,-80.59882
P11032-3,71638_20-42-34-J5,50,0.4,1527.56,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.58,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.6,-82.7254
P11032-3,71638_20-42-34-J5,50,0.4,1527.62,-83.06977
P11032-3,71638_20-42-34-J5,50,0.4,1527.64,-80.09572
P11032-3,71638_20-42-34-J5,50,0.4,1527.66,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.68,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.7,-77.72113
P11032-3,71638_20-42-34-J5,50,0.4,1527.72,-78.30914
P11032-3,71638_20-42-34-J5,50,0.4,1527.74,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.76,-83.33482
P11032-3,71638_20-42-34-J5,50,0.4,1527.78,-85.12862
P11032-3,71638_20-42-34-J5,50,0.4,1527.8,-78.60121
P11032-3,71638_20-42-34-J5,50,0.4,1527.82,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.84,-82.29369
P11032-3,71638_20-42-34-J5,50,0.4,1527.86,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.88,-77.55475
P11032-3,71638_20-42-34-J5,50,0.4,1527.9,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.92,-84.44543
P11032-3,71638_20-42-34-J5,50,0.4,1527.94,-120
P11032-3,71638_20-42-34-J5,50,0.4,1527.96,-81.44057
P11032-3,71638_20-42-34-J5,50,0.4,1527.98,-84.27942
P11032-3,71638_20-42-34-J5,50,0.4,1528,-83.42562
P11032-3,71638_20-42-34-J5,50,0.4,1528.02,-120
P11032-3,71638_20-42-34-J5,50,0.4,1528.04,-84.29691
P11032-3,71638_20-42-34-J5,50,0.4,1528.06,-84.24235
P11032-3,71638_20-42-34-J5,50,0.4,1528.08,-120
P11032-3,71638_20-42-34-J5,50,0.4,1528.1,-77.07744
P11032-3,71638_20-42-34-J5,50,0.4,1528.12,-120
P11032-3,71638_20-42-34-J5,50,0.4,1528.14,-81.63866
P11032-3,71638_20-42-34-J5,50,0.4,1528.16,-77.78586
P11032-3,71638_20-42-34-J5,50,0.4,1528.18,-77.64219
P11032-3,71638_20-42-34-J5,50,0.4,1528.2,-120
P11032-3,71638_20-42-34-J5,50,0.4,1528.22,-84.22968
P11032-3,71638_20-42-34-J5,50,0.4,1528.24,-120
P11032-3,71638_20-42-34-J5,50,0.4,1528.26,-79.48847
P11032-3,71638_20-42-34-J5,50,0.4,1528.28,-79.64971
P11032-3,71638_20-42-34-J5,50,0.4,1528.3,-85.35212
P11032-3,71638_20-42-34-J5,50,0.4,1528.32,-120
P11032-3,71638_20-42-34-J5,50,0.4,1528.34,-93.1158
P11032-3,71638_20-42-34-J5,50,0.4,1528.36,-120
P11032-3,71638_20-42-34-J5,50,0.4,1528.38,-120
P11032-3,71638_20-42-34-J5,50,0.4,1528.4,-88.34459
P11032-3,71638_20-42-34-J5,50,0.4,1528.42,-120
P11032-3,71638_20-42-34-J5,50,0.4,1528.44,-79.0763
P11032-3,71638_20-42-34-J5,50,0.4,1528.46,-81.15885
P11032-3,71638_20-42-34-J5,50,0.4,1528.48,-83.84681
P11032-3,71638_20-42-34-J5,50,0.4,1528.5,-120
P11032-3,71638_20-42-34-J5,50,0.4,1528.52,-120
P11032-3,71638_20-42-34-J5,50,0.4,1528.54,-80.56852
P11032-3,71638_20-42-34-J5,50,0.4,1528.56,-97.88879
P11032-3,71638_20-42-34-J5,50,0.4,1528.58,-120
P11032-3,71638_20-42-34-J5,50,0.4,1528.6,-79.36291
P11032-3,71638_20-42-34-J5,50,0.4,1528.62,-97.88879
P11032-3,71638_20-42-34-J5,50,0.4,1528.64,-120
P11032-3,71638_20-42-34-J5,50,0.4,1528.66,-80.48808
P11032-3,71638_20-42-34-J5,50,0.4,1528.68,-78.13044
P11032-3,71638_20-42-34-J5,50,0.4,1528.7,-82.46417
P11032-3,71638_20-42-34-J5,50,0.4,1528.72,-88.63279
P11032-3,71638_20-42-34-J5,50,0.4,1528.74,-85.23168
P11032-3,71638_20-42-34-J5,50,0.4,1528.76,-77.49092
P11032-3,71638_20-42-34-J5,50,0.4,1528.78,-80.71451
