lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-43-59-K0,50,0.05,1527,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.02,-81.16736
P11032-3,71638_20-43-59-K0,50,0.05,1527.04,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.06,-78.53562
P11032-3,71638_20-43-59-K0,50,0.05,1527.08,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.1,-84.36045
P11032-3,71638_20-43-59-K0,50,0.05,1527.12,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.14,-85.84192
P11032-3,71638_20-43-59-K0,50,0.05,1527.16,-78.12761
P11032-3,71638_20-43-59-K0,50,0.05,1527.18,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.2,-89.3442
P11032-3,71638_20-43-59-K0,50,0.05,1527.22,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.24,-77.6523
P11032-3,71638_20-43-59-K0,50,0.05,1527.26,-82.88952
P11032-3,71638_20-43-59-K0,50,0.05,1527.28,-81.5839
P11032-3,71638_20-43-59-K0,50,0.05,1527.3,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.32,-77.94796
P11032-3,71638_20-43-59-K0,50,0.05,1527.34,-80.26918
P11032-3,71638_20-43-59-K0,50,0.05,1527.36,-87.85421
P11032-3,71638_20-43-59-K0,50,0.05,1527.38,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.4,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.42,-77.98057
P11032-3,71638_20-43-59-K0,50,0.05,1527.44,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.46,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.48,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.5,-80.41675
P11032-3,71638_20-43-59-K0,50,0.05,1527.52,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.54,-81.4618
P11032-3,71638_20-43-59-K0,50,0.05,1527.56,-78.65823
P11032-3,71638_20-43-59-K0,50,0.05,1527.58,-78.87395
P11032-3,71638_20-43-59-K0,50,0.05,1527.6,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.62,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.64,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.66,-83.30125
P11032-3,71638_20-43-59-K0,50,0.05,1527.68,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.7,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.72,-76.39596
P11032-3,71638_20-43-59-K0,50,0.05,1527.74,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.76,-91.14808
P11032-3,71638_20-43-59-K0,50,0.05,1527.78,-76.56198
P11032-3,71638_20-43-59-K0,50,0.05,1527.8,-77.92635
P11032-3,71638_20-43-59-K0,50,0.05,1527.82,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.84,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.86,-75.72839
P11032-3,71638_20-43-59-K0,50,0.05,1527.88,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.9,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.92,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.94,-120
P11032-3,71638_20-43-59-K0,50,0.05,1527.96,-80.45034
P11032-3,71638_20-43-59-K0,50,0.05,1527.98,-80.83704
P11032-3,71638_20-43-59-K0,50,0.05,1528,-120
P11032-3,71638_20-43-59-K0,50,0.05,1528.02,-86.60747
P11032-3,71638_20-43-59-K0,50,0.05,1528.04,-86.27272
P11032-3,71638_20-43-59-K0,50,0.05,1528.06,-120
P11032-3,71638_20-43-59-K0,50,0.05,1528.08,-81.01604
P11032-3,71638_20-43-59-K0,50,0.05,1528.1,-94.7237
P11032-3,71638_20-43-59-K0,50,0.05,1528.12,-120
P11032-3,71638_20-43-59-K0,50,0.05,1528.14,-78.90759
P11032-3,71638_20-43-59-K0,50,0.05,1528.16,-93.54971
P11032-3,71638_20-43-59-K0,50,0.05,1528.18,-120
P11032-3,71638_20-43-59-K0,50,0.05,1528.2,-82.94307
P11032-3,71638_20-43-59-K0,50,0.05,1528.22,-88.93809
P11032-3,71638_20-43-59-K0,50,0.05,1528.24,-79.51947
P11032-3,71638_20-43-59-K0,50,0.05,1528.26,-120
P11032-3,71638_20-43-59-K0,50,0.05,1528.28,-120
P11032-3,71638_20-43-59-K0,50,0.05,1528.3,-91.28602
P11032-3,71638_20-43-59-K0,50,0.05,1528.32,-78.55115
P11032-3,71638_20-43-59-K0,50,0.05,1528.34,-83.58526
P11032-3,71638_20-43-59-K0,50,0.05,1528.36,-85.88549
P11032-3,71638_20-43-59-K0,50,0.05,1528.38,-80.89642
P11032-3,71638_20-43-59-K0,50,0.05,1528.4,-77.87546
P11032-3,71638_20-43-59-K0,50,0.05,1528.42,-120
P11032-3,71638_20-43-59-K0,50,0.05,1528.44,-78.40132
P11032-3,71638_20-43-59-K0,50,0.05,1528.46,-82.50805
P11032-3,71638_20-43-59-K0,50,0.05,1528.48,-120
P11032-3,71638_20-43-59-K0,50,0.05,1528.5,-79.17215
P11032-3,71638_20-43-59-K0,50,0.05,1528.52,-81.13904
P11032-3,71638_20-43-59-K0,50,0.05,1528.54,-120
P11032-3,71638_20-43-59-K0,50,0.05,1528.56,-79.8464
P11032-3,71638_20-43-59-K0,50,0.05,1528.58,-120
P11032-3,71638_20-43-59-K0,50,0.05,1528.6,-120
P11032-3,71638_20-43-59-K0,50,0.05,1528.62,-120
P11032-3,71638_20-43-59-K0,50,0.05,1528.64,-78.17015
P11032-3,71638_20-43-59-K0,50,0.05,1528.66,-120
P11032-3,71638_20-43-59-K0,50,0.05,1528.68,-93.78512
P11032-3,71638_20-43-59-K0,50,0.05,1528.7,-81.90508
P11032-3,71638_20-43-59-K0,50,0.05,1528.72,-85.318
P11032-3,71638_20-43-59-K0,50,0.05,1528.74,-87.38975
P11032-3,71638_20-43-59-K0,50,0.05,1528.76,-120
P11032-3,71638_20-43-59-K0,50,0.05,1528.78,-83.19846
P11032-3,71638_20-43-59-K0,50,0.05,1528.8,-80.57992
P11032-3,71638_20-43-59-K0,50,0.05,1528.82,-120
P11032-3,71638_20-43-59-K0,50,0.05,1528.84,-102.3575
P11032-3,71638_20-43-59-K0,50,0.05,1528.86,-80.29514
P11032-3,71638_20-43-59-K0,50,0.05,1528.88,-83.77268
P11032-3,71638_20-43-59-K0,50,0.05,1528.9,-81.73601
P11032-3,71638_20-43-59-K0,50,0.05,1528.92,-120
P11032-3,71638_20-43-59-K0,50,0.05,1528.94,-120
P11032-3,71638_20-43-59-K0,50,0.05,1528.96,-120
P11032-3,71638_20-43-59-K0,50,0.05,1528.98,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529.02,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529.04,-83.22028
P11032-3,71638_20-43-59-K0,50,0.05,1529.06,-79.62574
P11032-3,71638_20-43-59-K0,50,0.05,1529.08,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529.1,-79.20457
P11032-3,71638_20-43-59-K0,50,0.05,1529.12,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529.14,-77.30254
P11032-3,71638_20-43-59-K0,50,0.05,1529.16,-79.41195
P11032-3,71638_20-43-59-K0,50,0.05,1529.18,-74.18847
P11032-3,71638_20-43-59-K0,50,0.05,1529.2,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529.22,-76.85922
P11032-3,71638_20-43-59-K0,50,0.05,1529.24,-81.44784
P11032-3,71638_20-43-59-K0,50,0.05,1529.26,-81.77701
P11032-3,71638_20-43-59-K0,50,0.05,1529.28,-78.01343
P11032-3,71638_20-43-59-K0,50,0.05,1529.3,-83.04956
P11032-3,71638_20-43-59-K0,50,0.05,1529.32,-79.8632
P11032-3,71638_20-43-59-K0,50,0.05,1529.34,-83.12204
P11032-3,71638_20-43-59-K0,50,0.05,1529.36,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529.38,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529.4,-85.84192
P11032-3,71638_20-43-59-K0,50,0.05,1529.42,-74.92684
P11032-3,71638_20-43-59-K0,50,0.05,1529.44,-75.24184
P11032-3,71638_20-43-59-K0,50,0.05,1529.46,-86.0206
P11032-3,71638_20-43-59-K0,50,0.05,1529.48,-77.70062
P11032-3,71638_20-43-59-K0,50,0.05,1529.5,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529.52,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529.54,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529.56,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529.58,-80.5237
P11032-3,71638_20-43-59-K0,50,0.05,1529.6,-79.50394
P11032-3,71638_20-43-59-K0,50,0.05,1529.62,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529.64,-83.18397
P11032-3,71638_20-43-59-K0,50,0.05,1529.66,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529.68,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529.7,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529.72,-82.8408
P11032-3,71638_20-43-59-K0,50,0.05,1529.74,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529.76,-84.06714
P11032-3,71638_20-43-59-K0,50,0.05,1529.78,-82.7638
P11032-3,71638_20-43-59-K0,50,0.05,1529.8,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529.82,-78.78112
P11032-3,71638_20-43-59-K0,50,0.05,1529.84,-79.54677
P11032-3,71638_20-43-59-K0,50,0.05,1529.86,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529.88,-120
P11032-3,71638_20-43-59-K0,50,0.05,1529.9,-83.9794
P11032-3,71638_20-43-59-K0,50,0.05,1529.92,-120
