lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-43-70-L6,50,0.4,1527,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.02,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.04,-75.16841
P11032-3,71638_20-43-70-L6,50,0.4,1527.06,-84.38779
P11032-3,71638_20-43-70-L6,50,0.4,1527.08,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.1,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.12,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.14,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.16,-97.58454
P11032-3,71638_20-43-70-L6,50,0.4,1527.18,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.2,-81.64183
P11032-3,71638_20-43-70-L6,50,0.4,1527.22,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.24,-82.1254
P11032-3,71638_20-43-70-L6,50,0.4,1527.26,-79.65773
P11032-3,71638_20-43-70-L6,50,0.4,1527.28,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.3,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.32,-81.42005
P11032-3,71638_20-43-70-L6,50,0.4,1527.34,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.36,-84.85718
P11032-3,71638_20-43-70-L6,50,0.4,1527.38,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.4,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.42,-82.97914
P11032-3,71638_20-43-70-L6,50,0.4,1527.44,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.46,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.48,-75.39854
P11032-3,71638_20-43-70-L6,50,0.4,1527.5,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.52,-84.45874
P11032-3,71638_20-43-70-L6,50,0.4,1527.54,-87.61452
P11032-3,71638_20-43-70-L6,50,0.4,1527.56,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.58,-80.54088
P11032-3,71638_20-43-70-L6,50,0.4,1527.6,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.62,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.64,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.66,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.68,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.7,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.72,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.74,-85.21145
P11032-3,71638_20-43-70-L6,50,0.4,1527.76,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.78,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.8,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.82,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.84,-98.93469
P11032-3,71638_20-43-70-L6,50,0.4,1527.86,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.88,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.9,-94.15895
P11032-3,71638_20-43-70-L6,50,0.4,1527.92,-97.30487
P11032-3,71638_20-43-70-L6,50,0.4,1527.94,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.96,-120
P11032-3,71638_20-43-70-L6,50,0.4,1527.98,-81.91654
P11032-3,71638_20-43-70-L6,50,0.4,1528,-79.14353
P11032-3,71638_20-43-70-L6,50,0.4,1528.02,-78.48324
P11032-3,71638_20-43-70-L6,50,0.4,1528.04,-120
P11032-3,71638_20-43-70-L6,50,0.4,1528.06,-78.99629
P11032-3,71638_20-43-70-L6,50,0.4,1528.08,-120
P11032-3,71638_20-43-70-L6,50,0.4,1528.1,-120
