lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-43-78-H9,50,0.2,1527,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.02,-84.08045
P11032-3,71638_20-43-78-H9,50,0.2,1527.04,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.06,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.08,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.1,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.12,-84.51488
P11032-3,71638_20-43-78-H9,50,0.2,1527.14,-83.80489
P11032-3,71638_20-43-78-H9,50,0.2,1527.16,-80.68644
P11032-3,71638_20-43-78-H9,50,0.2,1527.18,-81.52612
P11032-3,71638_20-43-78-H9,50,0.2,1527.2,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.22,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.24,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.26,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.28,-83.13185
P11032-3,71638_20-43-78-H9,50,0.2,1527.3,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.32,-79.85479
P11032-3,71638_20-43-78-H9,50,0.2,1527.34,-85.74629
P11032-3,71638_20-43-78-H9,50,0.2,1527.36,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.38,-75.61299
P11032-3,71638_20-43-78-H9,50,0.2,1527.4,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.42,-91.01824
P11032-3,71638_20-43-78-H9,50,0.2,1527.44,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.46,-80.56407
P11032-3,71638_20-43-78-H9,50,0.2,1527.48,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.5,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.52,-98.93469
P11032-3,71638_20-43-78-H9,50,0.2,1527.54,-76.59953
P11032-3,71638_20-43-78-H9,50,0.2,1527.56,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.58,-80.55221
P11032-3,71638_20-43-78-H9,50,0.2,1527.6,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.62,-77.92366
P11032-3,71638_20-43-78-H9,50,0.2,1527.64,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.66,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.68,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.7,-80.85551
P11032-3,71638_20-43-78-H9,50,0.2,1527.72,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.74,-80.83125
P11032-3,71638_20-43-78-H9,50,0.2,1527.76,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.78,-83.12204
P11032-3,71638_20-43-78-H9,50,0.2,1527.8,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.82,-88.66461
P11032-3,71638_20-43-78-H9,50,0.2,1527.84,-82.55864
P11032-3,71638_20-43-78-H9,50,0.2,1527.86,-85.11308
P11032-3,71638_20-43-78-H9,50,0.2,1527.88,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.9,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.92,-77.72113
P11032-3,71638_20-43-78-H9,50,0.2,1527.94,-120
P11032-3,71638_20-43-78-H9,50,0.2,1527.96,-83.65019
P11032-3,71638_20-43-78-H9,50,0.2,1527.98,-79.56638
P11032-3,71638_20-43-78-H9,50,0.2,1528,-81.13284
P11032-3,71638_20-43-78-H9,50,0.2,1528.02,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.04,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.06,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.08,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.1,-81.97568
P11032-3,71638_20-43-78-H9,50,0.2,1528.12,-82.28119
P11032-3,71638_20-43-78-H9,50,0.2,1528.14,-84.80041
P11032-3,71638_20-43-78-H9,50,0.2,1528.16,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.18,-79.08685
P11032-3,71638_20-43-78-H9,50,0.2,1528.2,-85.18271
P11032-3,71638_20-43-78-H9,50,0.2,1528.22,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.24,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.26,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.28,-79.55852
P11032-3,71638_20-43-78-H9,50,0.2,1528.3,-86.96804
P11032-3,71638_20-43-78-H9,50,0.2,1528.32,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.34,-87.44727
P11032-3,71638_20-43-78-H9,50,0.2,1528.36,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.38,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.4,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.42,-77.48362
P11032-3,71638_20-43-78-H9,50,0.2,1528.44,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.46,-85.90574
P11032-3,71638_20-43-78-H9,50,0.2,1528.48,-84.7237
P11032-3,71638_20-43-78-H9,50,0.2,1528.5,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.52,-82.50805
P11032-3,71638_20-43-78-H9,50,0.2,1528.54,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.56,-79.00319
P11032-3,71638_20-43-78-H9,50,0.2,1528.58,-84.64959
P11032-3,71638_20-43-78-H9,50,0.2,1528.6,-84.51979
P11032-3,71638_20-43-78-H9,50,0.2,1528.62,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.64,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.66,-79.25915
P11032-3,71638_20-43-78-H9,50,0.2,1528.68,-79.24453
P11032-3,71638_20-43-78-H9,50,0.2,1528.7,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.72,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.74,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.76,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.78,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.8,-81.54468
P11032-3,71638_20-43-78-H9,50,0.2,1528.82,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.84,-86.08536
P11032-3,71638_20-43-78-H9,50,0.2,1528.86,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.88,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.9,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.92,-80.75617
P11032-3,71638_20-43-78-H9,50,0.2,1528.94,-120
P11032-3,71638_20-43-78-H9,50,0.2,1528.96,-84.11056
P11032-3,71638_20-43-78-H9,50,0.2,1528.98,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529,-76.22512
P11032-3,71638_20-43-78-H9,50,0.2,1529.02,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.04,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.06,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.08,-80.15158
P11032-3,71638_20-43-78-H9,50,0.2,1529.1,-77.15118
P11032-3,71638_20-43-78-H9,50,0.2,1529.12,-85.58305
P11032-3,71638_20-43-78-H9,50,0.2,1529.14,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.16,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.18,-81.78486
P11032-3,71638_20-43-78-H9,50,0.2,1529.2,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.22,-79.24453
P11032-3,71638_20-43-78-H9,50,0.2,1529.24,-80.98052
P11032-3,71638_20-43-78-H9,50,0.2,1529.26,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.28,-82.54925
P11032-3,71638_20-43-78-H9,50,0.2,1529.3,-78.44057
P11032-3,71638_20-43-78-H9,50,0.2,1529.32,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.34,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.36,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.38,-76.49558
P11032-3,71638_20-43-78-H9,50,0.2,1529.4,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.42,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.44,-77.77024
P11032-3,71638_20-43-78-H9,50,0.2,1529.46,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.48,-81.90844
P11032-3,71638_20-43-78-H9,50,0.2,1529.5,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.52,-78.21887
P11032-3,71638_20-43-78-H9,50,0.2,1529.54,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.56,-79.54677
P11032-3,71638_20-43-78-H9,50,0.2,1529.58,-83.27995
P11032-3,71638_20-43-78-H9,50,0.2,1529.6,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.62,-75.63996
P11032-3,71638_20-43-78-H9,50,0.2,1529.64,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.66,-83.45631
P11032-3,71638_20-43-78-H9,50,0.2,1529.68,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.7,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.72,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.74,-77.14668
P11032-3,71638_20-43-78-H9,50,0.2,1529.76,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.78,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.8,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.82,-84.85718
P11032-3,71638_20-43-78-H9,50,0.2,1529.84,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.86,-79.94391
P11032-3,71638_20-43-78-H9,50,0.2,1529.88,-81.83096
P11032-3,71638_20-43-78-H9,50,0.2,1529.9,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.92,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.94,-78.33866
P11032-3,71638_20-43-78-H9,50,0.2,1529.96,-120
P11032-3,71638_20-43-78-H9,50,0.2,1529.98,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.02,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.04,-77.4958
P11032-3,71638_20-43-78-H9,50,0.2,1530.06,-83.11758
P11032-3,71638_20-43-78-H9,50,0.2,1530.08,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.1,-84.22049
P11032-3,71638_20-43-78-H9,50,0.2,1530.12,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.14,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.16,-91.70503
P11032-3,71638_20-43-78-H9,50,0.2,1530.18,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.2,-80.85128
P11032-3,71638_20-43-78-H9,50,0.2,1530.22,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.24,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.26,-82.27238
P11032-3,71638_20-43-78-H9,50,0.2,1530.28,-85.81865
P11032-3,71638_20-43-78-H9,50,0.2,1530.3,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.32,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.34,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.36,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.38,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.4,-87.93714
P11032-3,71638_20-43-78-H9,50,0.2,1530.42,-79.95679
P11032-3,71638_20-43-78-H9,50,0.2,1530.44,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.46,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.48,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.5,-83.48141
P11032-3,71638_20-43-78-H9,50,0.2,1530.52,-77.27462
P11032-3,71638_20-43-78-H9,50,0.2,1530.54,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.56,-79.2336
P11032-3,71638_20-43-78-H9,50,0.2,1530.58,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.6,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.62,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.64,-85.63996
P11032-3,71638_20-43-78-H9,50,0.2,1530.66,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.68,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.7,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.72,-77.56466
P11032-3,71638_20-43-78-H9,50,0.2,1530.74,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.76,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.78,-80.65653
P11032-3,71638_20-43-78-H9,50,0.2,1530.8,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.82,-80.69204
P11032-3,71638_20-43-78-H9,50,0.2,1530.84,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.86,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.88,-84.65847
P11032-3,71638_20-43-78-H9,50,0.2,1530.9,-84.37231
P11032-3,71638_20-43-78-H9,50,0.2,1530.92,-92.7951
P11032-3,71638_20-43-78-H9,50,0.2,1530.94,-120
P11032-3,71638_20-43-78-H9,50,0.2,1530.96,-82.24317
P11032-3,71638_20-43-78-H9,50,0.2,1530.98,-81.55274
P11032-3,71638_20-43-78-H9,50,0.2,1531,-78.4863
P11032-3,71638_20-43-78-H9,50,0.2,1531.02,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.04,-78.82066
P11032-3,71638_20-43-78-H9,50,0.2,1531.06,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.08,-88.29152
P11032-3,71638_20-43-78-H9,50,0.2,1531.1,-81.77178
P11032-3,71638_20-43-78-H9,50,0.2,1531.12,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.14,-76.14215
P11032-3,71638_20-43-78-H9,50,0.2,1531.16,-77.04433
P11032-3,71638_20-43-78-H9,50,0.2,1531.18,-77.53501
P11032-3,71638_20-43-78-H9,50,0.2,1531.2,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.22,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.24,-80.99141
P11032-3,71638_20-43-78-H9,50,0.2,1531.26,-79.08333
P11032-3,71638_20-43-78-H9,50,0.2,1531.28,-84.53704
P11032-3,71638_20-43-78-H9,50,0.2,1531.3,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.32,-76.89732
P11032-3,71638_20-43-78-H9,50,0.2,1531.34,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.36,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.38,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.4,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.42,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.44,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.46,-79.73467
P11032-3,71638_20-43-78-H9,50,0.2,1531.48,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.5,-83.67239
P11032-3,71638_20-43-78-H9,50,0.2,1531.52,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.54,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.56,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.58,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.6,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.62,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.64,-83.28272
P11032-3,71638_20-43-78-H9,50,0.2,1531.66,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.68,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.7,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.72,-82.70592
P11032-3,71638_20-43-78-H9,50,0.2,1531.74,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.76,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.78,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.8,-83.30125
P11032-3,71638_20-43-78-H9,50,0.2,1531.82,-82.03495
P11032-3,71638_20-43-78-H9,50,0.2,1531.84,-83.88277
P11032-3,71638_20-43-78-H9,50,0.2,1531.86,-80.0935
P11032-3,71638_20-43-78-H9,50,0.2,1531.88,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.9,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.92,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.94,-120
P11032-3,71638_20-43-78-H9,50,0.2,1531.96,-79.98266
P11032-3,71638_20-43-78-H9,50,0.2,1531.98,-120
P11032-3,71638_20-43-78-H9,50,0.2,1532,-82.38222
P11032-3,71638_20-43-78-H9,50,0.2,1532.02,-120
P11032-3,71638_20-43-78-H9,50,0.2,1532.04,-120
P11032-3,71638_20-43-78-H9,50,0.2,1532.06,-82.1049
P11032-3,71638_20-43-78-H9,50,0.2,1532.08,-120
P11032-3,71638_20-43-78-H9,50,0.2,1532.1,-120
P11032-3,71638_20-43-78-H9,50,0.2,1532.12,-120
P11032-3,71638_20-43-78-H9,50,0.2,1532.14,-76.31527
P11032-3,71638_20-43-78-H9,50,0.2,1532.16,-78.84722
P11032-3,71638_20-43-78-H9,50,0.2,1532.18,-120
P11032-3,71638_20-43-78-H9,50,0.2,1532.2,-86.92718
