lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-53-56-S9,50,0.4,1527,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.02,-80.33999
P11032-3,71638_20-53-56-S9,50,0.4,1527.04,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.06,-94.15895
P11032-3,71638_20-53-56-S9,50,0.4,1527.08,-79.02743
P11032-3,71638_20-53-56-S9,50,0.4,1527.1,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.12,-87.27694
P11032-3,71638_20-53-56-S9,50,0.4,1527.14,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.16,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.18,-78.35053
P11032-3,71638_20-53-56-S9,50,0.4,1527.2,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.22,-85.19418
P11032-3,71638_20-53-56-S9,50,0.4,1527.24,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.26,-80.42249
P11032-3,71638_20-53-56-S9,50,0.4,1527.28,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.3,-79.09037
P11032-3,71638_20-53-56-S9,50,0.4,1527.32,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.34,-86.6736
P11032-3,71638_20-53-56-S9,50,0.4,1527.36,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.38,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.4,-77.67512
P11032-3,71638_20-53-56-S9,50,0.4,1527.42,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.44,-87.41363
P11032-3,71638_20-53-56-S9,50,0.4,1527.46,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.48,-77.56466
P11032-3,71638_20-53-56-S9,50,0.4,1527.5,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.52,-87.24919
P11032-3,71638_20-53-56-S9,50,0.4,1527.54,-83.59221
P11032-3,71638_20-53-56-S9,50,0.4,1527.56,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.58,-75.78232
P11032-3,71638_20-53-56-S9,50,0.4,1527.6,-86.0206
P11032-3,71638_20-53-56-S9,50,0.4,1527.62,-88.44664
P11032-3,71638_20-53-56-S9,50,0.4,1527.64,-78.18156
P11032-3,71638_20-53-56-S9,50,0.4,1527.66,-77.04213
P11032-3,71638_20-53-56-S9,50,0.4,1527.68,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.7,-75.70409
P11032-3,71638_20-53-56-S9,50,0.4,1527.72,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.74,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.76,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.78,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.8,-88.173
P11032-3,71638_20-53-56-S9,50,0.4,1527.82,-76.70399
P11032-3,71638_20-53-56-S9,50,0.4,1527.84,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.86,-82.36273
P11032-3,71638_20-53-56-S9,50,0.4,1527.88,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.9,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.92,-79.08685
P11032-3,71638_20-53-56-S9,50,0.4,1527.94,-120
P11032-3,71638_20-53-56-S9,50,0.4,1527.96,-81.27494
P11032-3,71638_20-53-56-S9,50,0.4,1527.98,-78.92451
P11032-3,71638_20-53-56-S9,50,0.4,1528,-120
P11032-3,71638_20-53-56-S9,50,0.4,1528.02,-120
P11032-3,71638_20-53-56-S9,50,0.4,1528.04,-120
P11032-3,71638_20-53-56-S9,50,0.4,1528.06,-120
P11032-3,71638_20-53-56-S9,50,0.4,1528.08,-120
P11032-3,71638_20-53-56-S9,50,0.4,1528.1,-120
P11032-3,71638_20-53-56-S9,50,0.4,1528.12,-120
P11032-3,71638_20-53-56-S9,50,0.4,1528.14,-84.33798
P11032-3,71638_20-53-56-S9,50,0.4,1528.16,-80.03313
P11032-3,71638_20-53-56-S9,50,0.4,1528.18,-120
P11032-3,71638_20-53-56-S9,50,0.4,1528.2,-76.2672
P11032-3,71638_20-53-56-S9,50,0.4,1528.22,-80.13587
P11032-3,71638_20-53-56-S9,50,0.4,1528.24,-86.33764
P11032-3,71638_20-53-56-S9,50,0.4,1528.26,-83.22028
P11032-3,71638_20-53-56-S9,50,0.4,1528.28,-78.77129
P11032-3,71638_20-53-56-S9,50,0.4,1528.3,-77.03335
P11032-3,71638_20-53-56-S9,50,0.4,1528.32,-76.27456
P11032-3,71638_20-53-56-S9,50,0.4,1528.34,-120
P11032-3,71638_20-53-56-S9,50,0.4,1528.36,-79.34794
P11032-3,71638_20-53-56-S9,50,0.4,1528.38,-85.56424
P11032-3,71638_20-53-56-S9,50,0.4,1528.4,-80.98433
P11032-3,71638_20-53-56-S9,50,0.4,1528.42,-87.33533
P11032-3,71638_20-53-56-S9,50,0.4,1528.44,-120
P11032-3,71638_20-53-56-S9,50,0.4,1528.46,-120
P11032-3,71638_20-53-56-S9,50,0.4,1528.48,-89.85479
P11032-3,71638_20-53-56-S9,50,0.4,1528.5,-120
P11032-3,71638_20-53-56-S9,50,0.4,1528.52,-78.14175
P11032-3,71638_20-53-56-S9,50,0.4,1528.54,-85.7889
P11032-3,71638_20-53-56-S9,50,0.4,1528.56,-120
P11032-3,71638_20-53-56-S9,50,0.4,1528.58,-78.89747
P11032-3,71638_20-53-56-S9,50,0.4,1528.6,-82.3151
P11032-3,71638_20-53-56-S9,50,0.4,1528.62,-75.3432
P11032-3,71638_20-53-56-S9,50,0.4,1528.64,-81.34778
P11032-3,71638_20-53-56-S9,50,0.4,1528.66,-79.20096
P11032-3,71638_20-53-56-S9,50,0.4,1528.68,-79.85479
P11032-3,71638_20-53-56-S9,50,0.4,1528.7,-81.897
P11032-3,71638_20-53-56-S9,50,0.4,1528.72,-120
P11032-3,71638_20-53-56-S9,50,0.4,1528.74,-120
P11032-3,71638_20-53-56-S9,50,0.4,1528.76,-120
P11032-3,71638_20-53-56-S9,50,0.4,1528.78,-80.05331
P11032-3,71638_20-53-56-S9,50,0.4,1528.8,-83.66633
P11032-3,71638_20-53-56-S9,50,0.4,1528.82,-81.25924
P11032-3,71638_20-53-56-S9,50,0.4,1528.84,-120
P11032-3,71638_20-53-56-S9,50,0.4,1528.86,-82.03218
P11032-3,71638_20-53-56-S9,50,0.4,1528.88,-85.14989
P11032-3,71638_20-53-56-S9,50,0.4,1528.9,-78.19014
P11032-3,71638_20-53-56-S9,50,0.4,1528.92,-88.70632
P11032-3,71638_20-53-56-S9,50,0.4,1528.94,-77.32828
P11032-3,71638_20-53-56-S9,50,0.4,1528.96,-120
P11032-3,71638_20-53-56-S9,50,0.4,1528.98,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.02,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.04,-94.16348
P11032-3,71638_20-53-56-S9,50,0.4,1529.06,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.08,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.1,-76.91649
P11032-3,71638_20-53-56-S9,50,0.4,1529.12,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.14,-81.8809
P11032-3,71638_20-53-56-S9,50,0.4,1529.16,-86.06074
P11032-3,71638_20-53-56-S9,50,0.4,1529.18,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.2,-85.34766
P11032-3,71638_20-53-56-S9,50,0.4,1529.22,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.24,-76.46468
P11032-3,71638_20-53-56-S9,50,0.4,1529.26,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.28,-81.79208
P11032-3,71638_20-53-56-S9,50,0.4,1529.3,-79.26282
P11032-3,71638_20-53-56-S9,50,0.4,1529.32,-77.50313
P11032-3,71638_20-53-56-S9,50,0.4,1529.34,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.36,-87.38499
P11032-3,71638_20-53-56-S9,50,0.4,1529.38,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.4,-79.68188
P11032-3,71638_20-53-56-S9,50,0.4,1529.42,-80.95501
P11032-3,71638_20-53-56-S9,50,0.4,1529.44,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.46,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.48,-82.78272
P11032-3,71638_20-53-56-S9,50,0.4,1529.5,-80.32873
P11032-3,71638_20-53-56-S9,50,0.4,1529.52,-75.29002
P11032-3,71638_20-53-56-S9,50,0.4,1529.54,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.56,-82.43288
P11032-3,71638_20-53-56-S9,50,0.4,1529.58,-84.0927
P11032-3,71638_20-53-56-S9,50,0.4,1529.6,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.62,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.64,-79.93106
P11032-3,71638_20-53-56-S9,50,0.4,1529.66,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.68,-77.05975
P11032-3,71638_20-53-56-S9,50,0.4,1529.7,-80.68034
P11032-3,71638_20-53-56-S9,50,0.4,1529.72,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.74,-84.55808
P11032-3,71638_20-53-56-S9,50,0.4,1529.76,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.78,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.8,-82.26799
P11032-3,71638_20-53-56-S9,50,0.4,1529.82,-79.55852
P11032-3,71638_20-53-56-S9,50,0.4,1529.84,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.86,-83.13185
P11032-3,71638_20-53-56-S9,50,0.4,1529.88,-77.90753
P11032-3,71638_20-53-56-S9,50,0.4,1529.9,-85.90067
P11032-3,71638_20-53-56-S9,50,0.4,1529.92,-86.76748
P11032-3,71638_20-53-56-S9,50,0.4,1529.94,-120
P11032-3,71638_20-53-56-S9,50,0.4,1529.96,-91.55771
P11032-3,71638_20-53-56-S9,50,0.4,1529.98,-76.61743
P11032-3,71638_20-53-56-S9,50,0.4,1530,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.02,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.04,-87.06196
P11032-3,71638_20-53-56-S9,50,0.4,1530.06,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.08,-90.58886
P11032-3,71638_20-53-56-S9,50,0.4,1530.1,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.12,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.14,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.16,-78.75496
P11032-3,71638_20-53-56-S9,50,0.4,1530.18,-80.29188
P11032-3,71638_20-53-56-S9,50,0.4,1530.2,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.22,-79.15424
P11032-3,71638_20-53-56-S9,50,0.4,1530.24,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.26,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.28,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.3,-80.31377
P11032-3,71638_20-53-56-S9,50,0.4,1530.32,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.34,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.36,-78.93809
P11032-3,71638_20-53-56-S9,50,0.4,1530.38,-104.5643
P11032-3,71638_20-53-56-S9,50,0.4,1530.4,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.42,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.44,-77.2723
P11032-3,71638_20-53-56-S9,50,0.4,1530.46,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.48,-77.30954
P11032-3,71638_20-53-56-S9,50,0.4,1530.5,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.52,-81.21248
P11032-3,71638_20-53-56-S9,50,0.4,1530.54,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.56,-77.80154
P11032-3,71638_20-53-56-S9,50,0.4,1530.58,-75.95337
P11032-3,71638_20-53-56-S9,50,0.4,1530.6,-81.08741
P11032-3,71638_20-53-56-S9,50,0.4,1530.62,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.64,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.66,-78.46185
P11032-3,71638_20-53-56-S9,50,0.4,1530.68,-85.43938
P11032-3,71638_20-53-56-S9,50,0.4,1530.7,-77.89147
P11032-3,71638_20-53-56-S9,50,0.4,1530.72,-80.83704
P11032-3,71638_20-53-56-S9,50,0.4,1530.74,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.76,-83.9794
P11032-3,71638_20-53-56-S9,50,0.4,1530.78,-78.88401
P11032-3,71638_20-53-56-S9,50,0.4,1530.8,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.82,-84.16008
P11032-3,71638_20-53-56-S9,50,0.4,1530.84,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.86,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.88,-77.13319
P11032-3,71638_20-53-56-S9,50,0.4,1530.9,-90.18907
P11032-3,71638_20-53-56-S9,50,0.4,1530.92,-120
P11032-3,71638_20-53-56-S9,50,0.4,1530.94,-82.69945
P11032-3,71638_20-53-56-S9,50,0.4,1530.96,-80.60531
P11032-3,71638_20-53-56-S9,50,0.4,1530.98,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531.02,-81.56767
P11032-3,71638_20-53-56-S9,50,0.4,1531.04,-79.80884
P11032-3,71638_20-53-56-S9,50,0.4,1531.06,-81.70761
P11032-3,71638_20-53-56-S9,50,0.4,1531.08,-79.4962
P11032-3,71638_20-53-56-S9,50,0.4,1531.1,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531.12,-78.53562
P11032-3,71638_20-53-56-S9,50,0.4,1531.14,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531.16,-77.54241
P11032-3,71638_20-53-56-S9,50,0.4,1531.18,-83.88277
P11032-3,71638_20-53-56-S9,50,0.4,1531.2,-83.48044
P11032-3,71638_20-53-56-S9,50,0.4,1531.22,-78.8773
P11032-3,71638_20-53-56-S9,50,0.4,1531.24,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531.26,-84.24581
P11032-3,71638_20-53-56-S9,50,0.4,1531.28,-83.98375
P11032-3,71638_20-53-56-S9,50,0.4,1531.3,-85.31062
P11032-3,71638_20-53-56-S9,50,0.4,1531.32,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531.34,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531.36,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531.38,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531.4,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531.42,-82.09222
P11032-3,71638_20-53-56-S9,50,0.4,1531.44,-77.37075
P11032-3,71638_20-53-56-S9,50,0.4,1531.46,-77.26767
P11032-3,71638_20-53-56-S9,50,0.4,1531.48,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531.5,-77.89147
P11032-3,71638_20-53-56-S9,50,0.4,1531.52,-78.38632
P11032-3,71638_20-53-56-S9,50,0.4,1531.54,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531.56,-82.20476
P11032-3,71638_20-53-56-S9,50,0.4,1531.58,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531.6,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531.62,-82.71565
P11032-3,71638_20-53-56-S9,50,0.4,1531.64,-78.60751
P11032-3,71638_20-53-56-S9,50,0.4,1531.66,-79.80468
P11032-3,71638_20-53-56-S9,50,0.4,1531.68,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531.7,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531.72,-81.77832
P11032-3,71638_20-53-56-S9,50,0.4,1531.74,-78.16445
P11032-3,71638_20-53-56-S9,50,0.4,1531.76,-79.2336
P11032-3,71638_20-53-56-S9,50,0.4,1531.78,-87.41363
P11032-3,71638_20-53-56-S9,50,0.4,1531.8,-79.41954
P11032-3,71638_20-53-56-S9,50,0.4,1531.82,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531.84,-83.68861
P11032-3,71638_20-53-56-S9,50,0.4,1531.86,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531.88,-78.83392
P11032-3,71638_20-53-56-S9,50,0.4,1531.9,-79.64971
P11032-3,71638_20-53-56-S9,50,0.4,1531.92,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531.94,-120
P11032-3,71638_20-53-56-S9,50,0.4,1531.96,-82.04398
P11032-3,71638_20-53-56-S9,50,0.4,1531.98,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532,-75.87371
P11032-3,71638_20-53-56-S9,50,0.4,1532.02,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.04,-81.46059
P11032-3,71638_20-53-56-S9,50,0.4,1532.06,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.08,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.1,-85.61458
P11032-3,71638_20-53-56-S9,50,0.4,1532.12,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.14,-87.57707
P11032-3,71638_20-53-56-S9,50,0.4,1532.16,-79.64971
P11032-3,71638_20-53-56-S9,50,0.4,1532.18,-85.00863
P11032-3,71638_20-53-56-S9,50,0.4,1532.2,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.22,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.24,-80.41341
P11032-3,71638_20-53-56-S9,50,0.4,1532.26,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.28,-81.88291
P11032-3,71638_20-53-56-S9,50,0.4,1532.3,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.32,-78.8706
P11032-3,71638_20-53-56-S9,50,0.4,1532.34,-84.44543
P11032-3,71638_20-53-56-S9,50,0.4,1532.36,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.38,-81.10026
P11032-3,71638_20-53-56-S9,50,0.4,1532.4,-78.76148
P11032-3,71638_20-53-56-S9,50,0.4,1532.42,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.44,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.46,-79.82967
P11032-3,71638_20-53-56-S9,50,0.4,1532.48,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.5,-79.83803
P11032-3,71638_20-53-56-S9,50,0.4,1532.52,-87.45694
P11032-3,71638_20-53-56-S9,50,0.4,1532.54,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.56,-81.00946
P11032-3,71638_20-53-56-S9,50,0.4,1532.58,-79.47691
P11032-3,71638_20-53-56-S9,50,0.4,1532.6,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.62,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.64,-94.98941
P11032-3,71638_20-53-56-S9,50,0.4,1532.66,-81.04136
P11032-3,71638_20-53-56-S9,50,0.4,1532.68,-78.53562
P11032-3,71638_20-53-56-S9,50,0.4,1532.7,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.72,-76.12254
P11032-3,71638_20-53-56-S9,50,0.4,1532.74,-83.84576
P11032-3,71638_20-53-56-S9,50,0.4,1532.76,-77.6904
P11032-3,71638_20-53-56-S9,50,0.4,1532.78,-84.27477
P11032-3,71638_20-53-56-S9,50,0.4,1532.8,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.82,-75.67833
P11032-3,71638_20-53-56-S9,50,0.4,1532.84,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.86,-89.90549
P11032-3,71638_20-53-56-S9,50,0.4,1532.88,-79.24088
P11032-3,71638_20-53-56-S9,50,0.4,1532.9,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.92,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.94,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.96,-120
P11032-3,71638_20-53-56-S9,50,0.4,1532.98,-76.94434
P11032-3,71638_20-53-56-S9,50,0.4,1533,-79.09742
P11032-3,71638_20-53-56-S9,50,0.4,1533.02,-82.6576
P11032-3,71638_20-53-56-S9,50,0.4,1533.04,-78.76148
P11032-3,71638_20-53-56-S9,50,0.4,1533.06,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.08,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.1,-83.63612
P11032-3,71638_20-53-56-S9,50,0.4,1533.12,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.14,-80.54335
P11032-3,71638_20-53-56-S9,50,0.4,1533.16,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.18,-85.62249
P11032-3,71638_20-53-56-S9,50,0.4,1533.2,-81.91384
P11032-3,71638_20-53-56-S9,50,0.4,1533.22,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.24,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.26,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.28,-76.21966
P11032-3,71638_20-53-56-S9,50,0.4,1533.3,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.32,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.34,-82.26579
P11032-3,71638_20-53-56-S9,50,0.4,1533.36,-75.40457
P11032-3,71638_20-53-56-S9,50,0.4,1533.38,-88.18728
P11032-3,71638_20-53-56-S9,50,0.4,1533.4,-85.92609
P11032-3,71638_20-53-56-S9,50,0.4,1533.42,-78.84057
P11032-3,71638_20-53-56-S9,50,0.4,1533.44,-79.32557
P11032-3,71638_20-53-56-S9,50,0.4,1533.46,-79.29962
P11032-3,71638_20-53-56-S9,50,0.4,1533.48,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.5,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.52,-75.51912
P11032-3,71638_20-53-56-S9,50,0.4,1533.54,-85.43482
P11032-3,71638_20-53-56-S9,50,0.4,1533.56,-78.18442
P11032-3,71638_20-53-56-S9,50,0.4,1533.58,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.6,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.62,-84.44785
P11032-3,71638_20-53-56-S9,50,0.4,1533.64,-78.74844
P11032-3,71638_20-53-56-S9,50,0.4,1533.66,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.68,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.7,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.72,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.74,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.76,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.78,-80.7007
P11032-3,71638_20-53-56-S9,50,0.4,1533.8,-77.89147
P11032-3,71638_20-53-56-S9,50,0.4,1533.82,-79.17574
P11032-3,71638_20-53-56-S9,50,0.4,1533.84,-120
P11032-3,71638_20-53-56-S9,50,0.4,1533.86,-76.94004
P11032-3,71638_20-53-56-S9,50,0.4,1533.88,-75.21722
