lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-53-64-R4,50,0.4,1527,-120
P11032-3,71638_20-53-64-R4,50,0.4,1527.02,-77.89949
P11032-3,71638_20-53-64-R4,50,0.4,1527.04,-79.62972
P11032-3,71638_20-53-64-R4,50,0.4,1527.06,-120
P11032-3,71638_20-53-64-R4,50,0.4,1527.08,-78.36839
P11032-3,71638_20-53-64-R4,50,0.4,1527.1,-120
P11032-3,71638_20-53-64-R4,50,0.4,1527.12,-120
P11032-3,71638_20-53-64-R4,50,0.4,1527.14,-82.92941
P11032-3,71638_20-53-64-R4,50,0.4,1527.16,-81.84622
P11032-3,71638_20-53-64-R4,50,0.4,1527.18,-120
P11032-3,71638_20-53-64-R4,50,0.4,1527.2,-120
P11032-3,71638_20-53-64-R4,50,0.4,1527.22,-120
P11032-3,71638_20-53-64-R4,50,0.4,1527.24,-81.48375
P11032-3,71638_20-53-64-R4,50,0.4,1527.26,-77.74174
P11032-3,71638_20-53-64-R4,50,0.4,1527.28,-81.18787
P11032-3,71638_20-53-64-R4,50,0.4,1527.3,-120
P11032-3,71638_20-53-64-R4,50,0.4,1527.32,-120
P11032-3,71638_20-53-64-R4,50,0.4,1527.34,-120
P11032-3,71638_20-53-64-R4,50,0.4,1527.36,-75.53308
P11032-3,71638_20-53-64-R4,50,0.4,1527.38,-76.86977
P11032-3,71638_20-53-64-R4,50,0.4,1527.4,-78.84057
P11032-3,71638_20-53-64-R4,50,0.4,1527.42,-79.12219
P11032-3,71638_20-53-64-R4,50,0.4,1527.44,-120
P11032-3,71638_20-53-64-R4,50,0.4,1527.46,-84.85718
P11032-3,71638_20-53-64-R4,50,0.4,1527.48,-77.6045
P11032-3,71638_20-53-64-R4,50,0.4,1527.5,-82.66963
P11032-3,71638_20-53-64-R4,50,0.4,1527.52,-82.0845
P11032-3,71638_20-53-64-R4,50,0.4,1527.54,-89.01356
P11032-3,71638_20-53-64-R4,50,0.4,1527.56,-120
P11032-3,71638_20-53-64-R4,50,0.4,1527.58,-120
P11032-3,71638_20-53-64-R4,50,0.4,1527.6,-120
