lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-53-65-N4,50,0.2,1527,-76.72845
P11032-3,71638_20-53-65-N4,50,0.2,1527.02,-80.27473
P11032-3,71638_20-53-65-N4,50,0.2,1527.04,-80.03401
P11032-3,71638_20-53-65-N4,50,0.2,1527.06,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.08,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.1,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.12,-89.57031
P11032-3,71638_20-53-65-N4,50,0.2,1527.14,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.16,-86.39975
P11032-3,71638_20-53-65-N4,50,0.2,1527.18,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.2,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.22,-78.83392
P11032-3,71638_20-53-65-N4,50,0.2,1527.24,-85.17841
P11032-3,71638_20-53-65-N4,50,0.2,1527.26,-88.97223
P11032-3,71638_20-53-65-N4,50,0.2,1527.28,-77.19649
P11032-3,71638_20-53-65-N4,50,0.2,1527.3,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.32,-94.02963
P11032-3,71638_20-53-65-N4,50,0.2,1527.34,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.36,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.38,-77.29554
P11032-3,71638_20-53-65-N4,50,0.2,1527.4,-76.69181
P11032-3,71638_20-53-65-N4,50,0.2,1527.42,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.44,-87.88346
P11032-3,71638_20-53-65-N4,50,0.2,1527.46,-84.15895
P11032-3,71638_20-53-65-N4,50,0.2,1527.48,-78.25649
P11032-3,71638_20-53-65-N4,50,0.2,1527.5,-93.54578
P11032-3,71638_20-53-65-N4,50,0.2,1527.52,-79.13284
P11032-3,71638_20-53-65-N4,50,0.2,1527.54,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.56,-76.48011
P11032-3,71638_20-53-65-N4,50,0.2,1527.58,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.6,-90.47837
P11032-3,71638_20-53-65-N4,50,0.2,1527.62,-79.03438
P11032-3,71638_20-53-65-N4,50,0.2,1527.64,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.66,-80.94852
P11032-3,71638_20-53-65-N4,50,0.2,1527.68,-80.68644
P11032-3,71638_20-53-65-N4,50,0.2,1527.7,-83.6271
P11032-3,71638_20-53-65-N4,50,0.2,1527.72,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.74,-81.03805
P11032-3,71638_20-53-65-N4,50,0.2,1527.76,-86.08007
P11032-3,71638_20-53-65-N4,50,0.2,1527.78,-83.37809
P11032-3,71638_20-53-65-N4,50,0.2,1527.8,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.82,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.84,-81.70182
P11032-3,71638_20-53-65-N4,50,0.2,1527.86,-85.98083
P11032-3,71638_20-53-65-N4,50,0.2,1527.88,-84.06714
P11032-3,71638_20-53-65-N4,50,0.2,1527.9,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.92,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.94,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.96,-120
P11032-3,71638_20-53-65-N4,50,0.2,1527.98,-79.06578
P11032-3,71638_20-53-65-N4,50,0.2,1528,-85.7889
P11032-3,71638_20-53-65-N4,50,0.2,1528.02,-83.28364
P11032-3,71638_20-53-65-N4,50,0.2,1528.04,-80.69051
P11032-3,71638_20-53-65-N4,50,0.2,1528.06,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.08,-91.28602
P11032-3,71638_20-53-65-N4,50,0.2,1528.1,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.12,-80.34939
P11032-3,71638_20-53-65-N4,50,0.2,1528.14,-81.51565
P11032-3,71638_20-53-65-N4,50,0.2,1528.16,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.18,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.2,-82.06419
P11032-3,71638_20-53-65-N4,50,0.2,1528.22,-80.01261
P11032-3,71638_20-53-65-N4,50,0.2,1528.24,-100.3166
P11032-3,71638_20-53-65-N4,50,0.2,1528.26,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.28,-79.19013
P11032-3,71638_20-53-65-N4,50,0.2,1528.3,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.32,-76.16005
P11032-3,71638_20-53-65-N4,50,0.2,1528.34,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.36,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.38,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.4,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.42,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.44,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.46,-80.06873
P11032-3,71638_20-53-65-N4,50,0.2,1528.48,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.5,-83.44765
P11032-3,71638_20-53-65-N4,50,0.2,1528.52,-81.07405
P11032-3,71638_20-53-65-N4,50,0.2,1528.54,-83.66633
P11032-3,71638_20-53-65-N4,50,0.2,1528.56,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.58,-78.34756
P11032-3,71638_20-53-65-N4,50,0.2,1528.6,-79.38171
P11032-3,71638_20-53-65-N4,50,0.2,1528.62,-78.94831
P11032-3,71638_20-53-65-N4,50,0.2,1528.64,-81.19873
P11032-3,71638_20-53-65-N4,50,0.2,1528.66,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.68,-79.33301
P11032-3,71638_20-53-65-N4,50,0.2,1528.7,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.72,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.74,-82.1049
P11032-3,71638_20-53-65-N4,50,0.2,1528.76,-78.47712
P11032-3,71638_20-53-65-N4,50,0.2,1528.78,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.8,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.82,-80.4489
P11032-3,71638_20-53-65-N4,50,0.2,1528.84,-77.73142
P11032-3,71638_20-53-65-N4,50,0.2,1528.86,-82.38448
P11032-3,71638_20-53-65-N4,50,0.2,1528.88,-91.94431
P11032-3,71638_20-53-65-N4,50,0.2,1528.9,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.92,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.94,-81.73601
P11032-3,71638_20-53-65-N4,50,0.2,1528.96,-120
P11032-3,71638_20-53-65-N4,50,0.2,1528.98,-79.52725
P11032-3,71638_20-53-65-N4,50,0.2,1529,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.02,-79.44622
P11032-3,71638_20-53-65-N4,50,0.2,1529.04,-79.32557
P11032-3,71638_20-53-65-N4,50,0.2,1529.06,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.08,-83.48238
P11032-3,71638_20-53-65-N4,50,0.2,1529.1,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.12,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.14,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.16,-86.42256
P11032-3,71638_20-53-65-N4,50,0.2,1529.18,-81.5839
P11032-3,71638_20-53-65-N4,50,0.2,1529.2,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.22,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.24,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.26,-78.8941
P11032-3,71638_20-53-65-N4,50,0.2,1529.28,-94.87182
P11032-3,71638_20-53-65-N4,50,0.2,1529.3,-77.53994
P11032-3,71638_20-53-65-N4,50,0.2,1529.32,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.34,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.36,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.38,-86.3339
P11032-3,71638_20-53-65-N4,50,0.2,1529.4,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.42,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.44,-76.45315
P11032-3,71638_20-53-65-N4,50,0.2,1529.46,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.48,-83.24772
P11032-3,71638_20-53-65-N4,50,0.2,1529.5,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.52,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.54,-78.69023
P11032-3,71638_20-53-65-N4,50,0.2,1529.56,-92.62251
P11032-3,71638_20-53-65-N4,50,0.2,1529.58,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.6,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.62,-80.81865
P11032-3,71638_20-53-65-N4,50,0.2,1529.64,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.66,-77.84362
P11032-3,71638_20-53-65-N4,50,0.2,1529.68,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.7,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.72,-79.18293
P11032-3,71638_20-53-65-N4,50,0.2,1529.74,-81.42668
P11032-3,71638_20-53-65-N4,50,0.2,1529.76,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.78,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.8,-77.32125
P11032-3,71638_20-53-65-N4,50,0.2,1529.82,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.84,-84.66101
P11032-3,71638_20-53-65-N4,50,0.2,1529.86,-79.07982
P11032-3,71638_20-53-65-N4,50,0.2,1529.88,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.9,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.92,-83.4785
P11032-3,71638_20-53-65-N4,50,0.2,1529.94,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.96,-120
P11032-3,71638_20-53-65-N4,50,0.2,1529.98,-77.73916
P11032-3,71638_20-53-65-N4,50,0.2,1530,-120
P11032-3,71638_20-53-65-N4,50,0.2,1530.02,-78.61697
P11032-3,71638_20-53-65-N4,50,0.2,1530.04,-89.56638
P11032-3,71638_20-53-65-N4,50,0.2,1530.06,-79.80468
P11032-3,71638_20-53-65-N4,50,0.2,1530.08,-120
P11032-3,71638_20-53-65-N4,50,0.2,1530.1,-86.64542
P11032-3,71638_20-53-65-N4,50,0.2,1530.12,-120
P11032-3,71638_20-53-65-N4,50,0.2,1530.14,-120
P11032-3,71638_20-53-65-N4,50,0.2,1530.16,-79.30702
P11032-3,71638_20-53-65-N4,50,0.2,1530.18,-79.71429
P11032-3,71638_20-53-65-N4,50,0.2,1530.2,-120
P11032-3,71638_20-53-65-N4,50,0.2,1530.22,-120
P11032-3,71638_20-53-65-N4,50,0.2,1530.24,-80.0652
P11032-3,71638_20-53-65-N4,50,0.2,1530.26,-120
P11032-3,71638_20-53-65-N4,50,0.2,1530.28,-80.40148
P11032-3,71638_20-53-65-N4,50,0.2,1530.3,-82.05582
P11032-3,71638_20-53-65-N4,50,0.2,1530.32,-81.18387
P11032-3,71638_20-53-65-N4,50,0.2,1530.34,-120
P11032-3,71638_20-53-65-N4,50,0.2,1530.36,-80.04014
P11032-3,71638_20-53-65-N4,50,0.2,1530.38,-86.34887
P11032-3,71638_20-53-65-N4,50,0.2,1530.4,-120
P11032-3,71638_20-53-65-N4,50,0.2,1530.42,-120
P11032-3,71638_20-53-65-N4,50,0.2,1530.44,-120
P11032-3,71638_20-53-65-N4,50,0.2,1530.46,-87.13768
