lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-53-69-P1,50,0.05,1527,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.02,-84.52964
P11032-3,71638_20-53-69-P1,50,0.05,1527.04,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.06,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.08,-92.53132
P11032-3,71638_20-53-69-P1,50,0.05,1527.1,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.12,-77.37075
P11032-3,71638_20-53-69-P1,50,0.05,1527.14,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.16,-82.45958
P11032-3,71638_20-53-69-P1,50,0.05,1527.18,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.2,-83.33482
P11032-3,71638_20-53-69-P1,50,0.05,1527.22,-90.65098
P11032-3,71638_20-53-69-P1,50,0.05,1527.24,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.26,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.28,-81.38466
P11032-3,71638_20-53-69-P1,50,0.05,1527.3,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.32,-81.06349
P11032-3,71638_20-53-69-P1,50,0.05,1527.34,-84.10609
P11032-3,71638_20-53-69-P1,50,0.05,1527.36,-85.04594
P11032-3,71638_20-53-69-P1,50,0.05,1527.38,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.4,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.42,-92.909
P11032-3,71638_20-53-69-P1,50,0.05,1527.44,-90.04935
P11032-3,71638_20-53-69-P1,50,0.05,1527.46,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.48,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.5,-78.29152
P11032-3,71638_20-53-69-P1,50,0.05,1527.52,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.54,-80.42249
P11032-3,71638_20-53-69-P1,50,0.05,1527.56,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.58,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.6,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.62,-81.05075
P11032-3,71638_20-53-69-P1,50,0.05,1527.64,-82.79262
P11032-3,71638_20-53-69-P1,50,0.05,1527.66,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.68,-78.8306
P11032-3,71638_20-53-69-P1,50,0.05,1527.7,-82.43288
P11032-3,71638_20-53-69-P1,50,0.05,1527.72,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.74,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.76,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.78,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.8,-77.72628
P11032-3,71638_20-53-69-P1,50,0.05,1527.82,-78.20161
P11032-3,71638_20-53-69-P1,50,0.05,1527.84,-91.0824
P11032-3,71638_20-53-69-P1,50,0.05,1527.86,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.88,-77.57956
P11032-3,71638_20-53-69-P1,50,0.05,1527.9,-82.66001
P11032-3,71638_20-53-69-P1,50,0.05,1527.92,-120
P11032-3,71638_20-53-69-P1,50,0.05,1527.94,-85.96022
P11032-3,71638_20-53-69-P1,50,0.05,1527.96,-85.65112
P11032-3,71638_20-53-69-P1,50,0.05,1527.98,-85.48828
P11032-3,71638_20-53-69-P1,50,0.05,1528,-84.70955
P11032-3,71638_20-53-69-P1,50,0.05,1528.02,-85.08218
P11032-3,71638_20-53-69-P1,50,0.05,1528.04,-120
P11032-3,71638_20-53-69-P1,50,0.05,1528.06,-78.01343
P11032-3,71638_20-53-69-P1,50,0.05,1528.08,-77.01584
P11032-3,71638_20-53-69-P1,50,0.05,1528.1,-120
P11032-3,71638_20-53-69-P1,50,0.05,1528.12,-79.86741
P11032-3,71638_20-53-69-P1,50,0.05,1528.14,-120
P11032-3,71638_20-53-69-P1,50,0.05,1528.16,-86.60747
P11032-3,71638_20-53-69-P1,50,0.05,1528.18,-83.00336
P11032-3,71638_20-53-69-P1,50,0.05,1528.2,-120
P11032-3,71638_20-53-69-P1,50,0.05,1528.22,-75.23893
P11032-3,71638_20-53-69-P1,50,0.05,1528.24,-80.7443
P11032-3,71638_20-53-69-P1,50,0.05,1528.26,-80.64392
P11032-3,71638_20-53-69-P1,50,0.05,1528.28,-120
P11032-3,71638_20-53-69-P1,50,0.05,1528.3,-77.1287
P11032-3,71638_20-53-69-P1,50,0.05,1528.32,-80.06873
P11032-3,71638_20-53-69-P1,50,0.05,1528.34,-89.43858
P11032-3,71638_20-53-69-P1,50,0.05,1528.36,-120
P11032-3,71638_20-53-69-P1,50,0.05,1528.38,-120
P11032-3,71638_20-53-69-P1,50,0.05,1528.4,-78.19014
P11032-3,71638_20-53-69-P1,50,0.05,1528.42,-120
