lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-53-76-Q5,50,0.4,1527,-84.88785
P11032-3,71638_20-53-76-Q5,50,0.4,1527.02,-75.68315
P11032-3,71638_20-53-76-Q5,50,0.4,1527.04,-81.22744
P11032-3,71638_20-53-76-Q5,50,0.4,1527.06,-80.00348
P11032-3,71638_20-53-76-Q5,50,0.4,1527.08,-77.91827
P11032-3,71638_20-53-76-Q5,50,0.4,1527.1,-84.15895
P11032-3,71638_20-53-76-Q5,50,0.4,1527.12,-120
P11032-3,71638_20-53-76-Q5,50,0.4,1527.14,-75.48367
P11032-3,71638_20-53-76-Q5,50,0.4,1527.16,-78.21599
P11032-3,71638_20-53-76-Q5,50,0.4,1527.18,-80.32358
P11032-3,71638_20-53-76-Q5,50,0.4,1527.2,-76.31899
P11032-3,71638_20-53-76-Q5,50,0.4,1527.22,-79.12574
P11032-3,71638_20-53-76-Q5,50,0.4,1527.24,-88.77784
P11032-3,71638_20-53-76-Q5,50,0.4,1527.26,-86.69789
P11032-3,71638_20-53-76-Q5,50,0.4,1527.28,-83.24772
P11032-3,71638_20-53-76-Q5,50,0.4,1527.3,-75.37902
P11032-3,71638_20-53-76-Q5,50,0.4,1527.32,-80.83704
P11032-3,71638_20-53-76-Q5,50,0.4,1527.34,-82.79262
P11032-3,71638_20-53-76-Q5,50,0.4,1527.36,-76.26169
P11032-3,71638_20-53-76-Q5,50,0.4,1527.38,-79.35917
P11032-3,71638_20-53-76-Q5,50,0.4,1527.4,-85.80375
P11032-3,71638_20-53-76-Q5,50,0.4,1527.42,-85.92099
P11032-3,71638_20-53-76-Q5,50,0.4,1527.44,-78.0827
P11032-3,71638_20-53-76-Q5,50,0.4,1527.46,-120
P11032-3,71638_20-53-76-Q5,50,0.4,1527.48,-80.27473
P11032-3,71638_20-53-76-Q5,50,0.4,1527.5,-78.63597
P11032-3,71638_20-53-76-Q5,50,0.4,1527.52,-78.76148
P11032-3,71638_20-53-76-Q5,50,0.4,1527.54,-79.813
P11032-3,71638_20-53-76-Q5,50,0.4,1527.56,-120
P11032-3,71638_20-53-76-Q5,50,0.4,1527.58,-120
P11032-3,71638_20-53-76-Q5,50,0.4,1527.6,-84.32033
P11032-3,71638_20-53-76-Q5,50,0.4,1527.62,-76.16544
P11032-3,71638_20-53-76-Q5,50,0.4,1527.64,-79.03438
P11032-3,71638_20-53-76-Q5,50,0.4,1527.66,-77.64219
P11032-3,71638_20-53-76-Q5,50,0.4,1527.68,-79.23724
P11032-3,71638_20-53-76-Q5,50,0.4,1527.7,-81.14808
P11032-3,71638_20-53-76-Q5,50,0.4,1527.72,-120
P11032-3,71638_20-53-76-Q5,50,0.4,1527.74,-77.67258
