lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-62-45-U0,50,0.2,1527,-77.44486
P11032-3,71638_20-62-45-U0,50,0.2,1527.02,-120
P11032-3,71638_20-62-45-U0,50,0.2,1527.04,-78.26814
P11032-3,71638_20-62-45-U0,50,0.2,1527.06,-120
P11032-3,71638_20-62-45-U0,50,0.2,1527.08,-120
P11032-3,71638_20-62-45-U0,50,0.2,1527.1,-80.14214
P11032-3,71638_20-62-45-U0,50,0.2,1527.12,-80.19997
P11032-3,71638_20-62-45-U0,50,0.2,1527.14,-85.68958
P11032-3,71638_20-62-45-U0,50,0.2,1527.16,-80.81865
P11032-3,71638_20-62-45-U0,50,0.2,1527.18,-120
P11032-3,71638_20-62-45-U0,50,0.2,1527.2,-120
P11032-3,71638_20-62-45-U0,50,0.2,1527.22,-120
P11032-3,71638_20-62-45-U0,50,0.2,1527.24,-81.31532
P11032-3,71638_20-62-45-U0,50,0.2,1527.26,-79.70211
P11032-3,71638_20-62-45-U0,50,0.2,1527.28,-79.50394
P11032-3,71638_20-62-45-U0,50,0.2,1527.3,-96.12254
P11032-3,71638_20-62-45-U0,50,0.2,1527.32,-86.22694
P11032-3,71638_20-62-45-U0,50,0.2,1527.34,-82.85
P11032-3,71638_20-62-45-U0,50,0.2,1527.36,-77.99697
P11032-3,71638_20-62-45-U0,50,0.2,1527.38,-120
P11032-3,71638_20-62-45-U0,50,0.2,1527.4,-79.77984
P11032-3,71638_20-62-45-U0,50,0.2,1527.42,-120
P11032-3,71638_20-62-45-U0,50,0.2,1527.44,-75.70409
P11032-3,71638_20-62-45-U0,50,0.2,1527.46,-78.42241
P11032-3,71638_20-62-45-U0,50,0.2,1527.48,-77.22849
P11032-3,71638_20-62-45-U0,50,0.2,1527.5,-78.84722
P11032-3,71638_20-62-45-U0,50,0.2,1527.52,-120
P11032-3,71638_20-62-45-U0,50,0.2,1527.54,-120
P11032-3,71638_20-62-45-U0,50,0.2,1527.56,-120
P11032-3,71638_20-62-45-U0,50,0.2,1527.58,-80.9114
P11032-3,71638_20-62-45-U0,50,0.2,1527.6,-78.06041
P11032-3,71638_20-62-45-U0,50,0.2,1527.62,-77.02021
P11032-3,71638_20-62-45-U0,50,0.2,1527.64,-79.11864
P11032-3,71638_20-62-45-U0,50,0.2,1527.66,-84.71984
P11032-3,71638_20-62-45-U0,50,0.2,1527.68,-80.54088
P11032-3,71638_20-62-45-U0,50,0.2,1527.7,-120
P11032-3,71638_20-62-45-U0,50,0.2,1527.72,-120
P11032-3,71638_20-62-45-U0,50,0.2,1527.74,-88.41035
P11032-3,71638_20-62-45-U0,50,0.2,1527.76,-120
P11032-3,71638_20-62-45-U0,50,0.2,1527.78,-76.94004
P11032-3,71638_20-62-45-U0,50,0.2,1527.8,-79.97834
P11032-3,71638_20-62-45-U0,50,0.2,1527.82,-81.79996
P11032-3,71638_20-62-45-U0,50,0.2,1527.84,-120
P11032-3,71638_20-62-45-U0,50,0.2,1527.86,-120
P11032-3,71638_20-62-45-U0,50,0.2,1527.88,-77.56466
P11032-3,71638_20-62-45-U0,50,0.2,1527.9,-87.49824
P11032-3,71638_20-62-45-U0,50,0.2,1527.92,-120
P11032-3,71638_20-62-45-U0,50,0.2,1527.94,-120
P11032-3,71638_20-62-45-U0,50,0.2,1527.96,-78.60751
P11032-3,71638_20-62-45-U0,50,0.2,1527.98,-120
P11032-3,71638_20-62-45-U0,50,0.2,1528,-120
P11032-3,71638_20-62-45-U0,50,0.2,1528.02,-82.16239
