lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-62-46-X9,50,0.2,1527,-120
P11032-3,71638_20-62-46-X9,50,0.2,1527.02,-77.77804
P11032-3,71638_20-62-46-X9,50,0.2,1527.04,-75.75935
P11032-3,71638_20-62-46-X9,50,0.2,1527.06,-120
P11032-3,71638_20-62-46-X9,50,0.2,1527.08,-81.08909
P11032-3,71638_20-62-46-X9,50,0.2,1527.1,-120
P11032-3,71638_20-62-46-X9,50,0.2,1527.12,-84.96754
P11032-3,71638_20-62-46-X9,50,0.2,1527.14,-85.22734
P11032-3,71638_20-62-46-X9,50,0.2,1527.16,-120
P11032-3,71638_20-62-46-X9,50,0.2,1527.18,-80.6626
P11032-3,71638_20-62-46-X9,50,0.2,1527.2,-89.3442
P11032-3,71638_20-62-46-X9,50,0.2,1527.22,-83.56844
P11032-3,71638_20-62-46-X9,50,0.2,1527.24,-88.10791
P11032-3,71638_20-62-46-X9,50,0.2,1527.26,-87.38499
P11032-3,71638_20-62-46-X9,50,0.2,1527.28,-80.97399
P11032-3,71638_20-62-46-X9,50,0.2,1527.3,-75.10463
P11032-3,71638_20-62-46-X9,50,0.2,1527.32,-120
P11032-3,71638_20-62-46-X9,50,0.2,1527.34,-120
P11032-3,71638_20-62-46-X9,50,0.2,1527.36,-120
P11032-3,71638_20-62-46-X9,50,0.2,1527.38,-76.5443
P11032-3,71638_20-62-46-X9,50,0.2,1527.4,-120
P11032-3,71638_20-62-46-X9,50,0.2,1527.42,-120
P11032-3,71638_20-62-46-X9,50,0.2,1527.44,-92.44125
P11032-3,71638_20-62-46-X9,50,0.2,1527.46,-83.56844
P11032-3,71638_20-62-46-X9,50,0.2,1527.48,-84.88785
P11032-3,71638_20-62-46-X9,50,0.2,1527.5,-80.67476
P11032-3,71638_20-62-46-X9,50,0.2,1527.52,-79.09389
P11032-3,71638_20-62-46-X9,50,0.2,1527.54,-84.78078
P11032-3,71638_20-62-46-X9,50,0.2,1527.56,-82.522
P11032-3,71638_20-62-46-X9,50,0.2,1527.58,-120
P11032-3,71638_20-62-46-X9,50,0.2,1527.6,-79.90974
P11032-3,71638_20-62-46-X9,50,0.2,1527.62,-78.22175
P11032-3,71638_20-62-46-X9,50,0.2,1527.64,-82.69702
P11032-3,71638_20-62-46-X9,50,0.2,1527.66,-79.83803
P11032-3,71638_20-62-46-X9,50,0.2,1527.68,-78.32683
P11032-3,71638_20-62-46-X9,50,0.2,1527.7,-77.09743
P11032-3,71638_20-62-46-X9,50,0.2,1527.72,-120
P11032-3,71638_20-62-46-X9,50,0.2,1527.74,-79.16139
P11032-3,71638_20-62-46-X9,50,0.2,1527.76,-120
P11032-3,71638_20-62-46-X9,50,0.2,1527.78,-120
P11032-3,71638_20-62-46-X9,50,0.2,1527.8,-79.33301
P11032-3,71638_20-62-46-X9,50,0.2,1527.82,-120
P11032-3,71638_20-62-46-X9,50,0.2,1527.84,-120
P11032-3,71638_20-62-46-X9,50,0.2,1527.86,-78.80414
P11032-3,71638_20-62-46-X9,50,0.2,1527.88,-120
P11032-3,71638_20-62-46-X9,50,0.2,1527.9,-120
P11032-3,71638_20-62-46-X9,50,0.2,1527.92,-120
P11032-3,71638_20-62-46-X9,50,0.2,1527.94,-80.27473
P11032-3,71638_20-62-46-X9,50,0.2,1527.96,-88.34162
P11032-3,71638_20-62-46-X9,50,0.2,1527.98,-79.0309
P11032-3,71638_20-62-46-X9,50,0.2,1528,-80.97182
P11032-3,71638_20-62-46-X9,50,0.2,1528.02,-80.94636
P11032-3,71638_20-62-46-X9,50,0.2,1528.04,-78.7517
P11032-3,71638_20-62-46-X9,50,0.2,1528.06,-90.20953
P11032-3,71638_20-62-46-X9,50,0.2,1528.08,-120
P11032-3,71638_20-62-46-X9,50,0.2,1528.1,-81.96748
P11032-3,71638_20-62-46-X9,50,0.2,1528.12,-120
P11032-3,71638_20-62-46-X9,50,0.2,1528.14,-120
P11032-3,71638_20-62-46-X9,50,0.2,1528.16,-120
P11032-3,71638_20-62-46-X9,50,0.2,1528.18,-120
P11032-3,71638_20-62-46-X9,50,0.2,1528.2,-120
P11032-3,71638_20-62-46-X9,50,0.2,1528.22,-120
P11032-3,71638_20-62-46-X9,50,0.2,1528.24,-91.63866
P11032-3,71638_20-62-46-X9,50,0.2,1528.26,-82.00797
P11032-3,71638_20-62-46-X9,50,0.2,1528.28,-120
P11032-3,71638_20-62-46-X9,50,0.2,1528.3,-120
