lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-62-49-W1,50,0.4,1527,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.02,-81.54034
P11032-3,71638_20-62-49-W1,50,0.4,1527.04,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.06,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.08,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.1,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.12,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.14,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.16,-87.76245
P11032-3,71638_20-62-49-W1,50,0.4,1527.18,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.2,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.22,-78.86725
P11032-3,71638_20-62-49-W1,50,0.4,1527.24,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.26,-81.34363
P11032-3,71638_20-62-49-W1,50,0.4,1527.28,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.3,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.32,-76.83191
P11032-3,71638_20-62-49-W1,50,0.4,1527.34,-81.51195
P11032-3,71638_20-62-49-W1,50,0.4,1527.36,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.38,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.4,-78.77784
P11032-3,71638_20-62-49-W1,50,0.4,1527.42,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.44,-91.35015
P11032-3,71638_20-62-49-W1,50,0.4,1527.46,-88.07433
P11032-3,71638_20-62-49-W1,50,0.4,1527.48,-83.25874
P11032-3,71638_20-62-49-W1,50,0.4,1527.5,-78.55737
P11032-3,71638_20-62-49-W1,50,0.4,1527.52,-76.96588
P11032-3,71638_20-62-49-W1,50,0.4,1527.54,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.56,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.58,-79.45004
P11032-3,71638_20-62-49-W1,50,0.4,1527.6,-81.47581
P11032-3,71638_20-62-49-W1,50,0.4,1527.62,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.64,-77.7083
P11032-3,71638_20-62-49-W1,50,0.4,1527.66,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.68,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.7,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.72,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.74,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.76,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.78,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.8,-83.18397
P11032-3,71638_20-62-49-W1,50,0.4,1527.82,-83.17404
P11032-3,71638_20-62-49-W1,50,0.4,1527.84,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.86,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.88,-79.29962
P11032-3,71638_20-62-49-W1,50,0.4,1527.9,-78.12479
P11032-3,71638_20-62-49-W1,50,0.4,1527.92,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.94,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.96,-120
P11032-3,71638_20-62-49-W1,50,0.4,1527.98,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528,-83.01378
P11032-3,71638_20-62-49-W1,50,0.4,1528.02,-81.52983
P11032-3,71638_20-62-49-W1,50,0.4,1528.04,-76.99187
P11032-3,71638_20-62-49-W1,50,0.4,1528.06,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.08,-78.50473
P11032-3,71638_20-62-49-W1,50,0.4,1528.1,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.12,-79.28486
P11032-3,71638_20-62-49-W1,50,0.4,1528.14,-83.08388
P11032-3,71638_20-62-49-W1,50,0.4,1528.16,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.18,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.2,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.22,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.24,-79.28118
P11032-3,71638_20-62-49-W1,50,0.4,1528.26,-80.4436
P11032-3,71638_20-62-49-W1,50,0.4,1528.28,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.3,-79.59002
P11032-3,71638_20-62-49-W1,50,0.4,1528.32,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.34,-79.87585
P11032-3,71638_20-62-49-W1,50,0.4,1528.36,-80.64946
P11032-3,71638_20-62-49-W1,50,0.4,1528.38,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.4,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.42,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.44,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.46,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.48,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.5,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.52,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.54,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.56,-78.77784
P11032-3,71638_20-62-49-W1,50,0.4,1528.58,-80.63185
P11032-3,71638_20-62-49-W1,50,0.4,1528.6,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.62,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.64,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.66,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.68,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.7,-87.70574
P11032-3,71638_20-62-49-W1,50,0.4,1528.72,-81.47276
P11032-3,71638_20-62-49-W1,50,0.4,1528.74,-81.39542
P11032-3,71638_20-62-49-W1,50,0.4,1528.76,-78.93129
P11032-3,71638_20-62-49-W1,50,0.4,1528.78,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.8,-78.65504
P11032-3,71638_20-62-49-W1,50,0.4,1528.82,-82.63603
P11032-3,71638_20-62-49-W1,50,0.4,1528.84,-79.98266
P11032-3,71638_20-62-49-W1,50,0.4,1528.86,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.88,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.9,-120
P11032-3,71638_20-62-49-W1,50,0.4,1528.92,-75.52532
P11032-3,71638_20-62-49-W1,50,0.4,1528.94,-83.93189
P11032-3,71638_20-62-49-W1,50,0.4,1528.96,-77.75985
P11032-3,71638_20-62-49-W1,50,0.4,1528.98,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.02,-80.19906
P11032-3,71638_20-62-49-W1,50,0.4,1529.04,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.06,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.08,-99.80468
P11032-3,71638_20-62-49-W1,50,0.4,1529.1,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.12,-79.52336
P11032-3,71638_20-62-49-W1,50,0.4,1529.14,-81.03529
P11032-3,71638_20-62-49-W1,50,0.4,1529.16,-79.77159
P11032-3,71638_20-62-49-W1,50,0.4,1529.18,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.2,-78.88401
P11032-3,71638_20-62-49-W1,50,0.4,1529.22,-83.46691
P11032-3,71638_20-62-49-W1,50,0.4,1529.24,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.26,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.28,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.3,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.32,-80.66867
P11032-3,71638_20-62-49-W1,50,0.4,1529.34,-79.19374
P11032-3,71638_20-62-49-W1,50,0.4,1529.36,-90.95501
P11032-3,71638_20-62-49-W1,50,0.4,1529.38,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.4,-85.48828
P11032-3,71638_20-62-49-W1,50,0.4,1529.42,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.44,-82.69702
P11032-3,71638_20-62-49-W1,50,0.4,1529.46,-86.86555
P11032-3,71638_20-62-49-W1,50,0.4,1529.48,-77.12198
P11032-3,71638_20-62-49-W1,50,0.4,1529.5,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.52,-81.94024
P11032-3,71638_20-62-49-W1,50,0.4,1529.54,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.56,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.58,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.6,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.62,-85.57834
P11032-3,71638_20-62-49-W1,50,0.4,1529.64,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.66,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.68,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.7,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.72,-77.8199
P11032-3,71638_20-62-49-W1,50,0.4,1529.74,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.76,-81.87688
P11032-3,71638_20-62-49-W1,50,0.4,1529.78,-86.18524
P11032-3,71638_20-62-49-W1,50,0.4,1529.8,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.82,-86.9897
P11032-3,71638_20-62-49-W1,50,0.4,1529.84,-82.57668
P11032-3,71638_20-62-49-W1,50,0.4,1529.86,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.88,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.9,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.92,-78.56985
P11032-3,71638_20-62-49-W1,50,0.4,1529.94,-120
P11032-3,71638_20-62-49-W1,50,0.4,1529.96,-84.20788
P11032-3,71638_20-62-49-W1,50,0.4,1529.98,-120
P11032-3,71638_20-62-49-W1,50,0.4,1530,-120
P11032-3,71638_20-62-49-W1,50,0.4,1530.02,-120
P11032-3,71638_20-62-49-W1,50,0.4,1530.04,-120
P11032-3,71638_20-62-49-W1,50,0.4,1530.06,-120
P11032-3,71638_20-62-49-W1,50,0.4,1530.08,-120
P11032-3,71638_20-62-49-W1,50,0.4,1530.1,-82.1049
P11032-3,71638_20-62-49-W1,50,0.4,1530.12,-89.897
P11032-3,71638_20-62-49-W1,50,0.4,1530.14,-77.68276
P11032-3,71638_20-62-49-W1,50,0.4,1530.16,-85.29296
