lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-63-61-V2,50,0.2,1527,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.02,-77.30254
P11032-3,71638_20-63-61-V2,50,0.2,1527.04,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.06,-77.2538
P11032-3,71638_20-63-61-V2,50,0.2,1527.08,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.1,-77.10188
P11032-3,71638_20-63-61-V2,50,0.2,1527.12,-82.18388
P11032-3,71638_20-63-61-V2,50,0.2,1527.14,-77.40406
P11032-3,71638_20-63-61-V2,50,0.2,1527.16,-82.66963
P11032-3,71638_20-63-61-V2,50,0.2,1527.18,-84.48672
P11032-3,71638_20-63-61-V2,50,0.2,1527.2,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.22,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.24,-78.33274
P11032-3,71638_20-63-61-V2,50,0.2,1527.26,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.28,-80.55814
P11032-3,71638_20-63-61-V2,50,0.2,1527.3,-80.32358
P11032-3,71638_20-63-61-V2,50,0.2,1527.32,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.34,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.36,-80.94204
P11032-3,71638_20-63-61-V2,50,0.2,1527.38,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.4,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.42,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.44,-75.63201
P11032-3,71638_20-63-61-V2,50,0.2,1527.46,-76.72845
P11032-3,71638_20-63-61-V2,50,0.2,1527.48,-85.12862
P11032-3,71638_20-63-61-V2,50,0.2,1527.5,-83.25874
P11032-3,71638_20-63-61-V2,50,0.2,1527.52,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.54,-86.03975
P11032-3,71638_20-63-61-V2,50,0.2,1527.56,-76.362
P11032-3,71638_20-63-61-V2,50,0.2,1527.58,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.6,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.62,-77.51291
P11032-3,71638_20-63-61-V2,50,0.2,1527.64,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.66,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.68,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.7,-76.43592
P11032-3,71638_20-63-61-V2,50,0.2,1527.72,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.74,-77.97784
P11032-3,71638_20-63-61-V2,50,0.2,1527.76,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.78,-78.0827
P11032-3,71638_20-63-61-V2,50,0.2,1527.8,-81.84622
P11032-3,71638_20-63-61-V2,50,0.2,1527.82,-78.49551
P11032-3,71638_20-63-61-V2,50,0.2,1527.84,-77.85686
P11032-3,71638_20-63-61-V2,50,0.2,1527.86,-120
P11032-3,71638_20-63-61-V2,50,0.2,1527.88,-92.35376
P11032-3,71638_20-63-61-V2,50,0.2,1527.9,-81.16736
P11032-3,71638_20-63-61-V2,50,0.2,1527.92,-82.95849
P11032-3,71638_20-63-61-V2,50,0.2,1527.94,-78.88737
P11032-3,71638_20-63-61-V2,50,0.2,1527.96,-89.71022
P11032-3,71638_20-63-61-V2,50,0.2,1527.98,-78.40433
P11032-3,71638_20-63-61-V2,50,0.2,1528,-80.36023
P11032-3,71638_20-63-61-V2,50,0.2,1528.02,-81.48742
P11032-3,71638_20-63-61-V2,50,0.2,1528.04,-120
P11032-3,71638_20-63-61-V2,50,0.2,1528.06,-80.59683
P11032-3,71638_20-63-61-V2,50,0.2,1528.08,-83.34982
P11032-3,71638_20-63-61-V2,50,0.2,1528.1,-79.73058
P11032-3,71638_20-63-61-V2,50,0.2,1528.12,-120
P11032-3,71638_20-63-61-V2,50,0.2,1528.14,-120
P11032-3,71638_20-63-61-V2,50,0.2,1528.16,-77.22391
P11032-3,71638_20-63-61-V2,50,0.2,1528.18,-120
P11032-3,71638_20-63-61-V2,50,0.2,1528.2,-76.88882
P11032-3,71638_20-63-61-V2,50,0.2,1528.22,-120
P11032-3,71638_20-63-61-V2,50,0.2,1528.24,-90.83546
P11032-3,71638_20-63-61-V2,50,0.2,1528.26,-120
P11032-3,71638_20-63-61-V2,50,0.2,1528.28,-79.59398
P11032-3,71638_20-63-61-V2,50,0.2,1528.3,-120
P11032-3,71638_20-63-61-V2,50,0.2,1528.32,-93.90726
P11032-3,71638_20-63-61-V2,50,0.2,1528.34,-120
P11032-3,71638_20-63-61-V2,50,0.2,1528.36,-120
P11032-3,71638_20-63-61-V2,50,0.2,1528.38,-84.69416
P11032-3,71638_20-63-61-V2,50,0.2,1528.4,-75.83027
P11032-3,71638_20-63-61-V2,50,0.2,1528.42,-79.914
P11032-3,71638_20-63-61-V2,50,0.2,1528.44,-83.56153
P11032-3,71638_20-63-61-V2,50,0.2,1528.46,-120
P11032-3,71638_20-63-61-V2,50,0.2,1528.48,-120
P11032-3,71638_20-63-61-V2,50,0.2,1528.5,-83.07417
P11032-3,71638_20-63-61-V2,50,0.2,1528.52,-120
P11032-3,71638_20-63-61-V2,50,0.2,1528.54,-120
P11032-3,71638_20-63-61-V2,50,0.2,1528.56,-78.18442
P11032-3,71638_20-63-61-V2,50,0.2,1528.58,-120
P11032-3,71638_20-63-61-V2,50,0.2,1528.6,-94.16348
P11032-3,71638_20-63-61-V2,50,0.2,1528.62,-120
P11032-3,71638_20-63-61-V2,50,0.2,1528.64,-76.64542
P11032-3,71638_20-63-61-V2,50,0.2,1528.66,-120
P11032-3,71638_20-63-61-V2,50,0.2,1528.68,-120
P11032-3,71638_20-63-61-V2,50,0.2,1528.7,-120
P11032-3,71638_20-63-61-V2,50,0.2,1528.72,-86.60747
P11032-3,71638_20-63-61-V2,50,0.2,1528.74,-120
P11032-3,71638_20-63-61-V2,50,0.2,1528.76,-78.57298
P11032-3,71638_20-63-61-V2,50,0.2,1528.78,-88.74194
P11032-3,71638_20-63-61-V2,50,0.2,1528.8,-82.81581
P11032-3,71638_20-63-61-V2,50,0.2,1528.82,-83.5047
P11032-3,71638_20-63-61-V2,50,0.2,1528.84,-82.02386
P11032-3,71638_20-63-61-V2,50,0.2,1528.86,-79.96539
P11032-3,71638_20-63-61-V2,50,0.2,1528.88,-79.04831
P11032-3,71638_20-63-61-V2,50,0.2,1528.9,-92.1049
